"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"209","KNP004_FUM002",214,478,692
"191","KNP004_PES001",188,498,686
"347","PES001_FUM002",64,618,682
"417","DJA002_FUM002",163,516,679
"269","EBO003_PES001",121,554,675
"385","KNP009_DJA002",102,573,675
"323","OME005_OME002",108,566,674
"343","PES001_DJA002",133,535,668
"287","EBO003_FUM002",140,526,666
"195","KNP004_OME003",276,378,654
"165","KNP001_OME003",255,397,652
"261","OAK005_ECO004",145,494,639
"373","OME003_DJA002",219,408,627
"315","OME005_OME003",55,568,623
"295","EMN001_OME003",209,401,610
"413","OME002_FUM002",200,409,609
"59","TAF008_PES001",89,519,608
"341","PES001_OME002",168,417,585
"77","TAF008_FUM002",136,448,584
"161","KNP001_PES001",127,456,583
"71","TAF008_OME002",189,390,579
"179","KNP001_FUM002",164,411,575
"65","TAF008_KNP009",83,491,574
"297","EMN001_KNP009",139,431,570
"189","KNP004_OME005",221,345,566
"383","KNP009_OME002",190,369,559
"289","EMN001_OME005",155,400,555
"273","EBO003_OME003",184,355,539
"159","KNP001_OME005",177,352,529
"325","OME005_DJA002",147,378,525
"267","EBO003_OME005",155,360,515
"377","OME003_FUM002",172,322,494
"335","PES001_KNP009",102,388,490
"361","MTM009_ECO004",105,383,488
"329","OME005_FUM002",140,321,461
"57","TAF008_OME005",130,326,456
"207","KNP004_ECO004",134,322,456
"389","KNP009_FUM002",118,328,446
"333","PES001_OME003",137,308,445
"63","TAF008_OME003",131,313,444
"365","OME003_KNP009",146,295,441
"311","OME005_PES001",116,319,435
"307","EMN001_ECO004",69,357,426
"415","DJA002_ECO004",93,333,426
"75","TAF008_ECO004",65,357,422
"177","KNP001_ECO004",111,305,416
"285","EBO003_ECO004",93,317,410
"317","OME005_KNP009",112,294,406
"419","ECO004_FUM002",85,298,383
"411","OME002_ECO004",120,262,382
"345","PES001_ECO004",45,318,363
"375","OME003_ECO004",94,246,340
"387","KNP009_ECO004",66,263,329
"327","OME005_ECO004",66,250,316
