Taxon	Group_Type	s.Alouatta	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Tannerella_sp _oral_taxon_HOT 286	Multiple	0	0	1	1	10	0.9031951797709056	0.002	Homo:Pan
Tessaracoccus_aquimaris	Single	1	0	0	0	1	0.8661343629416927	0.001	Alouatta
Tessaracoccus_flavescens	Single	1	0	0	0	1	0.8500360641069727	0.001	Alouatta
Tessaracoccus_flavus	Single	1	0	0	0	1	0.8432866545601616	0.001	Alouatta
Tessaracoccus_sp _T2 5 30	Single	1	0	0	0	1	0.8469508284700847	0.001	Alouatta
Thermoplasmatales_archaeon_BRNA1	Single	0	0	0	1	4	0.9963266815071535	0.001	Pan
Treponema_denticola	Multiple	0	0	1	1	10	0.9148600215497255	0.002	Homo:Pan
Treponema_pedis	Single	0	0	0	1	4	0.6542858517362647	0.014	Pan
Treponema_putidum	Multiple	0	0	1	1	10	0.7929237979330407	0.015	Homo:Pan
Treponema_sp _OMZ_838	Multiple	0	0	1	1	10	0.7719534129746773	0.028	Homo:Pan
Trueperella_pyogenes	Multiple	1	0	0	1	7	0.6546536707079771	0.004	Alouatta:Pan
Veillonella_atypica	Single	0	1	0	0	2	0.695189619774909	0.003	Gorilla
Veillonella_parvula	Multiple	0	1	1	0	8	0.7276068751089989	0.017	Gorilla:Homo
Veillonella_rodentium	Multiple	1	1	0	0	5	0.7246564919736304	0.007	Alouatta:Gorilla
