Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Sphingobium	Single	0	0	1	0	0	3	0.44721359549995793	0.013	Gorilla
Staphylococcus	Single	0	0	1	0	0	3	0.8118709332315471	0.001	Gorilla
Stenotrophomonas	Multiple	1	0	1	0	0	7	0.5364574299401569	0.018	Alouatta:Gorilla
Streptococcus	Multiple	1	0	1	1	0	19	0.9972250206458095	0.001	Alouatta:Gorilla:Homo
Streptosporangiaceae_unclassified	Single	1	0	0	0	0	1	0.44721359549995793	0.045	Alouatta
Subdoligranulum	Single	0	0	0	0	1	5	0.5971439777847672	0.026	Pan
Tannerella	Multiple	0	0	0	1	1	15	0.9502433924233958	0.001	Homo:Pan
Treponema	Multiple	0	0	0	1	1	15	0.9591226064095681	0.001	Homo:Pan
Vagococcus	Single	0	0	1	0	0	3	0.5163977794943222	0.015	Gorilla
Veillonella	Multiple	0	0	1	1	0	13	0.8859877763344163	0.001	Gorilla:Homo
