Taxon	Group_Type	s.Alouatta	s.Control	s.Gorilla	s.Homo	s.Pan	index	stat	p.value	Combination
Johnsonella ignava	Multiple	0	0	1	1	1	25	0.7745966692414834	0.004	Gorilla:Homo:Pan
Jonquetella anthropi	Single	0	0	0	0	1	5	0.8451542547285166	0.001	Pan
Kingella denitrificans	Single	0	0	0	1	0	4	0.724655536391159	0.01	Homo
Kingella oralis	Single	1	0	0	0	0	1	0.7330344549468019	0.002	Alouatta
Kocuria kristinae	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Lachnoanaerobaculum saburreum	Single	0	0	0	0	1	5	0.4533700597363451	0.041	Pan
Lachnospiraceae bacterium oral taxon 500	Multiple	0	0	0	1	1	15	0.8832250144490502	0.001	Homo:Pan
Lautropia mirabilis	Multiple	1	0	0	1	0	8	0.9704248676515997	0.001	Alouatta:Homo
Lawsonella clevelandensis	Single	0	0	0	0	1	5	0.9998967393511157	0.001	Pan
Lelliottia amnigena	Single	0	0	1	0	0	3	0.468267272415977	0.029	Gorilla
Leptotrichia goodfellowii	Single	1	0	0	0	0	1	0.9510313184915752	0.001	Alouatta
Leptotrichia sp. oral taxon 212	Single	0	0	0	1	0	4	0.8224783208299743	0.001	Homo
Leucobacter chromiiresistens	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Leucobacter sp. UCD THU	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Megasphaera micronuciformis	Single	1	0	0	0	0	1	0.6324555320336759	0.002	Alouatta
Methanobrevibacter oralis	Multiple	0	0	0	1	1	15	0.6042377661770776	0.036	Homo:Pan
methanogenic archaeon ISO4 H5	Single	0	0	0	0	1	5	0.9258200997725514	0.001	Pan
Mogibacterium diversum	Single	0	0	0	0	1	5	0.9410630313010842	0.001	Pan
Mogibacterium pumilum	Single	0	0	0	0	1	5	0.8833759968303915	0.001	Pan
Morococcus cerebrosus	Multiple	0	0	1	1	0	13	0.6819943394704735	0.008	Gorilla:Homo
Mycolicibacter icosiumassiliensis	Single	1	0	0	0	0	1	0.44721359549995793	0.049	Alouatta
Necropsobacter massiliensis	Single	1	0	0	0	0	1	0.7920454003682238	0.001	Alouatta
Neisseria bacilliformis	Multiple	1	0	1	1	0	19	0.6922186552431729	0.018	Alouatta:Gorilla:Homo
Neisseria cinerea	Single	0	0	1	0	0	3	0.4714045207910317	0.02	Gorilla
Neisseria elongata	Multiple	1	0	0	1	0	8	0.8847217054979536	0.001	Alouatta:Homo
Neisseria gonorrhoeae	Single	0	0	1	0	0	3	0.6073401738423273	0.005	Gorilla
Neisseria iguanae	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Neisseria lactamica	Single	0	0	1	0	0	3	0.6666666666666666	0.001	Gorilla
Neisseria meningitidis	Single	0	0	1	0	0	3	0.5759513712425337	0.042	Gorilla
Neisseria polysaccharea	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Neisseria shayeganii	Single	1	0	0	0	0	1	0.9633073672990047	0.001	Alouatta
Neisseria sicca	Multiple	0	0	1	1	0	13	0.6099347649652357	0.043	Gorilla:Homo
Neisseria sp. 10022	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Neisseria sp. 10023	Single	0	0	1	0	0	3	0.816496580927726	0.001	Gorilla
Neisseria sp. HMSC061B04	Single	0	0	1	0	0	3	0.4714045207910317	0.02	Gorilla
Neisseria sp. HMSC064E01	Multiple	0	0	1	1	0	13	0.6099942813304187	0.028	Gorilla:Homo
Neisseria sp. HMSC069H12	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Neisseria sp. HMSC077D05	Multiple	0	0	1	1	0	13	0.6099942813304187	0.03	Gorilla:Homo
Neisseria sp. HMSC31F04	Single	0	0	0	1	0	4	0.6795100518289207	0.017	Homo
Neisseria sp. oral taxon 014	Multiple	1	0	1	0	0	7	0.7815876170235637	0.003	Alouatta:Gorilla
Neisseria weaveri	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Neisseria zoodegmatis	Single	0	0	1	0	0	3	0.5773502691896257	0.007	Gorilla
Nocardioides sp. Root122	Single	1	0	0	0	0	1	0.6294379813194657	0.005	Alouatta
Olsenella provencensis	Single	0	0	1	0	0	3	0.4714045207910317	0.017	Gorilla
Olsenella sp. HMSC062G07	Single	0	0	1	0	0	3	0.4714045207910317	0.017	Gorilla
Olsenella sp. oral taxon 807	Multiple	0	0	1	1	1	25	0.9479002707075108	0.001	Gorilla:Homo:Pan
Olsenella uli	Multiple	0	0	1	1	1	25	0.8714303362742963	0.001	Gorilla:Homo:Pan
Olsenella umbonata	Single	0	0	1	0	0	3	0.5773502691896257	0.003	Gorilla
Olsenella urininfantis	Single	0	0	1	0	0	3	0.4714045207910317	0.017	Gorilla
Oribacterium sp. oral taxon 078	Single	0	0	0	0	1	5	0.6909268656405892	0.01	Pan
Ottowia sp. oral taxon 894	Multiple	1	0	0	1	1	21	0.9243949445931663	0.001	Alouatta:Homo:Pan
Oxalobacter formigenes	Multiple	0	0	1	0	1	14	0.6614378277661477	0.004	Gorilla:Pan
