Pathway_name	Pathway_number	KOrtholog	Enzyme_name
Phosphotransferase system (PTS)	ko02060	K02781	PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198]
Phosphotransferase system (PTS)	ko02060	K02782	PTS system, glucitol/sorbitol-specific IIB component [EC:2.7.1.198]
Phosphotransferase system (PTS)	ko02060	K02783	PTS system, glucitol/sorbitol-specific IIC component
Phosphotransferase system (PTS)	ko02060	K02773	PTS system, galactitol-specific IIA component [EC:2.7.1.200]
Phosphotransferase system (PTS)	ko02060	K02774	PTS system, galactitol-specific IIB component [EC:2.7.1.200]
Phosphotransferase system (PTS)	ko02060	K02775	PTS system, galactitol-specific IIC component
Phosphotransferase system (PTS)	ko02060	K20112	PTS system, galactose-specific IIA component [EC:2.7.1.204]
Phosphotransferase system (PTS)	ko02060	K20113	PTS system, galactose-specific IIB component [EC:2.7.1.204]
Phosphotransferase system (PTS)	ko02060	K20114	PTS system, galactose-specific IIC component
Phosphotransferase system (PTS)	ko02060	K02821	PTS system, ascorbate-specific IIA component [EC:2.7.1.194]
Phosphotransferase system (PTS)	ko02060	K02822	PTS system, ascorbate-specific IIB component [EC:2.7.1.194]
Phosphotransferase system (PTS)	ko02060	K03475	PTS system, ascorbate-specific IIC component
Phosphotransferase system (PTS)	ko02060	K11183	phosphocarrier protein FPr
Phosphotransferase system (PTS)	ko02060	K02768	PTS system, fructose-specific IIA component [EC:2.7.1.202]
Phosphotransferase system (PTS)	ko02060	K02769	PTS system, fructose-specific IIB component [EC:2.7.1.202]
Phosphotransferase system (PTS)	ko02060	K02770	PTS system, fructose-specific IIC component
Phosphotransferase system (PTS)	ko02060	K08484	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]
Phosphotransferase system (PTS)	ko02060	K08485	phosphocarrier protein NPr
Phosphotransferase system (PTS)	ko02060	K02806	PTS system, nitrogen regulatory IIA component [EC:2.7.1.-]
Bacterial secretion system	ko03070	K12340	outer membrane protein
Bacterial secretion system	ko03070	K11003	hemolysin D
Bacterial secretion system	ko03070	K11004	ATP-binding cassette, subfamily B, bacterial HlyB/CyaB
Bacterial secretion system	ko03070	K03221	type III secretion protein F
Bacterial secretion system	ko03070	K04056	type III secretion protein O
Bacterial secretion system	ko03070	K04057	type III secretion protein P
Bacterial secretion system	ko03070	K04059	type III secretion protein X
Bacterial secretion system	ko03070	K03219	type III secretion protein C
Bacterial secretion system	ko03070	K04058	type III secretion protein W
Bacterial secretion system	ko03070	K03222	type III secretion protein J
Bacterial secretion system	ko03070	K03226	type III secretion protein R
Bacterial secretion system	ko03070	K03227	type III secretion protein S
Bacterial secretion system	ko03070	K03228	type III secretion protein T
Bacterial secretion system	ko03070	K03229	type III secretion protein U
Bacterial secretion system	ko03070	K03230	type III secretion protein V
Bacterial secretion system	ko03070	K03224	ATP synthase in type III secretion protein N [EC:7.4.2.8]
Bacterial secretion system	ko03070	K03225	type III secretion protein Q
Bacterial secretion system	ko03070	K03223	type III secretion protein L
Bacterial secretion system	ko03070	K02453	general secretion pathway protein D
Bacterial secretion system	ko03070	K02465	general secretion pathway protein S
Bacterial secretion system	ko03070	K02452	general secretion pathway protein C
Bacterial secretion system	ko03070	K02455	general secretion pathway protein F
Bacterial secretion system	ko03070	K02456	general secretion pathway protein G
Bacterial secretion system	ko03070	K02457	general secretion pathway protein H
Bacterial secretion system	ko03070	K02458	general secretion pathway protein I
Bacterial secretion system	ko03070	K02459	general secretion pathway protein J
Bacterial secretion system	ko03070	K02460	general secretion pathway protein K
Bacterial secretion system	ko03070	K02461	general secretion pathway protein L
Bacterial secretion system	ko03070	K02462	general secretion pathway protein M
Bacterial secretion system	ko03070	K02454	general secretion pathway protein E [EC:7.4.2.8]
Bacterial secretion system	ko03070	K02464	general secretion pathway protein O [EC:2.1.1.- 3.4.23.43]
Bacterial secretion system	ko03070	K03072	preprotein translocase subunit SecD
Bacterial secretion system	ko03070	K12257	SecD/SecF fusion protein
Bacterial secretion system	ko03070	K03074	preprotein translocase subunit SecF
Bacterial secretion system	ko03070	K03073	preprotein translocase subunit SecE
Bacterial secretion system	ko03070	K03075	preprotein translocase subunit SecG
Bacterial secretion system	ko03070	K03076	preprotein translocase subunit SecY
Bacterial secretion system	ko03070	K03210	preprotein translocase subunit YajC
Bacterial secretion system	ko03070	K03217	YidC/Oxa1 family membrane protein insertase
Bacterial secretion system	ko03070	K03070	preprotein translocase subunit SecA [EC:7.4.2.8]
Bacterial secretion system	ko03070	K13301	secretion monitor
Bacterial secretion system	ko03070	K03110	fused signal recognition particle receptor
Bacterial secretion system	ko03070	K03071	preprotein translocase subunit SecB
Bacterial secretion system	ko03070	K03106	signal recognition particle subunit SRP54 [EC:3.6.5.4]
Bacterial secretion system	ko03070	K03116	sec-independent protein translocase protein TatA
Bacterial secretion system	ko03070	K03117	sec-independent protein translocase protein TatB
Bacterial secretion system	ko03070	K03118	sec-independent protein translocase protein TatC
Bacterial secretion system	ko03070	K03425	sec-independent protein translocase protein TatE
Bacterial secretion system	ko03070	K11028	vacuolating cytotoxin
Bacterial secretion system	ko03070	K11017	hemolysin activation/secretion protein
Bacterial secretion system	ko03070	K11016	hemolysin
Bacterial secretion system	ko03070	K12341	adhesin YadA
Bacterial secretion system	ko03070	K12342	adhesin YadB/C
Bacterial secretion system	ko03070	K03194	type IV secretion system protein VirB1
Bacterial secretion system	ko03070	K03197	type IV secretion system protein VirB2
Bacterial secretion system	ko03070	K03198	type IV secretion system protein VirB3
Bacterial secretion system	ko03070	K03200	type IV secretion system protein VirB5
Bacterial secretion system	ko03070	K03202	type IV secretion system protein VirB7
Bacterial secretion system	ko03070	K03204	type IV secretion system protein VirB9
Bacterial secretion system	ko03070	K03201	type IV secretion system protein VirB6
Bacterial secretion system	ko03070	K03203	type IV secretion system protein VirB8
Bacterial secretion system	ko03070	K03195	type IV secretion system protein VirB10
Bacterial secretion system	ko03070	K03199	type IV secretion system protein VirB4 [EC:7.4.2.8]
Bacterial secretion system	ko03070	K03196	type IV secretion system protein VirB11 [EC:7.4.2.8]
Bacterial secretion system	ko03070	K03205	type IV secretion system protein VirD4 [EC:7.4.2.8]
Bacterial secretion system	ko03070	K11904	type VI secretion system secreted protein VgrG
Bacterial secretion system	ko03070	K11903	type VI secretion system secreted protein Hcp
Bacterial secretion system	ko03070	K11906	type VI secretion system protein VasD
Bacterial secretion system	ko03070	K11891	type VI secretion system protein ImpL
Bacterial secretion system	ko03070	K11892	type VI secretion system protein ImpK
Bacterial secretion system	ko03070	K11907	type VI secretion system protein VasG
Bacterial secretion system	ko03070	K11912	serine/threonine-protein kinase PpkA [EC:2.7.11.1]
Bacterial secretion system	ko03070	K11913	type VI secretion system protein
Bacterial secretion system	ko03070	K11915	serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]
