"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"245","OAK002_JAE008",772,2381,3153
"249","OAK002_DJA002",1132,1970,3102
"235","OAK002_MTM009",923,2111,3034
"421","OME003_KNP009",1432,1581,3013
"423","OME003_VLC009",1132,1867,2999
"317","EBO003_OME003",1374,1578,2952
"225","OAK002_OAK005",449,2483,2932
"419","ECO002_ECO004",327,2591,2918
"339","EMN001_OME003",966,1675,2641
"265","KNP005_ECO002",936,1702,2638
"191","KNP004_OAK002",1037,1518,2555
"29","JAE014_OME003",930,1468,2398
"243","OAK002_VLC009",520,1618,2138
"229","OAK002_EMN001",476,1636,2112
"227","OAK002_EBO003",695,1344,2039
"11","JAE014_OAK002",444,1587,2031
"159","KNP001_OAK002",796,1193,1989
"267","KNP005_OME003",890,1096,1986
"115","VLC004_OME002",683,1261,1944
"451","JAE008_OME002",726,1177,1903
"99","VLC004_OME005",596,1255,1851
"151","GOY005_OME002",694,1134,1828
"365","OME005_JAE008",626,1179,1805
"241","OAK002_KNP009",669,1101,1770
"401","MTM009_OME002",722,998,1720
"457","OME002_DJA002",748,947,1695
"51","TAF008_OAK002",405,1288,1693
"137","GOY005_PES001",107,1542,1649
"69","TAF008_OME003",572,1073,1645
"135","GOY005_OME005",577,1046,1623
"217","KNP004_OME002",741,846,1587
"369","OME005_DJA002",702,872,1574
"355","OME005_MTM009",625,919,1544
"101","VLC004_PES001",308,1196,1504
"383","PES001_JAE008",308,1191,1499
"201","KNP004_OME005",717,764,1481
"185","KNP001_OME002",688,788,1476
"325","EBO003_OME002",605,786,1391
"373","PES001_MTM009",347,1037,1384
"301","OAK005_OME002",458,897,1355
"387","PES001_DJA002",429,918,1347
"437","KNP009_OME002",613,734,1347
"223","OAK002_KNP005",462,865,1327
"445","VLC009_OME002",495,828,1323
"287","OAK005_PES001",225,1063,1288
"169","KNP001_OME005",598,676,1274
"203","KNP004_PES001",464,790,1254
"363","OME005_VLC009",424,812,1236
"285","OAK005_OME005",427,807,1234
"431","OME003_ECO004",445,776,1221
"347","EMN001_OME002",418,753,1171
"361","OME005_KNP009",545,621,1166
"333","EMN001_PES001",149,999,1148
"309","EBO003_OME005",488,650,1138
"251","OAK002_ECO004",255,880,1135
"381","PES001_VLC009",173,950,1123
"331","EMN001_OME005",336,709,1045
"37","JAE014_OME002",381,636,1017
"21","JAE014_OME005",332,653,985
"311","EBO003_PES001",285,697,982
"171","KNP001_PES001",332,648,980
"275","KNP005_OME002",421,558,979
"427","OME003_OME002",24,923,947
"23","JAE014_PES001",142,783,925
"379","PES001_KNP009",316,570,886
"259","KNP005_OME005",363,488,851
"77","TAF008_OME002",285,545,830
"63","TAF008_PES001",102,708,810
"61","TAF008_OME005",268,494,762
"237","OAK002_ECO002",163,553,716
"407","ECO002_OME003",250,447,697
"359","OME005_OME003",35,651,686
"261","KNP005_PES001",177,401,578
"459","OME002_ECO004",187,338,525
"371","OME005_ECO004",191,317,508
"389","PES001_ECO004",70,419,489
"367","OME005_OME002",18,417,435
"239","OAK002_OME003",169,230,399
"375","PES001_ECO002",35,331,366
"415","ECO002_OME002",115,224,339
"357","OME005_ECO002",106,190,296
"231","OAK002_OME005",78,162,240
"233","OAK002_PES001",39,198,237
"247","OAK002_OME002",78,158,236
"377","PES001_OME003",56,116,172
"353","OME005_PES001",30,72,102
"385","PES001_OME002",20,75,95
