"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"145","GOY005_DJA002",1058,1861,2919
"343","PES001_OME002",817,2075,2892
"191","KNP004_PES001",1461,1392,2853
"329","EMN001_ECO004",694,2071,2765
"181","KNP004_OAK002",1523,1225,2748
"75","TAF008_DJA002",666,2057,2723
"159","KNP001_EMN001",1339,1322,2661
"231","OAK002_JAE008",493,2040,2533
"337","PES001_KNP009",989,1526,2515
"227","OAK002_KNP009",1128,1351,2479
"341","PES001_JAE008",486,1943,2429
"245","KNP005_PES001",1104,1289,2393
"289","EBO003_EMN001",923,1459,2382
"237","OAK002_ECO004",554,1723,2277
"139","GOY005_VLC009",565,1708,2273
"347","PES001_ECO004",428,1784,2212
"211","OAK002_KNP005",1108,1078,2186
"69","TAF008_VLC009",338,1830,2168
"161","KNP001_PES001",1000,1125,2125
"151","KNP001_OAK002",997,1012,2009
"215","OAK002_EBO003",705,1210,1915
"291","EBO003_PES001",631,1263,1894
"127","GOY005_EMN001",280,1602,1882
"267","OAK005_EMN001",512,1297,1809
"405","VLC009_DJA002",393,1312,1705
"313","EMN001_MTM009",673,876,1549
"269","OAK005_PES001",345,1166,1511
"213","OAK002_OAK005",350,1155,1505
"129","GOY005_PES001",175,1282,1457
"57","TAF008_EMN001",291,1148,1439
"365","ECO002_OME003",488,892,1380
"331","PES001_MTM009",589,739,1328
"119","GOY005_OAK002",322,1002,1324
"99","VLC004_ECO002",361,856,1217
"221","OAK002_MTM009",576,626,1202
"25","JAE014_ECO002",232,944,1176
"59","TAF008_PES001",192,944,1136
"195","KNP004_ECO002",533,535,1068
"49","TAF008_OAK002",206,824,1030
"373","ECO002_OME002",368,657,1025
"377","ECO002_ECO004",169,781,950
"367","ECO002_KNP009",359,583,942
"371","ECO002_JAE008",219,700,919
"249","KNP005_ECO002",423,468,891
"327","EMN001_DJA002",305,567,872
"165","KNP001_ECO002",366,465,831
"235","OAK002_DJA002",264,557,821
"321","EMN001_VLC009",184,605,789
"345","PES001_DJA002",240,532,772
"295","EBO003_ECO002",210,556,766
"273","OAK005_ECO002",115,540,655
"339","PES001_VLC009",122,511,633
"349","MTM009_ECO002",239,328,567
"229","OAK002_VLC009",100,439,539
"63","TAF008_ECO002",76,447,523
"133","GOY005_ECO002",123,396,519
"311","EMN001_PES001",55,398,453
"217","OAK002_EMN001",108,315,423
"219","OAK002_PES001",69,276,345
"375","ECO002_DJA002",105,233,338
"369","ECO002_VLC009",55,182,237
"315","EMN001_ECO002",45,148,193
"223","OAK002_ECO002",52,115,167
"333","PES001_ECO002",26,114,140
