Min_Supp	Tax_Level	Taxon	nt	refseq	Match
0.04	species	Neisseria_gonorrhoeae	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_lactamica	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_meningitidis	Alouatta:Gorilla:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_shayeganii	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_sicca	Alouatta:Gorilla:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_sp._10022	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_sp._10023	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_sp._KEM232	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_sp._oral_taxon_014	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_weaveri	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Neisseria_zoodegmatis	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Olsenella_sp._Marseille-P2300	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Olsenella_sp._oral_taxon_807	Gorilla:Pan:Homo	Pan:Homo	FALSE
0.04	species	Olsenella_uli	Gorilla:Pan:Homo	Gorilla:Pan:Homo	TRUE
0.04	species	Olsenella_umbonata	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Oribacterium_sp._oral_taxon_078	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Ottowia_sp._oral_taxon_894	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Paraeggerthella_hongkongensis	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Parvimonas_micra	Pan:Homo	Pan:Homo	TRUE
0.04	species	Pasteurella_multocida	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Pasteurella_testudinis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Pasteurellaceae_bacterium_NI1060	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Peptoanaerobacter_stomatis	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Peptostreptococcaceae_bacterium_oral_taxon_113	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Peptostreptococcaceae_bacterium_pGA-8	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Phocaeicola_abscessus	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Porphyromonas_gingivalis	Pan:Homo	Pan:Homo	TRUE
0.04	species	Prevotella_dentalis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Prevotella_denticola	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Prevotella_enoeca	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Prevotella_intermedia	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan	FALSE
0.04	species	Propionibacterium_acidifaciens	DidNotPassPrevalenceThreshold	Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Propionibacterium_australiense	DidNotPassPrevalenceThreshold	Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Propionibacterium_freudenreichii	Alouatta:Gorilla:Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Propionibacterium_sp._oral_taxon_192	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Pseudopropionibacterium_propionicum	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.04	species	Pseudoramibacter_alactolyticus	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Pyramidobacter_piscolens	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Rothia_aeria	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Rothia_dentocariosa	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Rothia_mucilaginosa	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Selenomonas_artemidis	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_noxia	DidNotPassPrevalenceThreshold	Gorilla	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_sp._F0473	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_sp._oral_taxon_126	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_sp._oral_taxon_136	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_sp._oral_taxon_920	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Selenomonas_sputigena	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.04	species	Slackia_exigua	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.04	species	Slackia_heliotrinireducens	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Solobacterium_moorei	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Staphylococcus_saprophyticus	Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Staphylococcus_xylosus	Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_acidominimus	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_agalactiae	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Streptococcus_anginosus	Alouatta:Gorilla:Pan:Homo	Alouatta	FALSE
0.04	species	Streptococcus_caballi	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_constellatus	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_cristatus	Alouatta:Gorilla:Homo	Alouatta:Homo	FALSE
0.04	species	Streptococcus_devriesei	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_dysgalactiae	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_equi	Alouatta:Gorilla:Pan	Alouatta	FALSE
0.04	species	Streptococcus_ferus	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_gallolyticus	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_gordonii	Alouatta:Gorilla:Homo	Alouatta:Homo	FALSE
0.04	species	Streptococcus_himalayensis	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_infantarius	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_intermedius	Alouatta:Gorilla:Pan:Homo	Alouatta	FALSE
0.04	species	Streptococcus_macedonicus	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_marmotae	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_merionis	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_mitis	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Streptococcus_mutans	Alouatta:Gorilla	Alouatta:Gorilla	TRUE
0.04	species	Streptococcus_oralis	Alouatta:Gorilla:Homo	Alouatta:Homo	FALSE
0.04	species	Streptococcus_pantholopis	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_parasanguinis	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Streptococcus_pneumoniae	Alouatta:Gorilla:Homo	Alouatta	FALSE
0.04	species	Streptococcus_pseudopneumoniae	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_pyogenes	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_salivarius	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_sanguinis	Alouatta:Gorilla:Homo	Alouatta:Homo	FALSE
0.04	species	Streptococcus_sobrinus	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._A12	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._DD04	DidNotPassPrevalenceThreshold	Alouatta:Homo	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._DD10	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._I-G2	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._I-P16	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._NPS_308	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._oral_taxon_064	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._oral_taxon_431	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_sp._VT_162	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptococcus_suis	Alouatta:Gorilla	Alouatta	FALSE
0.04	species	Streptococcus_thermophilus	Alouatta	Alouatta	TRUE
0.04	species	Streptococcus_troglodytae	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Streptomyces_sp._JV178	DidNotPassPrevalenceThreshold	Control	DidNotPassPrevalenceThreshold
0.04	species	Tannerella_forsythia	Gorilla:Pan:Homo	Pan:Homo	FALSE
0.04	species	Tannerella_sp._oral_taxon_HOT-286	Pan:Homo	Pan:Homo	TRUE
0.04	species	Tessaracoccus_aquimaris	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Tessaracoccus_flavescens	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Tessaracoccus_flavus	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Tessaracoccus_sp._T2.5-30	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Thermoplasmatales_archaeon_BRNA1	Pan	Pan	TRUE
0.04	species	Treponema_denticola	Pan:Homo	Pan:Homo	TRUE
0.04	species	Treponema_lecithinolyticum	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
0.04	species	Treponema_maltophilum	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Treponema_pedis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Treponema_putidum	Pan	Pan	TRUE
0.04	species	Treponema_socranskii	DidNotPassPrevalenceThreshold	Pan:Homo	DidNotPassPrevalenceThreshold
0.04	species	Treponema_sp._OMZ_838	Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	uncultured_bacterium	Alouatta:Gorilla:Pan:Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Veillonella_parvula	Homo	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.04	species	Veillonella_rodentium	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Abiotrophia	DidNotPassPrevalenceThreshold	Homo	DidNotPassPrevalenceThreshold
0.07	genus	Acidipropionibacterium	Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Actinobacillus	Alouatta:Gorilla	Alouatta	FALSE
0.07	genus	Actinobaculum	DidNotPassPrevalenceThreshold	Alouatta	DidNotPassPrevalenceThreshold
0.07	genus	Actinomyces	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Actinoplanes	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Aggregatibacter	Alouatta:Gorilla:Homo	Alouatta:Gorilla:Homo	TRUE
0.07	genus	Amycolatopsis	Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Anaeroglobus	DidNotPassPrevalenceThreshold	Gorilla:Pan	DidNotPassPrevalenceThreshold
0.07	genus	Atopobium	Pan	Pan	TRUE
0.07	genus	Bacteroides	Pan	Gorilla:Pan	FALSE
0.07	genus	Basfia	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Bifidobacterium	Gorilla:Pan	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Bordetella	Alouatta	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Brachybacterium	Alouatta:Gorilla	DidNotPassPrevalenceThreshold	DidNotPassPrevalenceThreshold
0.07	genus	Campylobacter	Alouatta:Gorilla:Pan:Homo	Alouatta:Gorilla:Pan:Homo	TRUE
0.07	genus	Candidatus_Kryptonium	DidNotPassPrevalenceThreshold	Control	DidNotPassPrevalenceThreshold
0.07	genus	Candidatus_Methanomethylophilus	Pan	Pan	TRUE
0.07	genus	Capnocytophaga	Alouatta:Gorilla:Pan:Homo	Alouatta:Pan:Homo	FALSE
0.07	genus	Cardiobacterium	DidNotPassPrevalenceThreshold	Alouatta:Gorilla:Homo	DidNotPassPrevalenceThreshold
0.07	genus	Clostridium	Pan	Gorilla:Pan	FALSE
0.07	genus	Collinsella	DidNotPassPrevalenceThreshold	Pan	DidNotPassPrevalenceThreshold
