Taxon Genus	Taxon	Block ID (nt)	Host Genus Grouping (nt)
Capnocytophaga	Capnocytophaga_sp_oral_taxon_332	NA	
Porphyromonas	Porphyromonas_endodontalis	NA	
Veillonella	Veillonella_parvula	NA	
Prevotella	Prevotella_loescheii	NA	
Neisseria	Neisseria_macacae	NA	
Actinomyces	Actinomyces_georgiae	NA	
Staphylococcus	Staphylococcus_saprophyticus	NA	
Methanobrevibacter	Methanobrevibacter_smithii	NA	
Aggregatibacter	Aggregatibacter_segnis	NA	
Eubacterium	Eubacterium_infirmum	NA	
Erysipelothrix	Erysipelothrix_rhusiopathiae	NA	
Streptococcus	Streptococcus_parasanguinis	NA	
Escherichia	Escherichia_unclassified	NA	
Actinomyces	Actinomyces_timonensis	NA	
Actinobacillus	Actinobacillus_unclassified	NA	
Sphingobacterium	Sphingobacterium_unclassified	NA	
Kingella	Kingella_unclassified	NA	
Streptococcus	Streptococcus_constellatus	NA	
Mitsuokella	Mitsuokella_unclassified	NA	
Prevotella	Prevotella_saccharolytica	NA	
Catonella	Catonella_morbi	NA	
Porphyromonas	Porphyromonas_sp_oral_taxon_279	NA	
Capnocytophaga	Capnocytophaga_granulosa	NA	
Riemerella	Riemerella_unclassified	NA	
Prevotella	Prevotella_oralis	NA	
Alloprevotella	Alloprevotella_tannerae	NA	
Subdoligranulum	Subdoligranulum_unclassified	NA	
Gemella	Gemella_bergeri	NA	
Streptococcus	Streptococcus_infantis	NA	
Enterococcus	Enterococcus_faecalis	NA	
Acinetobacter	Acinetobacter_unclassified	NA	
Enterobacter	Enterobacter_cloacae	NA	
Neisseria	Neisseria_meningitidis	NA	
Desulfovibrio	Desulfovibrio_desulfuricans	NA	
Capnocytophaga	Capnocytophaga_ochracea	NA	
Leptotrichia	Leptotrichia_buccalis	NA	
Streptococcus	Streptococcus_anginosus	NA	
Polaromonas	Polaromonas_unclassified	NA	
Comamonas	Comamonas_unclassified	NA	
Prevotella	Prevotella_intermedia	NA	
Dasheen	Dasheen_mosaic_virus	NA	
Oxalobacter	Oxalobacter_formigenes	NA	
Collinsella	Collinsella_unclassified	NA	
Atopobium	Atopobium_rimae	NA	
Rothia	Rothia_mucilaginosa	NA	
Eggerthia	Eggerthia_catenaformis	NA	
Prevotella	Prevotella_pleuritidis	NA	
Stenotrophomonas	Stenotrophomonas_maltophilia	NA	
Thiomonas	Thiomonas_unclassified	NA	
Sphingobium	Sphingobium_unclassified	NA	
Brevundimonas	Brevundimonas_unclassified	NA	
Prevotella	Prevotella_buccae	NA	
Prevotella	Prevotella_baroniae	NA	
Treponema	Treponema_medium	NA	
Selenomonas	Selenomonas_sputigena	NA	
Solobacterium	Solobacterium_moorei	NA	
Lachnospiraceae	Lachnospiraceae_oral_taxon_107	NA	
Kocuria	Kocuria_unclassified	NA	
Halomonas	Halomonas_unclassified	NA	
Acinetobacter	Acinetobacter_lwoffii	NA	
Cyclovirus	Cyclovirus_NGchicken15_NGA_2009	NA	
Selenomonas	Selenomonas_artemidis	NA	
