Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	species	combined	0.99	Burkholderia glumae	Burkholderia	glumae
megan	nt	species	combined	0.99	Burkholderia insecticola	Burkholderia	insecticola
megan	nt	species	combined	0.99	Burkholderia lata	Burkholderia	lata
megan	nt	species	combined	0.99	Burkholderia multivorans	Burkholderia	multivorans
megan	nt	species	combined	0.99	Burkholderia pseudomallei	Burkholderia	pseudomallei
megan	nt	species	combined	0.99	Burkholderia sp. AD24	Burkholderia	sp. AD24
megan	nt	species	combined	0.99	Burkholderia sp. CCGE1002	Burkholderia	sp. CCGE1002
megan	nt	species	combined	0.99	Burkholderia sp. KK1	Burkholderia	sp. KK1
megan	nt	species	combined	0.99	Burkholderia sp. OLGA172	Burkholderia	sp. OLGA172
megan	nt	species	combined	0.99	Burkholderia sp. PAMC 28687	Burkholderia	sp. PAMC 28687
megan	nt	species	combined	0.99	Burkholderia stabilis	Burkholderia	stabilis
megan	nt	species	combined	0.99	Burkholderia stagnalis	Burkholderia	stagnalis
megan	nt	species	combined	0.99	Burkholderia thailandensis	Burkholderia	thailandensis
megan	nt	species	combined	0.99	Burkholderia ubonensis	Burkholderia	ubonensis
megan	nt	species	combined	0.99	Burkholderia vietnamiensis	Burkholderia	vietnamiensis
megan	nt	species	combined	0.99	Burkholderiales bacterium GJ-E10	Burkholderiales	bacterium GJ-E10
megan	nt	species	combined	0.99	Byssochlamys spectabilis	Byssochlamys	spectabilis
megan	nt	species	combined	0.99	Caenorhabditis elegans	Caenorhabditis	elegans
megan	nt	species	combined	0.99	Calidris pugnax	Calidris	pugnax
megan	nt	species	combined	0.99	Calothrix brevissima	Calothrix	brevissima
megan	nt	species	combined	0.99	Camelina sativa	Camelina	sativa
megan	nt	species	combined	0.99	Candida albicans	Candida	albicans
megan	nt	species	combined	0.99	Candidatus Accumulibacter phosphatis	Candidatus	Accumulibacter phosphatis
megan	nt	species	combined	0.99	Candidatus Koribacter versatilis	Candidatus	Koribacter versatilis
megan	nt	species	combined	0.99	Candidatus Methylomirabilis oxyfera	Candidatus	Methylomirabilis oxyfera
megan	nt	species	combined	0.99	Candidatus Nitrosocosmicus exaquare	Candidatus	Nitrosocosmicus exaquare
megan	nt	species	combined	0.99	Candidatus Nitrososphaera evergladensis	Candidatus	Nitrososphaera evergladensis
megan	nt	species	combined	0.99	Candidatus Nitrososphaera gargensis	Candidatus	Nitrososphaera gargensis
megan	nt	species	combined	0.99	Candidatus Nitrosotalea devanaterra	Candidatus	Nitrosotalea devanaterra
megan	nt	species	combined	0.99	Candidatus Nitrosotenuis cloacae	Candidatus	Nitrosotenuis cloacae
megan	nt	species	combined	0.99	Candidatus Nitrospira inopinata	Candidatus	Nitrospira inopinata
megan	nt	species	combined	0.99	Candidatus Solibacter usitatus	Candidatus	Solibacter usitatus
megan	nt	species	combined	0.99	Candidatus Symbiobacter mobilis	Candidatus	Symbiobacter mobilis
megan	nt	species	combined	0.99	Candidatus Tenderia electrophaga	Candidatus	Tenderia electrophaga
megan	nt	species	combined	0.99	Canis lupus	Canis	lupus
megan	nt	species	combined	0.99	Cannabis sativa	Cannabis	sativa
megan	nt	species	combined	0.99	Capnocytophaga canimorsus	Capnocytophaga	canimorsus
megan	nt	species	combined	0.99	Capnocytophaga haemolytica	Capnocytophaga	haemolytica
megan	nt	species	combined	0.99	Capreolus capreolus	Capreolus	capreolus
megan	nt	species	combined	0.99	Capronia coronata	Capronia	coronata
megan	nt	species	combined	0.99	Capronia epimyces	Capronia	epimyces
megan	nt	species	combined	0.99	Carnobacterium inhibens	Carnobacterium	inhibens
megan	nt	species	combined	0.99	Carnobacterium maltaromaticum	Carnobacterium	maltaromaticum
megan	nt	species	combined	0.99	Carnobacterium sp. CP1	Carnobacterium	sp. CP1
megan	nt	species	combined	0.99	Castellaniella defragrans	Castellaniella	defragrans
megan	nt	species	combined	0.99	Catenulispora acidiphila	Catenulispora	acidiphila
megan	nt	species	combined	0.99	Caulobacter henricii	Caulobacter	henricii
megan	nt	species	combined	0.99	Caulobacter phage Ccr29	Caulobacter	phage Ccr29
megan	nt	species	combined	0.99	Caulobacter segnis	Caulobacter	segnis
megan	nt	species	combined	0.99	Caulobacter sp. K31	Caulobacter	sp. K31
megan	nt	species	combined	0.99	Caulobacter vibrioides	Caulobacter	vibrioides
megan	nt	species	combined	0.99	Celeribacter indicus	Celeribacter	indicus
megan	nt	species	combined	0.99	Celeribacter manganoxidans	Celeribacter	manganoxidans
megan	nt	species	combined	0.99	Cellulomonas fimi	Cellulomonas	fimi
megan	nt	species	combined	0.99	Cellulomonas flavigena	Cellulomonas	flavigena
megan	nt	species	combined	0.99	Cellulomonas gilvus	Cellulomonas	gilvus
megan	nt	species	combined	0.99	Cellulomonas sp. PSBB021	Cellulomonas	sp. PSBB021
megan	nt	species	combined	0.99	Cellulosimicrobium cellulans	Cellulosimicrobium	cellulans
megan	nt	species	combined	0.99	Cellulosimicrobium sp. TH-20	Cellulosimicrobium	sp. TH-20
megan	nt	species	combined	0.99	Ceratocystis cacaofunesta	Ceratocystis	cacaofunesta
megan	nt	species	combined	0.99	Chaetomium thermophilum	Chaetomium	thermophilum
megan	nt	species	combined	0.99	Chelativorans sp. BNC1	Chelativorans	sp. BNC1
megan	nt	species	combined	0.99	Chelatococcus daeguensis	Chelatococcus	daeguensis
megan	nt	species	combined	0.99	Chelatococcus sp. CO-6	Chelatococcus	sp. CO-6
megan	nt	species	combined	0.99	Chenopodium quinoa	Chenopodium	quinoa
megan	nt	species	combined	0.99	Chitinophaga pinensis	Chitinophaga	pinensis
megan	nt	species	combined	0.99	Chloracidobacterium thermophilum	Chloracidobacterium	thermophilum
megan	nt	species	combined	0.99	Chlorobaculum limnaeum	Chlorobaculum	limnaeum
megan	nt	species	combined	0.99	Chlorobaculum parvum	Chlorobaculum	parvum
megan	nt	species	combined	0.99	Chlorobaculum tepidum	Chlorobaculum	tepidum
megan	nt	species	combined	0.99	Chlorobium limicola	Chlorobium	limicola
megan	nt	species	combined	0.99	Chlorobium phaeovibrioides	Chlorobium	phaeovibrioides
megan	nt	species	combined	0.99	Chondromyces crocatus	Chondromyces	crocatus
megan	nt	species	combined	0.99	Christensenella massiliensis	Christensenella	massiliensis
megan	nt	species	combined	0.99	Chromatiaceae bacterium 2141T.STBD.0c.01a	Chromatiaceae	bacterium 2141T.STBD.0c.01a
megan	nt	species	combined	0.99	Chromobacterium vaccinii	Chromobacterium	vaccinii
megan	nt	species	combined	0.99	Chromobacterium violaceum	Chromobacterium	violaceum
megan	nt	species	combined	0.99	Chryseobacterium glaciei	Chryseobacterium	glaciei
megan	nt	species	combined	0.99	Chryseobacterium sp. IHB B 17019	Chryseobacterium	sp. IHB B 17019
megan	nt	species	combined	0.99	Chryseobacterium sp. StRB126	Chryseobacterium	sp. StRB126
megan	nt	species	combined	0.99	Chryseobacterium taklimakanense	Chryseobacterium	taklimakanense
megan	nt	species	combined	0.99	Chrysoporthe austroafricana	Chrysoporthe	austroafricana
megan	nt	species	combined	0.99	Chrysoporthe deuterocubensis	Chrysoporthe	deuterocubensis
megan	nt	species	combined	0.99	Citrobacter braakii	Citrobacter	braakii
megan	nt	species	combined	0.99	Citrobacter freundii	Citrobacter	freundii
megan	nt	species	combined	0.99	Citrobacter koseri	Citrobacter	koseri
megan	nt	species	combined	0.99	Citrobacter rodentium	Citrobacter	rodentium
megan	nt	species	combined	0.99	Citrobacter werkmanii	Citrobacter	werkmanii
megan	nt	species	combined	0.99	Citromicrobium sp. JL477	Citromicrobium	sp. JL477
megan	nt	species	combined	0.99	Cladophialophora bantiana	Cladophialophora	bantiana
megan	nt	species	combined	0.99	Cladophialophora carrionii	Cladophialophora	carrionii
megan	nt	species	combined	0.99	Cladophialophora immunda	Cladophialophora	immunda
megan	nt	species	combined	0.99	Cladophialophora psammophila	Cladophialophora	psammophila
megan	nt	species	combined	0.99	Cladophialophora yegresii	Cladophialophora	yegresii
megan	nt	species	combined	0.99	Clavibacter michiganensis	Clavibacter	michiganensis
megan	nt	species	combined	0.99	Cloning vector pFosill-2	Cloning	vector pFosill-2
megan	nt	species	combined	0.99	Clostridium baratii	Clostridium	baratii
megan	nt	species	combined	0.99	Clostridium chauvoei	Clostridium	chauvoei
megan	nt	species	combined	0.99	Clostridium kluyveri	Clostridium	kluyveri
megan	nt	species	combined	0.99	Clostridium tetani	Clostridium	tetani
megan	nt	species	combined	0.99	Cnuibacter physcomitrellae	Cnuibacter	physcomitrellae
megan	nt	species	combined	0.99	Coccidioides immitis	Coccidioides	immitis
megan	nt	species	combined	0.99	Coccidioides posadasii	Coccidioides	posadasii
megan	nt	species	combined	0.99	Colletotrichum fioriniae	Colletotrichum	fioriniae
megan	nt	species	combined	0.99	Colletotrichum fructicola	Colletotrichum	fructicola
megan	nt	species	combined	0.99	Colletotrichum gloeosporioides	Colletotrichum	gloeosporioides
megan	nt	species	combined	0.99	Colletotrichum graminicola	Colletotrichum	graminicola
megan	nt	species	combined	0.99	Colletotrichum higginsianum	Colletotrichum	higginsianum
megan	nt	species	combined	0.99	Colletotrichum orchidophilum	Colletotrichum	orchidophilum
megan	nt	species	combined	0.99	Collimonas arenae	Collimonas	arenae
megan	nt	species	combined	0.99	Collimonas fungivorans	Collimonas	fungivorans
megan	nt	species	combined	0.99	Collimonas pratensis	Collimonas	pratensis
megan	nt	species	combined	0.99	Comamonadaceae bacterium A1	Comamonadaceae	bacterium A1
megan	nt	species	combined	0.99	Comamonadaceae bacterium B1	Comamonadaceae	bacterium B1
megan	nt	species	combined	0.99	Comamonas aquatica	Comamonas	aquatica
megan	nt	species	combined	0.99	Comamonas kerstersii	Comamonas	kerstersii
megan	nt	species	combined	0.99	Comamonas serinivorans	Comamonas	serinivorans
megan	nt	species	combined	0.99	Comamonas testosteroni	Comamonas	testosteroni
megan	nt	species	combined	0.99	Conexibacter woesei	Conexibacter	woesei
megan	nt	species	combined	0.99	Confluentimicrobium sp. EMB200-NS6	Confluentimicrobium	sp. EMB200-NS6
megan	nt	species	combined	0.99	Coniosporium apollinis	Coniosporium	apollinis
megan	nt	species	combined	0.99	Conus episcopatus	Conus	episcopatus
megan	nt	species	combined	0.99	Coprococcus catus	Coprococcus	catus
megan	nt	species	combined	0.99	Coprococcus sp. ART55/1	Coprococcus	sp. ART55/1
megan	nt	species	combined	0.99	Corallococcus coralloides	Corallococcus	coralloides
megan	nt	species	combined	0.99	Cordyceps fumosorosea	Cordyceps	fumosorosea
megan	nt	species	combined	0.99	Cordyceps militaris	Cordyceps	militaris
megan	nt	species	combined	0.99	Corynebacterium ammoniagenes	Corynebacterium	ammoniagenes
megan	nt	species	combined	0.99	Corynebacterium atypicum	Corynebacterium	atypicum
megan	nt	species	combined	0.99	Corynebacterium aurimucosum	Corynebacterium	aurimucosum
megan	nt	species	combined	0.99	Corynebacterium casei	Corynebacterium	casei
megan	nt	species	combined	0.99	Corynebacterium doosanense	Corynebacterium	doosanense
megan	nt	species	combined	0.99	Corynebacterium efficiens	Corynebacterium	efficiens
megan	nt	species	combined	0.99	Corynebacterium falsenii	Corynebacterium	falsenii
megan	nt	species	combined	0.99	Corynebacterium flavescens	Corynebacterium	flavescens
megan	nt	species	combined	0.99	Corynebacterium frankenforstense	Corynebacterium	frankenforstense
megan	nt	species	combined	0.99	Corynebacterium glaucum	Corynebacterium	glaucum
megan	nt	species	combined	0.99	Corynebacterium halotolerans	Corynebacterium	halotolerans
megan	nt	species	combined	0.99	Corynebacterium humireducens	Corynebacterium	humireducens
megan	nt	species	combined	0.99	Corynebacterium imitans	Corynebacterium	imitans
megan	nt	species	combined	0.99	Corynebacterium kroppenstedtii	Corynebacterium	kroppenstedtii
megan	nt	species	combined	0.99	Corynebacterium marinum	Corynebacterium	marinum
megan	nt	species	combined	0.99	Corynebacterium mycetoides	Corynebacterium	mycetoides
megan	nt	species	combined	0.99	Corynebacterium phocae	Corynebacterium	phocae
megan	nt	species	combined	0.99	Corynebacterium riegelii	Corynebacterium	riegelii
megan	nt	species	combined	0.99	Corynebacterium simulans	Corynebacterium	simulans
megan	nt	species	combined	0.99	Corynebacterium singulare	Corynebacterium	singulare
megan	nt	species	combined	0.99	Corynebacterium sp. ATCC 6931	Corynebacterium	sp. ATCC 6931
megan	nt	species	combined	0.99	Corynebacterium sp. NML98-0116	Corynebacterium	sp. NML98-0116
megan	nt	species	combined	0.99	Corynebacterium sphenisci	Corynebacterium	sphenisci
megan	nt	species	combined	0.99	Corynebacterium stationis	Corynebacterium	stationis
megan	nt	species	combined	0.99	Corynebacterium urealyticum	Corynebacterium	urealyticum
megan	nt	species	combined	0.99	Corynebacterium ureicelerivorans	Corynebacterium	ureicelerivorans
megan	nt	species	combined	0.99	Corynebacterium variabile	Corynebacterium	variabile
megan	nt	species	combined	0.99	Corynebacterium vitaeruminis	Corynebacterium	vitaeruminis
megan	nt	species	combined	0.99	Croceicoccus marinus	Croceicoccus	marinus
megan	nt	species	combined	0.99	Croceicoccus naphthovorans	Croceicoccus	naphthovorans
megan	nt	species	combined	0.99	Cryobacterium arcticum	Cryobacterium	arcticum
megan	nt	species	combined	0.99	Cryphonectria parasitica	Cryphonectria	parasitica
megan	nt	species	combined	0.99	Cucumis melo	Cucumis	melo
megan	nt	species	combined	0.99	Culex quinquefasciatus	Culex	quinquefasciatus
megan	nt	species	combined	0.99	Cupriavidus basilensis	Cupriavidus	basilensis
megan	nt	species	combined	0.99	Cupriavidus gilardii	Cupriavidus	gilardii
megan	nt	species	combined	0.99	Cupriavidus metallidurans	Cupriavidus	metallidurans
megan	nt	species	combined	0.99	Cupriavidus nantongensis	Cupriavidus	nantongensis
megan	nt	species	combined	0.99	Cupriavidus necator	Cupriavidus	necator
megan	nt	species	combined	0.99	Cupriavidus pinatubonensis	Cupriavidus	pinatubonensis
megan	nt	species	combined	0.99	Cupriavidus taiwanensis	Cupriavidus	taiwanensis
megan	nt	species	combined	0.99	Curtobacterium pusillum	Curtobacterium	pusillum
megan	nt	species	combined	0.99	Curtobacterium sp. 9128	Curtobacterium	sp. 9128
megan	nt	species	combined	0.99	Curtobacterium sp. BH-2-1-1	Curtobacterium	sp. BH-2-1-1
megan	nt	species	combined	0.99	Curtobacterium sp. MR_MD2014	Curtobacterium	sp. MR_MD2014
megan	nt	species	combined	0.99	Curvibacter putative symbiont of Hydra magnipapillata	Curvibacter	putative symbiont of Hydra magnipapillata
megan	nt	species	combined	0.99	Curvibacter sp. AEP1-3	Curvibacter	sp. AEP1-3
megan	nt	species	combined	0.99	Cutibacterium acnes	Cutibacterium	acnes
megan	nt	species	combined	0.99	Cutibacterium granulosum	Cutibacterium	granulosum
megan	nt	species	combined	0.99	Cylicostephanus goldi	Cylicostephanus	goldi
megan	nt	species	combined	0.99	Cyprinus carpio	Cyprinus	carpio
megan	nt	species	combined	0.99	Cystobacter fuscus	Cystobacter	fuscus
megan	nt	species	combined	0.99	Danio rerio	Danio	rerio
megan	nt	species	combined	0.99	Daucus carota	Daucus	carota
megan	nt	species	combined	0.99	Debaryomyces fabryi	Debaryomyces	fabryi
megan	nt	species	combined	0.99	Dechloromonas aromatica	Dechloromonas	aromatica
megan	nt	species	combined	0.99	Defluviimonas alba	Defluviimonas	alba
megan	nt	species	combined	0.99	Dehalogenimonas lykanthroporepellens	Dehalogenimonas	lykanthroporepellens
megan	nt	species	combined	0.99	Deinococcus ficus	Deinococcus	ficus
megan	nt	species	combined	0.99	Deinococcus gobiensis	Deinococcus	gobiensis
megan	nt	species	combined	0.99	Delftia acidovorans	Delftia	acidovorans
megan	nt	species	combined	0.99	Delftia sp. Cs1-4	Delftia	sp. Cs1-4
megan	nt	species	combined	0.99	Delftia sp. HK171	Delftia	sp. HK171
megan	nt	species	combined	0.99	Delftia tsuruhatensis	Delftia	tsuruhatensis
megan	nt	species	combined	0.99	Dermacoccus nishinomiyaensis	Dermacoccus	nishinomiyaensis
megan	nt	species	combined	0.99	Desulfarculus baarsii	Desulfarculus	baarsii
megan	nt	species	combined	0.99	Desulfococcus oleovorans	Desulfococcus	oleovorans
megan	nt	species	combined	0.99	Desulfomicrobium baculatum	Desulfomicrobium	baculatum
megan	nt	species	combined	0.99	Desulfovibrio alaskensis	Desulfovibrio	alaskensis
megan	nt	species	combined	0.99	Desulfovibrio desulfuricans	Desulfovibrio	desulfuricans
megan	nt	species	combined	0.99	Desulfovibrio magneticus	Desulfovibrio	magneticus
megan	nt	species	combined	0.99	Desulfovibrio vulgaris	Desulfovibrio	vulgaris
megan	nt	species	combined	0.99	Desulfuromonas soudanensis	Desulfuromonas	soudanensis
megan	nt	species	combined	0.99	Desulfuromonas sp. DDH964	Desulfuromonas	sp. DDH964
megan	nt	species	combined	0.99	Devosia sp. A16	Devosia	sp. A16
megan	nt	species	combined	0.99	Devosia sp. H5989	Devosia	sp. H5989
megan	nt	species	combined	0.99	Diaphorobacter polyhydroxybutyrativorans	Diaphorobacter	polyhydroxybutyrativorans
megan	nt	species	combined	0.99	Dibothriocephalus latus	Dibothriocephalus	latus
megan	nt	species	combined	0.99	Dichelobacter nodosus	Dichelobacter	nodosus
megan	nt	species	combined	0.99	Dickeya dadantii	Dickeya	dadantii
megan	nt	species	combined	0.99	Dickeya zeae	Dickeya	zeae
megan	nt	species	combined	0.99	Dietzia timorensis	Dietzia	timorensis
megan	nt	species	combined	0.99	Dioon edule	Dioon	edule
megan	nt	species	combined	0.99	Diplostephium hartwegii	Diplostephium	hartwegii
megan	nt	species	combined	0.99	Dokdonella koreensis	Dokdonella	koreensis
megan	nt	species	combined	0.99	Dracunculus medinensis	Dracunculus	medinensis
megan	nt	species	combined	0.99	Drosophila melanogaster	Drosophila	melanogaster
megan	nt	species	combined	0.99	Dyella japonica	Dyella	japonica
megan	nt	species	combined	0.99	Dyella jiangningensis	Dyella	jiangningensis
megan	nt	species	combined	0.99	Dyella thiooxydans	Dyella	thiooxydans
megan	nt	species	combined	0.99	Echinostoma caproni	Echinostoma	caproni
megan	nt	species	combined	0.99	Eimeria acervulina	Eimeria	acervulina
megan	nt	species	combined	0.99	Eimeria mitis	Eimeria	mitis
megan	nt	species	combined	0.99	Elaeophora elaphi	Elaeophora	elaphi
megan	nt	species	combined	0.99	Elizabethkingia anophelis	Elizabethkingia	anophelis
megan	nt	species	combined	0.99	Elizabethkingia meningoseptica	Elizabethkingia	meningoseptica
megan	nt	species	combined	0.99	Endocarpon pusillum	Endocarpon	pusillum
megan	nt	species	combined	0.99	endosymbiont of unidentified scaly snail isolate Monju	endosymbiont	of unidentified scaly snail isolate Monju
megan	nt	species	combined	0.99	Ensifer adhaerens	Ensifer	adhaerens
megan	nt	species	combined	0.99	Ensifer sojae	Ensifer	sojae
megan	nt	species	combined	0.99	Enterobacter asburiae	Enterobacter	asburiae
megan	nt	species	combined	0.99	Enterobacter roggenkampii	Enterobacter	roggenkampii
megan	nt	species	combined	0.99	Enterobacter sp. E20	Enterobacter	sp. E20
megan	nt	species	combined	0.99	Enterobacter sp. HK169	Enterobacter	sp. HK169
megan	nt	species	combined	0.99	Enterobacteriaceae bacterium strain FGI 57	Enterobacteriaceae	bacterium strain FGI 57
megan	nt	species	combined	0.99	Enterobius vermicularis	Enterobius	vermicularis
megan	nt	species	combined	0.99	Enterococcus casseliflavus	Enterococcus	casseliflavus
megan	nt	species	combined	0.99	Enterococcus durans	Enterococcus	durans
megan	nt	species	combined	0.99	Enterococcus gallinarum	Enterococcus	gallinarum
megan	nt	species	combined	0.99	Enterococcus hirae	Enterococcus	hirae
megan	nt	species	combined	0.99	Enterococcus rotai	Enterococcus	rotai
megan	nt	species	combined	0.99	Enterococcus thailandicus	Enterococcus	thailandicus
megan	nt	species	combined	0.99	Epichloe typhina	Epichloe	typhina
megan	nt	species	combined	0.99	Eptatretus burgeri	Eptatretus	burgeri
megan	nt	species	combined	0.99	Erinaceus europaeus	Erinaceus	europaeus
megan	nt	species	combined	0.99	Erysipelothrix rhusiopathiae	Erysipelothrix	rhusiopathiae
megan	nt	species	combined	0.99	Erythranthe guttata	Erythranthe	guttata
megan	nt	species	combined	0.99	Erythrobacter flavus	Erythrobacter	flavus
megan	nt	species	combined	0.99	Erythrobacter litoralis	Erythrobacter	litoralis
megan	nt	species	combined	0.99	Erythrobacter sp. HL-111	Erythrobacter	sp. HL-111
megan	nt	species	combined	0.99	Escherichia coli	Escherichia	coli
megan	nt	species	combined	0.99	Esteya vermicola	Esteya	vermicola
megan	nt	species	combined	0.99	Eubacterium sp. oral clone FX028	Eubacterium	sp. oral clone FX028
megan	nt	species	combined	0.99	Eurotiomycetes sp. genotype 613	Eurotiomycetes	sp. genotype 613
megan	nt	species	combined	0.99	Eutypa lata	Eutypa	lata
megan	nt	species	combined	0.99	Exiguobacterium antarcticum	Exiguobacterium	antarcticum
megan	nt	species	combined	0.99	Exiguobacterium arabatum	Exiguobacterium	arabatum
megan	nt	species	combined	0.99	Exiguobacterium oxidotolerans	Exiguobacterium	oxidotolerans
megan	nt	species	combined	0.99	Exiguobacterium sibiricum	Exiguobacterium	sibiricum
megan	nt	species	combined	0.99	Exiguobacterium sp. AT1b	Exiguobacterium	sp. AT1b
megan	nt	species	combined	0.99	Exiguobacterium sp. MH3	Exiguobacterium	sp. MH3
megan	nt	species	combined	0.99	Exiguobacterium sp. S3-2	Exiguobacterium	sp. S3-2
megan	nt	species	combined	0.99	Exiguobacterium sp. U13-1	Exiguobacterium	sp. U13-1
megan	nt	species	combined	0.99	Exiguobacterium sp. ZWU0009	Exiguobacterium	sp. ZWU0009
megan	nt	species	combined	0.99	Exophiala aquamarina	Exophiala	aquamarina
megan	nt	species	combined	0.99	Exophiala dermatitidis	Exophiala	dermatitidis
megan	nt	species	combined	0.99	Exophiala mesophila	Exophiala	mesophila
megan	nt	species	combined	0.99	Exophiala oligosperma	Exophiala	oligosperma
megan	nt	species	combined	0.99	Exophiala spinifera	Exophiala	spinifera
megan	nt	species	combined	0.99	Exophiala xenobiotica	Exophiala	xenobiotica
megan	nt	species	combined	0.99	Exserohilum turcicum	Exserohilum	turcicum
megan	nt	species	combined	0.99	Faecalitalea cylindroides	Faecalitalea	cylindroides
megan	nt	species	combined	0.99	Fargesia denudata	Fargesia	denudata
megan	nt	species	combined	0.99	Felis catus	Felis	catus
megan	nt	species	combined	0.99	Ferrocalamus rimosivaginus	Ferrocalamus	rimosivaginus
megan	nt	species	combined	0.99	Ficedula albicollis	Ficedula	albicollis
megan	nt	species	combined	0.99	Fimbriimonas ginsengisoli	Fimbriimonas	ginsengisoli
megan	nt	species	combined	0.99	Flavobacterium columnare	Flavobacterium	columnare
megan	nt	species	combined	0.99	Flavobacterium commune	Flavobacterium	commune
megan	nt	species	combined	0.99	Flavobacterium gilvum	Flavobacterium	gilvum
megan	nt	species	combined	0.99	Flavobacterium johnsoniae	Flavobacterium	johnsoniae
megan	nt	species	combined	0.99	Flavobacterium psychrophilum	Flavobacterium	psychrophilum
megan	nt	species	combined	0.99	Fonsecaea erecta	Fonsecaea	erecta
megan	nt	species	combined	0.99	Fonsecaea multimorphosa	Fonsecaea	multimorphosa
megan	nt	species	combined	0.99	Fonticula alba	Fonticula	alba
megan	nt	species	combined	0.99	Frankia alni	Frankia	alni
megan	nt	species	combined	0.99	Frankia casuarinae	Frankia	casuarinae
megan	nt	species	combined	0.99	Frankia inefficax	Frankia	inefficax
megan	nt	species	combined	0.99	Frankia sp. EAN1pec	Frankia	sp. EAN1pec
megan	nt	species	combined	0.99	Frankia symbiont of Datisca glomerata	Frankia	symbiont of Datisca glomerata
megan	nt	species	combined	0.99	Frankineae bacterium MT45	Frankineae	bacterium MT45
megan	nt	species	combined	0.99	Friedmanniella luteola	Friedmanniella	luteola
megan	nt	species	combined	0.99	Friedmanniella sagamiharensis	Friedmanniella	sagamiharensis
megan	nt	species	combined	0.99	Frondihabitans sp. PAMC 28766	Frondihabitans	sp. PAMC 28766
megan	nt	species	combined	0.99	Fusarium culmorum	Fusarium	culmorum
megan	nt	species	combined	0.99	Fusarium oxysporum	Fusarium	oxysporum
megan	nt	species	combined	0.99	Fusarium pseudograminearum	Fusarium	pseudograminearum
megan	nt	species	combined	0.99	Fusarium solani	Fusarium	solani
megan	nt	species	combined	0.99	Fusarium verticillioides	Fusarium	verticillioides
megan	nt	species	combined	0.99	Fusobacterium varium	Fusobacterium	varium
megan	nt	species	combined	0.99	Galium aparine	Galium	aparine
megan	nt	species	combined	0.99	Gallus gallus	Gallus	gallus
megan	nt	species	combined	0.99	gamma proteobacterium HdN1	gamma	proteobacterium HdN1
megan	nt	species	combined	0.99	Ganoderma sinense	Ganoderma	sinense
megan	nt	species	combined	0.99	Gardnerella vaginalis	Gardnerella	vaginalis
megan	nt	species	combined	0.99	Geastrum cf. triplex B KH-2011	Geastrum	cf. triplex B KH-2011
megan	nt	species	combined	0.99	Gemella morbillorum	Gemella	morbillorum
megan	nt	species	combined	0.99	Gemmata sp. SH-PL17	Gemmata	sp. SH-PL17
megan	nt	species	combined	0.99	Gemmatimonas aurantiaca	Gemmatimonas	aurantiaca
megan	nt	species	combined	0.99	Gemmatimonas phototrophica	Gemmatimonas	phototrophica
megan	nt	species	combined	0.99	Gemmatirosa kalamazoonesis	Gemmatirosa	kalamazoonesis
megan	nt	species	combined	0.99	Geobacillus sp. WCH70	Geobacillus	sp. WCH70
megan	nt	species	combined	0.99	Geobacter metallireducens	Geobacter	metallireducens
megan	nt	species	combined	0.99	Geobacter sp. M18	Geobacter	sp. M18
megan	nt	species	combined	0.99	Geobacter sulfurreducens	Geobacter	sulfurreducens
megan	nt	species	combined	0.99	Geobacter uraniireducens	Geobacter	uraniireducens
megan	nt	species	combined	0.99	Geodermatophilus obscurus	Geodermatophilus	obscurus
megan	nt	species	combined	0.99	Glarea lozoyensis	Glarea	lozoyensis
megan	nt	species	combined	0.99	Gloeobacter violaceus	Gloeobacter	violaceus
megan	nt	species	combined	0.99	Gluconacetobacter diazotrophicus	Gluconacetobacter	diazotrophicus
megan	nt	species	combined	0.99	Glutamicibacter arilaitensis	Glutamicibacter	arilaitensis
megan	nt	species	combined	0.99	Glycine max	Glycine	max
megan	nt	species	combined	0.99	Gongylonema pulchrum	Gongylonema	pulchrum
megan	nt	species	combined	0.99	Gordonia bronchialis	Gordonia	bronchialis
megan	nt	species	combined	0.99	Gordonia phthalatica	Gordonia	phthalatica
megan	nt	species	combined	0.99	Gordonia polyisoprenivorans	Gordonia	polyisoprenivorans
megan	nt	species	combined	0.99	Gordonia rubripertincta	Gordonia	rubripertincta
megan	nt	species	combined	0.99	Gordonia sp. 1D	Gordonia	sp. 1D
megan	nt	species	combined	0.99	Gordonia sp. KTR9	Gordonia	sp. KTR9
megan	nt	species	combined	0.99	Gordonia terrae	Gordonia	terrae
megan	nt	species	combined	0.99	Gorilla beringei	Gorilla	beringei
megan	nt	species	combined	0.99	Gossypium hirsutum	Gossypium	hirsutum
megan	nt	species	combined	0.99	Gossypium raimondii	Gossypium	raimondii
megan	nt	species	combined	0.99	Granulibacter bethesdensis	Granulibacter	bethesdensis
megan	nt	species	combined	0.99	Granulicella mallensis	Granulicella	mallensis
megan	nt	species	combined	0.99	Granulicella tundricola	Granulicella	tundricola
megan	nt	species	combined	0.99	Grosmannia clavigera	Grosmannia	clavigera
megan	nt	species	combined	0.99	Gynochthodes officinalis	Gynochthodes	officinalis
megan	nt	species	combined	0.99	Haemonchus placei	Haemonchus	placei
megan	nt	species	combined	0.99	Hafnia alvei	Hafnia	alvei
megan	nt	species	combined	0.99	Haliangium ochraceum	Haliangium	ochraceum
megan	nt	species	combined	0.99	Halomonas aestuarii	Halomonas	aestuarii
