Binning Method	Database	Taxonomic Level	Decontam Method	Decontam Threshold	Contaminant	Genus	Species
megan	nt	genus	combined	0.99	Blastococcus	Blastococcus	NA
megan	nt	genus	combined	0.99	Blastomonas	Blastomonas	NA
megan	nt	genus	combined	0.99	Blastomyces	Blastomyces	NA
megan	nt	genus	combined	0.99	Bombyx	Bombyx	NA
megan	nt	genus	combined	0.99	Bos	Bos	NA
megan	nt	genus	combined	0.99	Bosea	Bosea	NA
megan	nt	genus	combined	0.99	Botrytis	Botrytis	NA
megan	nt	genus	combined	0.99	Brachypodium	Brachypodium	NA
megan	nt	genus	combined	0.99	Bradyrhizobium	Bradyrhizobium	NA
megan	nt	genus	combined	0.99	Brassica	Brassica	NA
megan	nt	genus	combined	0.99	Brenneria	Brenneria	NA
megan	nt	genus	combined	0.99	Brevibacillus	Brevibacillus	NA
megan	nt	genus	combined	0.99	Brevibacterium	Brevibacterium	NA
megan	nt	genus	combined	0.99	Brevundimonas	Brevundimonas	NA
megan	nt	genus	combined	0.99	Brucella	Brucella	NA
megan	nt	genus	combined	0.99	Brugia	Brugia	NA
megan	nt	genus	combined	0.99	Bryoria	Bryoria	NA
megan	nt	genus	combined	0.99	Burkholderia	Burkholderia	NA
megan	nt	genus	combined	0.99	Byssochlamys	Byssochlamys	NA
megan	nt	genus	combined	0.99	Caenorhabditis	Caenorhabditis	NA
megan	nt	genus	combined	0.99	Caldicellulosiruptor	Caldicellulosiruptor	NA
megan	nt	genus	combined	0.99	Calidris	Calidris	NA
megan	nt	genus	combined	0.99	Calothrix	Calothrix	NA
megan	nt	genus	combined	0.99	Camelina	Camelina	NA
megan	nt	genus	combined	0.99	Camelus	Camelus	NA
megan	nt	genus	combined	0.99	Candida	Candida	NA
megan	nt	genus	combined	0.99	Candida <Debaryomycetaceae>	Candida	<Debaryomycetaceae>
megan	nt	genus	combined	0.99	Candidatus Accumulibacter	Candidatus	Accumulibacter
megan	nt	genus	combined	0.99	Candidatus Koribacter	Candidatus	Koribacter
megan	nt	genus	combined	0.99	Candidatus Methylomirabilis	Candidatus	Methylomirabilis
megan	nt	genus	combined	0.99	Candidatus Nitrosocosmicus	Candidatus	Nitrosocosmicus
megan	nt	genus	combined	0.99	Candidatus Nitrosotalea	Candidatus	Nitrosotalea
megan	nt	genus	combined	0.99	Candidatus Nitrosotenuis	Candidatus	Nitrosotenuis
megan	nt	genus	combined	0.99	Candidatus Solibacter	Candidatus	Solibacter
megan	nt	genus	combined	0.99	Candidatus Symbiobacter	Candidatus	Symbiobacter
megan	nt	genus	combined	0.99	Candidatus Tenderia	Candidatus	Tenderia
megan	nt	genus	combined	0.99	Canis	Canis	NA
megan	nt	genus	combined	0.99	Cannabis	Cannabis	NA
megan	nt	genus	combined	0.99	Capreolus	Capreolus	NA
megan	nt	genus	combined	0.99	Capronia	Capronia	NA
megan	nt	genus	combined	0.99	Carnobacterium	Carnobacterium	NA
megan	nt	genus	combined	0.99	Castellaniella	Castellaniella	NA
megan	nt	genus	combined	0.99	Catenulispora	Catenulispora	NA
megan	nt	genus	combined	0.99	Caulobacter	Caulobacter	NA
megan	nt	genus	combined	0.99	Celeribacter	Celeribacter	NA
megan	nt	genus	combined	0.99	Ceratocystis	Ceratocystis	NA
megan	nt	genus	combined	0.99	Chelativorans	Chelativorans	NA
megan	nt	genus	combined	0.99	Chelatococcus	Chelatococcus	NA
megan	nt	genus	combined	0.99	Chenopodium	Chenopodium	NA
megan	nt	genus	combined	0.99	Chitinophaga	Chitinophaga	NA
megan	nt	genus	combined	0.99	Chloracidobacterium	Chloracidobacterium	NA
megan	nt	genus	combined	0.99	Chlorobaculum	Chlorobaculum	NA
megan	nt	genus	combined	0.99	Chlorobium	Chlorobium	NA
megan	nt	genus	combined	0.99	Chondromyces	Chondromyces	NA
megan	nt	genus	combined	0.99	Christensenella	Christensenella	NA
megan	nt	genus	combined	0.99	Chromobacterium	Chromobacterium	NA
megan	nt	genus	combined	0.99	Chrysoporthe	Chrysoporthe	NA
megan	nt	genus	combined	0.99	Citrobacter	Citrobacter	NA
megan	nt	genus	combined	0.99	Citromicrobium	Citromicrobium	NA
megan	nt	genus	combined	0.99	Citrus	Citrus	NA
megan	nt	genus	combined	0.99	Cladophialophora	Cladophialophora	NA
megan	nt	genus	combined	0.99	Clavibacter	Clavibacter	NA
megan	nt	genus	combined	0.99	Clavispora	Clavispora	NA
megan	nt	genus	combined	0.99	Cnuibacter	Cnuibacter	NA
megan	nt	genus	combined	0.99	Coccidioides	Coccidioides	NA
megan	nt	genus	combined	0.99	Collimonas	Collimonas	NA
megan	nt	genus	combined	0.99	Comamonas	Comamonas	NA
megan	nt	genus	combined	0.99	Conexibacter	Conexibacter	NA
megan	nt	genus	combined	0.99	Confluentimicrobium	Confluentimicrobium	NA
megan	nt	genus	combined	0.99	Coniosporium <Dothideomycetes incertae sedis>	Coniosporium	<Dothideomycetes incertae sedis>
megan	nt	genus	combined	0.99	Conus <genus>	Conus	<genus>
megan	nt	genus	combined	0.99	Coprococcus	Coprococcus	NA
megan	nt	genus	combined	0.99	Corallococcus	Corallococcus	NA
megan	nt	genus	combined	0.99	Cordyceps	Cordyceps	NA
megan	nt	genus	combined	0.99	Corvus	Corvus	NA
megan	nt	genus	combined	0.99	Croceicoccus	Croceicoccus	NA
megan	nt	genus	combined	0.99	Cryobacterium	Cryobacterium	NA
megan	nt	genus	combined	0.99	Cryphonectria	Cryphonectria	NA
megan	nt	genus	combined	0.99	Cucumis	Cucumis	NA
megan	nt	genus	combined	0.99	Culex	Culex	NA
megan	nt	genus	combined	0.99	Cupriavidus	Cupriavidus	NA
megan	nt	genus	combined	0.99	Curtobacterium	Curtobacterium	NA
megan	nt	genus	combined	0.99	Curvibacter	Curvibacter	NA
megan	nt	genus	combined	0.99	Cutibacterium	Cutibacterium	NA
megan	nt	genus	combined	0.99	Cyanobium	Cyanobium	NA
megan	nt	genus	combined	0.99	Cylicostephanus	Cylicostephanus	NA
megan	nt	genus	combined	0.99	Cyprinus	Cyprinus	NA
megan	nt	genus	combined	0.99	Cystobacter	Cystobacter	NA
megan	nt	genus	combined	0.99	Danio	Danio	NA
megan	nt	genus	combined	0.99	Daucus	Daucus	NA
megan	nt	genus	combined	0.99	Dechloromonas	Dechloromonas	NA
megan	nt	genus	combined	0.99	Defluviimonas	Defluviimonas	NA
megan	nt	genus	combined	0.99	Dehalogenimonas	Dehalogenimonas	NA
megan	nt	genus	combined	0.99	Deinococcus	Deinococcus	NA
megan	nt	genus	combined	0.99	Delftia	Delftia	NA
megan	nt	genus	combined	0.99	Dermacoccus	Dermacoccus	NA
megan	nt	genus	combined	0.99	Desulfarculus	Desulfarculus	NA
megan	nt	genus	combined	0.99	Desulfococcus	Desulfococcus	NA
megan	nt	genus	combined	0.99	Desulfuromonas	Desulfuromonas	NA
megan	nt	genus	combined	0.99	Devosia	Devosia	NA
megan	nt	genus	combined	0.99	Diaphorobacter	Diaphorobacter	NA
megan	nt	genus	combined	0.99	Dibothriocephalus	Dibothriocephalus	NA
megan	nt	genus	combined	0.99	Dichelobacter	Dichelobacter	NA
megan	nt	genus	combined	0.99	Dietzia	Dietzia	NA
megan	nt	genus	combined	0.99	Dioon	Dioon	NA
megan	nt	genus	combined	0.99	Diplostephium	Diplostephium	NA
megan	nt	genus	combined	0.99	Dokdonella	Dokdonella	NA
megan	nt	genus	combined	0.99	Dracunculus <nematode>	Dracunculus	<nematode>
megan	nt	genus	combined	0.99	Drosophila	Drosophila	NA
megan	nt	genus	combined	0.99	Dyella	Dyella	NA
megan	nt	genus	combined	0.99	Echinostoma	Echinostoma	NA
megan	nt	genus	combined	0.99	Edwardsiella	Edwardsiella	NA
megan	nt	genus	combined	0.99	Eimeria	Eimeria	NA
megan	nt	genus	combined	0.99	Elaeophora	Elaeophora	NA
megan	nt	genus	combined	0.99	Endocarpon	Endocarpon	NA
megan	nt	genus	combined	0.99	Ensifer	Ensifer	NA
megan	nt	genus	combined	0.99	Enterobacter	Enterobacter	NA
megan	nt	genus	combined	0.99	Enterobius	Enterobius	NA
megan	nt	genus	combined	0.99	Epichloe	Epichloe	NA
megan	nt	genus	combined	0.99	Eptatretus	Eptatretus	NA
megan	nt	genus	combined	0.99	Equus	Equus	NA
megan	nt	genus	combined	0.99	Erinaceus	Erinaceus	NA
megan	nt	genus	combined	0.99	Erysipelothrix	Erysipelothrix	NA
megan	nt	genus	combined	0.99	Erythranthe	Erythranthe	NA
megan	nt	genus	combined	0.99	Erythrobacter	Erythrobacter	NA
