"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"489","JAE008_DJA002",37986,72452,110438
"183","KNP001_ECO002",45502,64333,109835
"493","JAE008_FUM002",25903,83879,109782
"319","OAK005_DJA002",36040,71418,107458
"415","PES001_FUM002",7629,99454,107083
"333","EBO003_ECO002",23729,83191,106920
"323","OAK005_FUM002",23701,83165,106866
"159","GOY005_DJA002",40635,65609,106244
"429","MTM009_DJA002",41542,63011,104553
"433","MTM009_FUM002",32586,70329,102915
"265","OAK002_FUM002",13758,88183,101941
"229","KNP004_DJA002",7826,93911,101737
"373","EMN001_FUM002",11904,88959,100863
"411","PES001_DJA002",38548,61454,100002
"505","ECO004_FUM002",20599,79093,99692
"475","KNP009_FUM002",40162,58703,98865
"501","DJA002_ECO004",33262,65227,98489
"261","OAK002_DJA002",33761,63712,97473
"199","KNP001_FUM002",39921,57505,97426
"369","EMN001_DJA002",30467,66871,97338
"345","EBO003_DJA002",12787,81745,94532
"217","KNP004_ECO002",33738,55698,89436
"349","EBO003_FUM002",26501,61899,88400
"233","KNP004_FUM002",31400,50426,81826
"449","ECO002_FUM002",16685,56762,73447
"445","ECO002_DJA002",24820,47082,71902
"503","DJA002_FUM002",24248,41693,65941
"103","VLC004_OME005",29716,21839,51555
"385","OME005_VLC009",28967,21699,50666
"21","JAE014_OME005",28246,21657,49903
"63","TAF008_OME005",28614,20630,49244
"387","OME005_JAE008",27233,21580,48813
"301","OAK005_OME005",26775,20637,47412
"383","OME005_KNP009",29697,17604,47301
"177","KNP001_OME005",29613,17258,46871
"141","GOY005_OME005",27730,19000,46730
"377","OME005_MTM009",28531,18170,46701
"119","VLC004_OME002",21778,24593,46371
"375","OME005_PES001",27914,18099,46013
"479","VLC009_OME002",20928,24446,45374
"37","JAE014_OME002",20164,24354,44518
"79","TAF008_OME002",20747,23363,44110
"393","OME005_ECO004",25370,18624,43994
"351","EMN001_OME005",24766,19106,43872
"243","OAK002_OME005",25062,18622,43684
"487","JAE008_OME002",19239,24407,43646
"317","OAK005_OME002",18765,23532,42297
"211","KNP004_OME005",26384,15366,41750
"157","GOY005_OME002",20811,20937,41748
"469","KNP009_OME002",23617,17909,41526
"327","EBO003_OME005",25282,16069,41351
"193","KNP001_OME002",23466,17491,40957
"427","MTM009_OME002",21149,19801,40950
"409","PES001_OME002",20938,19950,40888
"497","OME002_ECO004",17821,21396,39217
"367","EMN001_OME002",17516,21542,39058
"259","OAK002_OME002",18355,20644,38999
"111","VLC004_OME003",20594,17189,37783
"453","OME003_VLC009",20040,17036,37076
"29","JAE014_OME003",19466,17002,36468
"227","KNP004_OME002",20666,15670,36336
"343","EBO003_OME002",18632,17651,36283
"389","OME005_OME002",671,35576,36247
"71","TAF008_OME003",19776,16176,35952
"381","OME005_OME003",204,35748,35952
"455","OME003_JAE008",18665,17001,35666
"451","OME003_KNP009",21175,13688,34863
"185","KNP001_OME003",21141,13477,34618
"309","OAK005_OME003",18288,16256,34544
"391","OME005_DJA002",21520,12731,34251
"149","GOY005_OME003",19248,14840,34088
"419","MTM009_OME003",19803,13994,33797
"401","PES001_OME003",19482,14183,33665
"395","OME005_FUM002",20176,13317,33493
"379","OME005_ECO002",19006,13691,32697
"461","OME003_ECO004",17431,14684,32115
"359","EMN001_OME003",16959,14983,31942
"251","OAK002_OME003",17279,14602,31881
"457","OME003_OME002",309,30781,31090
"219","KNP004_OME003",18957,12130,31087
"335","EBO003_OME003",17552,12573,30125
"495","OME002_DJA002",16609,13108,29717
"499","OME002_FUM002",14743,14897,29640
"443","ECO002_OME002",13406,15999,29405
"459","OME003_DJA002",15447,10032,25479
"463","OME003_FUM002",14267,10567,24834
"435","ECO002_OME003",13164,10835,23999
"95","VLC004_KNP005",4838,9493,14331
"283","KNP005_KNP009",1223,12857,14080
"169","KNP001_KNP005",1251,12695,13946
"285","KNP005_VLC009",4522,9297,13819
"13","JAE014_KNP005",4211,9358,13569
"287","KNP005_JAE008",4003,9444,13447
"203","KNP004_KNP005",658,12716,13374
