Sample number,Sample Name,# reads after C&M prior mapping,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 157/184,PYK001.A0101,37919,37913,172,37741,99.984,1.005,0.0005,0.0622,0.05,0,0,0,0,7,0.020882370692256624,38.55,0.1144,0.0803,0.1172,0.0854,44.44,41.0,44.7
Sample 158/184,PYK002.A0101,61163,61159,151,61008,99.993,1.002,0.0009,0.0618,0.09,0,0,0,0,32,0.0922204116120466,98.86,0.1292,0.0831,0.1265,0.0868,47.36,44.0,44.17
Sample 159/184,PYK003.A0101,8321,8320,94,8226,99.988,1.011,0.0001,0.0449,0.01,0,0,0,0,6,0.019494236224274247,159.53,0.1026,0.076,0.0882,0.065,46.03,40.0,50.73
Sample 160/184,PYK004.A0101,8193,8183,147,8036,99.878,1.018,0.0001,0.0609,0.01,0,0,0,0,4,0.012674271229404309,107.97,0.0856,0.0538,0.0972,0.0779,45.25,41.0,56.2
Sample 161/184,PYK005.A0101,4687,4683,179,4504,99.915,1.040,0.0001,0.0626,0,0,0,0,0,5,0.01454523507755447,252.36,0.0672,0.0599,0.0561,0.0479,39.67,32.0,63.77
Sample 162/184,SPM001.A0101,411065,411052,19936,391116,99.997,1.051,0.0086,0.1752,0.54,0.2,0.07,0.02,0.01,229,1.0118896734866316,118.23,0.0073,0.0062,0.0053,0.0036,67.78,73.0,47.12
Sample 163/184,SPM002.A0101,6681849,6681842,51808,6630034,100.000,1.008,0.1736,0.9838,12.99,3.16,0.64,0.14,0.04,12551,58.31257166998612,336.47,0.0038,0.0031,0.0039,0.0028,81.07,76.0,43.39
Sample 164/184,TAF008.B0101,16265,16259,136,16123,99.963,1.008,0.0003,0.0589,0.03,0,0,0,0,3,0.015450540165369063,53.62,0.0539,0.0425,0.0583,0.0408,55.34,48.0,46.48
Sample 165/184,TAF016.B0101,14309,14294,655,13639,99.895,1.048,0.0003,0.0778,0.02,0,0,0,0,6,0.019071760516627435,68.98,0.0168,0.0171,0.0045,0.0053,62.77,64.0,50.33
Sample 166/184,TAF017.A0101,10933,10917,569,10348,99.854,1.055,0.0002,0.0926,0.01,0,0,0,0,3,0.008449514152936205,41.79,0.02,0.0204,0.0088,0.0035,60.5,64.0,53.1
Sample 167/184,TAF017.C0101,2441,2437,24,2413,99.836,1.010,0,0.0171,0,0,0,0,0,0,NaN,0.0,0.148,0.072,0.1527,0.0646,50.69,40.0,49.81
Sample 168/184,TAF017.C0101.171215,2439,2437,23,2414,99.918,1.010,0,0.0212,0,0,0,0,0,2,0.00917375822318788,225.96,0.102,0.0592,0.1364,0.0735,52.13,42.0,50.6
Sample 169/184,TAF017.E0101,1353,1353,0,1353,100.000,1.000,0,0.0056,0,0,0,0,0,1,0.007121733357474802,228.17,0.0118,0.0,0.0046,0.0052,71.5,73.0,46.21
Sample 170/184,TAF017.E0101.171215,1353,1353,0,1353,100.000,1.000,0,0.0057,0,0,0,0,0,0,NaN,0.0,0.0082,0.0135,0.0,0.0048,71.58,74.0,46.71
Sample 171/184,TAF018.A0101,9857,9844,163,9681,99.868,1.017,0.0002,0.0598,0.02,0,0,0,0,10,0.045808437443418434,206.39,0.0288,0.0245,0.0126,0.0052,71.05,75.0,50.34
Sample 172/184,TAF018.B0101,29618,29607,266,29341,99.963,1.009,0.0006,0.0529,0.05,0,0,0,0,12,0.0432132295250166,76.16,0.0209,0.0183,0.0186,0.0136,59.89,54.0,46.35
Sample 173/184,VLC001.A0101,6852174,6852167,2785,6849382,100.000,1.000,0.2632,2.2852,21.66,3.43,0.44,0.07,0.03,1916,13.664493934455912,51.93,0.0058,0.0059,0.0047,0.0045,118.96,112.0,44.2
Sample 174/184,VLC002.A0101,11383,11376,35,11341,99.939,1.003,0.0003,0.0428,0.03,0,0,0,0,5,0.0287283481199831,86.51,0.037,0.0248,0.021,0.015,90.69,85.0,48.51
Sample 175/184,VLC003.A0101,19347,19342,61,19281,99.974,1.003,0.0006,0.0612,0.06,0,0,0,0,9,0.059146599070553446,101.87,0.0227,0.0172,0.0072,0.0077,93.27,87.0,48.32
Sample 176/184,VLC004.A0101,107788,107781,190,107591,99.994,1.002,0.0039,0.1127,0.38,0,0,0,0,158,1.084555495201883,279.43,0.0169,0.0137,0.0107,0.0089,111.84,105.0,45.08
Sample 177/184,VLC005.A0101,97894,97888,169,97719,99.994,1.002,0.0033,0.1074,0.32,0,0,0,0,70,0.4082322409318607,123.73,0.0369,0.0275,0.032,0.0231,104.59,96.0,43.89
Sample 178/184,VLC008.A0101,6181,6178,134,6044,99.951,1.022,0.0002,0.0862,0.01,0,0,0,0,7,0.03723821594544028,211.79,0.0532,0.0354,0.0255,0.0325,90.16,83.0,52.74
Sample 179/184,VLC009.A0101,11153,11147,113,11034,99.946,1.010,0.0004,0.0764,0.03,0,0,0,0,235,1.6839881706801858,4933.61,0.0529,0.0411,0.039,0.0286,98.29,91.0,47.44
Sample 180/184,VLC010.A0101,187833,187828,99,187729,99.997,1.001,0.0076,0.1228,0.73,0.01,0,0,0,327,2.535397428933551,335.53,0.0071,0.0071,0.0048,0.0044,124.83,121.0,45.19
Sample 181/184,VLD001.A0101,1060108,1060104,4871,1055233,100.000,1.005,0.0203,0.2507,1.9,0.07,0.01,0.01,0,1720,6.448126018468224,317.7,0.0112,0.0104,0.0094,0.0087,59.64,54.0,45.95
