KOrtholog	PC1	PC2
K01104	-0.000612872407226446	-0.122134068463997
K01589	0.051591366306063	-0.0977440739556812
K01990	-0.0622068472120863	-0.0922154474603405
K02027	-0.0666887680040539	-0.11097871751166
K02440	-0.0291125585156945	-0.0966211389227905
K03402	-0.0249325221834184	-0.11217138417177
K03574	-0.00539950907472243	-0.132422173095933
K07052	-0.126398503618146	-0.114880471499669
K07729	-0.0594683529034709	-0.173510435248609
K15634	-0.0180270844311322	-0.129172412557111
