KOrtholog	PC1	PC2
K01999	-0.125686033647978	0.013842055084076
K02005	-0.165965909963129	7.18695583417626e-05
K02034	-0.132206638203092	0.0175616479893455
K02117	-0.141283455918914	0.0210787628952521
K03205	-0.208441073389348	0.0852384967861025
K06147	-0.122618252098502	0.028830258794441
K07052	-0.126398503618146	-0.114880471499669
K07133	-0.137847366020853	0.0113536176893316
K16785	-0.137689849808143	-0.00128877547641545
K16926	-0.170563943499858	0.02256869226932
