,"Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"407","JAE008_FUM002",6,6,12
"405","JAE008_ECO004",26,65,91
"403","JAE008_DJA002",304,619,923
"137","GOY005_VLC009",238,727,965
"127","GOY005_OME005",165,314,479
"133","GOY005_OME003",1618,1047,2665
"141","GOY005_OME002",1199,964,2163
"119","GOY005_OAK002",77,247,324
"129","GOY005_MTM009",690,1509,2199
"135","GOY005_KNP009",1143,2119,3262
"121","GOY005_KNP005",843,1807,2650
"117","GOY005_KNP004",1154,2094,3248
"115","GOY005_KNP001",1060,2114,3174
"139","GOY005_JAE008",127,392,519
"147","GOY005_FUM002",55,747,802
"125","GOY005_EMN001",199,936,1135
"145","GOY005_ECO004",96,341,437
"131","GOY005_ECO002",209,962,1171
"123","GOY005_EBO003",441,1114,1555
"143","GOY005_DJA002",220,250,470
"299","EMN001_VLC009",156,590,746
"289","EMN001_OME005",84,103,187
"295","EMN001_OME003",780,570,1350
"303","EMN001_OME002",523,437,960
"291","EMN001_MTM009",431,1207,1638
"297","EMN001_KNP009",439,1459,1898
"301","EMN001_JAE008",20,55,75
"309","EMN001_FUM002",138,742,880
"307","EMN001_ECO004",88,297,385
"293","EMN001_ECO002",230,956,1186
"305","EMN001_DJA002",50,42,92
"419","ECO004_FUM002",55,263,318
"353","ECO002_VLC009",127,732,859
"349","ECO002_OME003",1462,913,2375
"357","ECO002_OME002",989,795,1784
"351","ECO002_KNP009",692,2543,3235
"355","ECO002_JAE008",33,128,161
"363","ECO002_FUM002",141,751,892
"361","ECO002_ECO004",30,495,525
"359","ECO002_DJA002",69,106,175
"277","EBO003_VLC009",776,1545,2321
"267","EBO003_OME005",471,475,946
"273","EBO003_OME003",5333,2831,8164
"281","EBO003_OME002",3914,2404,6318
"269","EBO003_MTM009",1365,4097,5462
"275","EBO003_KNP009",2388,7672,10060
"279","EBO003_JAE008",553,853,1406
"287","EBO003_FUM002",164,682,846
"265","EBO003_EMN001",250,890,1140
"285","EBO003_ECO004",139,542,681
"271","EBO003_ECO002",328,1410,1738
"283","EBO003_DJA002",395,730,1125
"417","DJA002_FUM002",15,18,33
"415","DJA002_ECO004",44,58,102
