"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"167","KNP001_OME003",814,1079,1893
"259","KNP005_OME002",719,1165,1884
"229","OAK002_VLC009",428,1445,1873
"175","KNP001_OME002",733,1120,1853
"11","JAE014_OAK002",417,1402,1819
"205","KNP004_OME002",772,1032,1804
"359","MTM009_OME002",719,1081,1800
"395","KNP009_OME002",730,1042,1772
"231","OAK002_JAE008",416,1355,1771
"415","OME002_DJA002",619,1143,1762
"221","OAK002_MTM009",974,692,1666
"235","OAK002_DJA002",943,664,1607
"339","PES001_VLC009",360,1230,1590
"21","JAE014_PES001",276,1265,1541
"341","PES001_JAE008",215,1319,1534
"227","OAK002_KNP009",821,674,1495
"381","OME003_VLC009",649,845,1494
"181","KNP004_OAK002",798,678,1476
"119","GOY005_OAK002",279,1179,1458
"109","VLC004_OME002",503,940,1443
"331","PES001_MTM009",803,630,1433
"213","OAK002_OAK005",158,1267,1425
"101","VLC004_OME003",552,866,1418
"345","PES001_DJA002",706,707,1413
"129","GOY005_PES001",95,1310,1405
"403","VLC009_OME002",567,832,1399
"49","TAF008_OAK002",296,1080,1376
"269","OAK005_PES001",238,1127,1365
"211","OAK002_KNP005",718,627,1345
"59","TAF008_PES001",169,1129,1298
"85","VLC004_OAK002",307,990,1297
"337","PES001_KNP009",639,645,1284
"151","KNP001_OAK002",645,634,1279
"191","KNP004_PES001",620,638,1258
"95","VLC004_PES001",231,933,1164
"245","KNP005_PES001",528,611,1139
"161","KNP001_PES001",521,591,1112
"65","TAF008_OME003",384,720,1104
"297","EBO003_OME003",444,582,1026
"215","OAK002_EBO003",487,520,1007
"73","TAF008_OME002",287,665,952
"305","EBO003_OME002",344,599,943
"329","EMN001_ECO004",109,803,912
"291","EBO003_PES001",353,543,896
"135","GOY005_OME003",332,550,882
"143","GOY005_OME002",235,555,790
"275","OAK005_OME003",313,467,780
"333","PES001_ECO002",77,662,739
"223","OAK002_ECO002",137,573,710
"283","OAK005_OME002",212,402,614
"365","ECO002_OME003",172,317,489
"311","EMN001_PES001",53,418,471
"373","ECO002_OME002",126,336,462
"347","PES001_ECO004",41,246,287
"237","OAK002_ECO004",56,189,245
"389","OME003_ECO004",98,121,219
"417","OME002_ECO004",73,139,212
"217","OAK002_EMN001",46,162,208
"225","OAK002_OME003",80,70,150
"317","EMN001_OME003",59,77,136
"325","EMN001_OME002",38,85,123
"233","OAK002_OME002",44,64,108
"219","OAK002_PES001",18,79,97
"335","PES001_OME003",18,28,46
"343","PES001_OME002",14,15,29
