Database	Taxon Genus	Taxon	Block ID	Host Genus Grouping
mp2	Streptococcus	Streptococcus_gordonii	NA	
mp2	Atopobium	Atopobium_parvulum	NA	
mp2	Filifactor	Filifactor_alocis	NA	
mp2	Treponema	Treponema_lecithinolyticum	NA	
mp2	Parvimonas	Parvimonas_micra	NA	
mp2	Megasphaera	Megasphaera_unclassified	NA	
mp2	Oribacterium	Oribacterium_sp_oral_taxon_078	NA	
mp2	Saccharopolyspora	Saccharopolyspora_unclassified	NA	
mp2	Selenomonas	Selenomonas_noxia	NA	
mp2	Leptotrichia	Leptotrichia_unclassified	NA	
mp2	Streptococcus	Streptococcus_cristatus	NA	
mp2	candidate	candidate_division_TM7_single_cell_isolate_TM7b	NA	
mp2	Porphyromonas	Porphyromonas_catoniae	NA	
mp2	Capnocytophaga	Capnocytophaga_sp_oral_taxon_332	NA	
mp2	Porphyromonas	Porphyromonas_endodontalis	NA	
mp2	Veillonella	Veillonella_parvula	NA	
mp2	Prevotella	Prevotella_loescheii	NA	
mp2	Neisseria	Neisseria_macacae	NA	
mp2	Actinomyces	Actinomyces_georgiae	NA	
mp2	Staphylococcus	Staphylococcus_saprophyticus	NA	
mp2	Methanobrevibacter	Methanobrevibacter_smithii	NA	
mp2	Aggregatibacter	Aggregatibacter_segnis	NA	
mp2	Eubacterium	Eubacterium_infirmum	NA	
mp2	Erysipelothrix	Erysipelothrix_rhusiopathiae	NA	
mp2	Streptococcus	Streptococcus_parasanguinis	NA	
mp2	Escherichia	Escherichia_unclassified	NA	
mp2	Actinomyces	Actinomyces_timonensis	NA	
mp2	Actinobacillus	Actinobacillus_unclassified	NA	
mp2	Sphingobacterium	Sphingobacterium_unclassified	NA	
mp2	Kingella	Kingella_unclassified	NA	
mp2	Streptococcus	Streptococcus_constellatus	NA	
mp2	Mitsuokella	Mitsuokella_unclassified	NA	
mp2	Prevotella	Prevotella_saccharolytica	NA	
mp2	Catonella	Catonella_morbi	NA	
mp2	Porphyromonas	Porphyromonas_sp_oral_taxon_279	NA	
mp2	Capnocytophaga	Capnocytophaga_granulosa	NA	
mp2	Riemerella	Riemerella_unclassified	NA	
mp2	Prevotella	Prevotella_oralis	NA	
mp2	Alloprevotella	Alloprevotella_tannerae	NA	
mp2	Subdoligranulum	Subdoligranulum_unclassified	NA	
mp2	Gemella	Gemella_bergeri	NA	
mp2	Streptococcus	Streptococcus_infantis	NA	
mp2	Enterococcus	Enterococcus_faecalis	NA	
mp2	Acinetobacter	Acinetobacter_unclassified	NA	
mp2	Enterobacter	Enterobacter_cloacae	NA	
mp2	Neisseria	Neisseria_meningitidis	NA	
mp2	Desulfovibrio	Desulfovibrio_desulfuricans	NA	
mp2	Capnocytophaga	Capnocytophaga_ochracea	NA	
mp2	Leptotrichia	Leptotrichia_buccalis	NA	
mp2	Streptococcus	Streptococcus_anginosus	NA	
mp2	Polaromonas	Polaromonas_unclassified	NA	
mp2	Comamonas	Comamonas_unclassified	NA	
mp2	Prevotella	Prevotella_intermedia	NA	
mp2	Dasheen	Dasheen_mosaic_virus	NA	
mp2	Oxalobacter	Oxalobacter_formigenes	NA	
mp2	Collinsella	Collinsella_unclassified	NA	
mp2	Atopobium	Atopobium_rimae	NA	
mp2	Rothia	Rothia_mucilaginosa	NA	
mp2	Eggerthia	Eggerthia_catenaformis	NA	
mp2	Prevotella	Prevotella_pleuritidis	NA	
mp2	Stenotrophomonas	Stenotrophomonas_maltophilia	NA	
mp2	Thiomonas	Thiomonas_unclassified	NA	
mp2	Sphingobium	Sphingobium_unclassified	NA	
mp2	Brevundimonas	Brevundimonas_unclassified	NA	
mp2	Prevotella	Prevotella_buccae	NA	
mp2	Prevotella	Prevotella_baroniae	NA	
mp2	Treponema	Treponema_medium	NA	
mp2	Selenomonas	Selenomonas_sputigena	NA	
mp2	Solobacterium	Solobacterium_moorei	NA	
mp2	Lachnospiraceae	Lachnospiraceae_oral_taxon_107	NA	
mp2	Kocuria	Kocuria_unclassified	NA	
mp2	Halomonas	Halomonas_unclassified	NA	
mp2	Acinetobacter	Acinetobacter_lwoffii	NA	
mp2	Cyclovirus	Cyclovirus_NGchicken15_NGA_2009	NA	
mp2	Selenomonas	Selenomonas_artemidis	NA	
mp2	Prevotella	Prevotella_maculosa	NA	
mp2	Candidatus	Candidatus_Prevotella_conceptionensis	NA	
mp2	Gemella	Gemella_unclassified	NA	
mp2	Neisseria	Neisseria_flavescens	NA	
mp2	Prevotella	Prevotella_micans	NA	
mp2	Centipeda	Centipeda_periodontii	NA	
