,"Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"423","MTM009_VLC009",54425,127976,182401
"261","OAK002_DJA002",28337,36541,64878
"239","OAK002_EBO003",33028,38451,71479
"249","OAK002_ECO002",20117,44637,64754
"263","OAK002_ECO004",12984,35162,48146
"241","OAK002_EMN001",15695,44445,60140
"265","OAK002_FUM002",6657,40200,46857
"257","OAK002_JAE008",22701,47239,69940
"235","OAK002_KNP005",32575,37909,70484
"253","OAK002_KNP009",32933,38880,71813
"247","OAK002_MTM009",24504,39289,63793
"237","OAK002_OAK005",23129,49302,72431
"259","OAK002_OME002",15294,12603,27897
"251","OAK002_OME003",13122,10766,23888
"243","OAK002_OME005",11738,10902,22640
"245","OAK002_PES001",19797,44066,63863
"255","OAK002_VLC009",25766,48973,74739
"319","OAK005_DJA002",48281,126613,174894
"297","OAK005_EBO003",57172,135359,192531
"307","OAK005_ECO002",12063,165508,177571
"321","OAK005_ECO004",9998,110386,120384
"299","OAK005_EMN001",26028,129043,155071
"323","OAK005_FUM002",25136,65825,90961
"315","OAK005_JAE008",14729,191292,206021
"311","OAK005_KNP009",55353,138582,193935
"305","OAK005_MTM009",50043,121756,171799
"317","OAK005_OME002",21315,20717,42032
"309","OAK005_OME003",17084,17480,34564
"301","OAK005_OME005",16018,15274,31292
"303","OAK005_PES001",27093,144549,171642
"313","OAK005_VLC009",27844,191332,219176
"495","OME002_DJA002",17969,19079,37048
"497","OME002_ECO004",14920,13095,28015
"499","OME002_FUM002",15959,13428,29387
"459","OME003_DJA002",14138,16113,30251
"461","OME003_ECO004",11927,10916,22843
"463","OME003_FUM002",13283,11385,24668
"455","OME003_JAE008",16304,17245,33549
"451","OME003_KNP009",18860,16600,35460
"457","OME003_OME002",951,27838,28789
"453","OME003_VLC009",17345,18329,35674
"391","OME005_DJA002",13533,13884,27417
"379","OME005_ECO002",14459,13179,27638
"393","OME005_ECO004",10834,9887,20721
"395","OME005_FUM002",11990,11057,23047
"387","OME005_JAE008",15266,15053,30319
"383","OME005_KNP009",17642,14427,32069
"377","OME005_MTM009",13208,13430,26638
"389","OME005_OME002",2134,22871,25005
"381","OME005_OME003",1997,20841,22838
"375","OME005_PES001",13849,13203,27052
"385","OME005_VLC009",16245,16062,32307
"411","PES001_DJA002",45070,106499,151569
"399","PES001_ECO002",20511,133519,154030
"413","PES001_ECO004",19966,86397,106363
"415","PES001_FUM002",11726,73635,85361
"407","PES001_JAE008",27868,137849,165717
"403","PES001_KNP009",50534,115621,166155
"397","PES001_MTM009",46393,104254,150647
"409","PES001_OME002",19114,17962,37076
"401","PES001_OME003",15122,15043,30165
"405","PES001_VLC009",37680,142036,179716
"81","TAF008_DJA002",46544,117395,163939
"59","TAF008_EBO003",54182,126039,180221
"69","TAF008_ECO002",9370,163118,172488
"83","TAF008_ECO004",9993,103819,113812
"61","TAF008_EMN001",20050,129928,149978
"85","TAF008_FUM002",19547,68295,87842
"47","TAF008_GOY005",25682,125487,151169
"77","TAF008_JAE008",22314,166456,188770
"49","TAF008_KNP001",55007,122507,177514
"51","TAF008_KNP004",60083,127003,187086
"55","TAF008_KNP005",48864,122619,171483
"73","TAF008_KNP009",52941,128652,181593
"67","TAF008_MTM009",47852,112989,160841
"53","TAF008_OAK002",23165,45892,69057
"57","TAF008_OAK005",17763,176033,193796
"79","TAF008_OME002",20984,19704,40688
"71","TAF008_OME003",16805,16705,33510
"63","TAF008_OME005",15767,14525,30292
"65","TAF008_PES001",16684,150237,166921
"45","TAF008_VLC004",31265,165475,196740
"75","TAF008_VLC009",34829,168275,203104
"121","VLC004_DJA002",48368,131273,179641
"99","VLC004_EBO003",57604,139227,196831
"109","VLC004_ECO002",26598,151410,178008
"123","VLC004_ECO004",19366,100751,120117
"101","VLC004_EMN001",30974,125334,156308
"125","VLC004_FUM002",25786,65266,91052
"87","VLC004_GOY005",37722,121116,158838
"117","VLC004_JAE008",9922,202237,212159
"89","VLC004_KNP001",59589,134410,193999
"91","VLC004_KNP004",65649,139904,205553
"95","VLC004_KNP005",52044,134700,186744
"113","VLC004_KNP009",56673,142661,199334
"107","VLC004_MTM009",50642,125240,175882
"93","VLC004_OAK002",23788,48573,72361
"97","VLC004_OAK005",24877,187409,212286
"119","VLC004_OME002",20547,21511,42058
"111","VLC004_OME003",16334,18112,34446
"103","VLC004_OME005",15422,15819,31241
"105","VLC004_PES001",33280,140402,173682
"115","VLC004_VLC009",9471,219565,229036
"481","VLC009_DJA002",52337,134003,186340
"483","VLC009_ECO004",21054,103649,124703
"485","VLC009_FUM002",28291,66212,94503
"477","VLC009_JAE008",11803,206665,218468
"479","VLC009_OME002",21623,21766,43389
