File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
EXB015.A1901_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	277964	210589	16296698	209074	21	75.76124966	75.21621505
EXB015.A2001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	309131	230066	18621881	228737	23	74.42346449	73.99354966
EXB015.A2101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	448340	352312	28965832	350665	35	78.58143373	78.2140786
EXB015.A2201_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	505402	368696	27515537	366408	36	72.951037	72.49832806
EXB015.A2301_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	172075	116352	7459813	115328	11	67.61702746	67.02193811
EXB015.A2401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490275	266131	21386873	265560	26	54.2819846	54.16551935
EXB015.A2501_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1622112	653070	52128123	649604	65	40.26047523	40.04680318
EXB015.A2601_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1535271	574202	47563372	571008	57	37.40069343	37.19265198
EXB015.A2801_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	2086131	975249	48058902	970300	97	46.74917347	46.51194005
EXB015.A2901_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	490977	251662	19445687	250554	25	51.25739088	51.03171839
EXB020.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	81784	48915	3043906	48312	4	59.80998728	59.07267925
EXB021.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	73597	49406	3279865	48927	4	67.13045369	66.47961194
EXB022.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1767632	1116203	69871244	1092622	111	63.14679752	61.81275288
EXB023.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	1731519	957284	52977057	939229	95	55.28579242	54.24306635
EXB033.A0401_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	891364	256390	9081205	250504	25	28.76378225	28.10344595
EXB033.A0801_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	940295	538479	32877015	533354	53	57.2670279	56.72198619
EXB033.A1401_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	223573	43588	1386810	42236	4	19.496093	18.89136881
ElSidron1_S0_L000_R1_000.fastq.merged.rma6	50286713	14252611	128025588	14179818	1425	28.3426976	28.19794167
ElSidron2_S0_L000_R1_000.fastq.merged.rma6	48231792	18116834	231463348	17904750	1811	37.56201719	37.12229892
FDM001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	4889751	2042244	31078482	1999697	204	41.76580771	40.8956816
FUM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10808498	5168520	155000877	5149787	516	47.81904017	47.64572284
FUM002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	17157534	6863964	108447455	6842807	686	40.00553926	39.882229
FUM003.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	15708618	5971340	131959836	5870371	597	38.01314667	37.37038484
GDC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11300654	3640060	83140902	3585052	364	32.2110561	31.72428782
GDC004.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12302652	4335073	48083192	4312877	433	35.23689852	35.05648213
GDC005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9931068	3750619	70562962	3731224	375	37.76652219	37.57122597
GDN001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	30835470	10964991	186519116	10847476	1096	35.55966878	35.17856546
GOY005.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9163118	3379168	57992386	3358467	337	36.87792736	36.65201081
GOY006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	3799236	1318948	19132481	1296885	131	34.71613767	34.13541565
GUE001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11156331	1175021	29937805	1159745	117	10.53232465	10.39539791
IBA001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	12987664	4071661	69603537	4015846	407	31.35021818	30.92046422
IBA002_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	19022015	12975045	386724120	12896945	1297	68.21067589	67.80009899
JAE006.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	87883942	75995601	1711027683	71826361	7599	86.47268121	81.72865186
JAE007.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66419551	58814890	1607679833	57257538	5881	88.55056849	86.20584924
JAE008.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	65296039	48546073	652984566	43626335	4854	74.34765377	66.81314161
JAE009.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	66062410	49340348	609989850	46844515	4934	74.6874781	70.90948544
JAE010.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	60027336	50655258	818649439	49629901	5065	84.38698329	82.67883319
JAE012.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	62752277	51361110	739022626	51231136	5136	81.84740452	81.64028215
JAE013.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	38954329	33826282	837798635	33285883	3382	86.83574552	85.4484825
JAE014.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	68620482	42992719	511746101	40205127	4299	62.65289568	58.59056338
JAE015.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	57512281	38344245	330819599	37378426	3834	66.67140363	64.99207708
JAE016.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	94564553	58372353	468900994	54297871	5837	61.72751961	57.41884171
KNP001.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	16260023	4758445	40308012	4721673	475	29.264688	29.03853826
KNP003.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	10394445	3458953	31242739	3443964	345	33.27693783	33.1327358
KNP004.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	184494	61340	489316	61121	6	33.24769369	33.12899064
KNP005.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11095033	2966089	22025317	2944140	296	26.73348516	26.53565789
KNP006.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11159677	3574704	24393446	3554671	357	32.03232495	31.85281259
KNP007.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9160659	3028254	25750843	3018036	302	33.05716325	32.94562105
KNP009.A0102_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	11345038	3759319	32012383	3745450	375	33.13623983	33.01399255
LIB007.A0117_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	45330	38826	3491201	38665	3	85.65188617	85.29671299
LIB007.A0118_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	413954	337035	29331795	335488	33	81.41846679	81.04475376
LIB007.A0119_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	295765	237101	16725352	235834	23	80.16533396	79.73695332
LIB007.A0120_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1296344	682330	60192535	681589	68	52.63494875	52.57778799
LIB007.A0122_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1957237	813829	67578738	810775	81	41.58050354	41.42446725
LIB007.A0123_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	1446460	600923	49659595	596944	60	41.54439113	41.26930575
LIB007.A0124_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	776026	403326	30630193	401031	40	51.97325863	51.67752111
