"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"197","OAK002_MTM009",777,1258,2035
"75","VLC004_KNP004",865,1141,2006
"11","JAE014_OAK002",728,1255,1983
"207","OAK002_DJA002",662,1256,1918
"99","VLC004_DJA002",772,1134,1906
"83","VLC004_EBO003",679,1171,1850
"191","OAK002_EBO003",607,1234,1841
"95","VLC004_VLC009",429,1362,1791
"299","PES001_ECO004",271,1452,1723
"45","TAF008_OAK002",464,1221,1685
"107","GOY005_OAK002",288,1352,1640
"189","OAK002_OAK005",298,1336,1634
"37","TAF008_VLC004",540,1069,1609
"205","OAK002_JAE008",564,1026,1590
"203","OAK002_VLC009",573,1014,1587
"81","VLC004_OAK005",608,932,1540
"193","OAK002_EMN001",374,1139,1513
"85","VLC004_EMN001",530,921,1451
"71","VLC004_GOY005",544,855,1399
"199","OAK002_ECO002",352,1021,1373
"91","VLC004_ECO002",401,947,1348
"87","VLC004_PES001",283,578,861
"195","OAK002_PES001",159,673,832
"209","OAK002_ECO004",177,639,816
"101","VLC004_ECO004",218,546,764
"77","VLC004_OAK002",127,245,372
