Individual	total_genus_reads	abp_type	total_abp_reads	Ratio of abp-associated reads to total Streptococcus reads	Group	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads
ECO002	2523599	abpA-like	9	3.5663352220380497e-6	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.345666666666667	1.147	8e-4	0.031033333333333	0.08	0	0	0	0	64	0.098155189409942	122.276666666667	0.010433333333333	0.009766666666667	0.010366666666667	0.007	67.79	75.3333333333333	43.7833333333333	37846394
ECO002	2523599	abpB-like	2201	8.721670915228608e-4	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	107186852	37977768	35698069	93.991	2279676	131374	17431	113943	0.345666666666667	1.147	8e-4	0.031033333333333	0.08	0	0	0	0	64	0.098155189409942	122.276666666667	0.010433333333333	0.009766666666667	0.010366666666667	0.007	67.79	75.3333333333333	43.7833333333333	37846394
ECO004	2246728	abpA-like	275	1.2240021934119307e-4	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	134246266	56901161	45232730	79.5183333333333	11668388	3621389	508285	3113104	6.37066666666667	1.15033333333333	0.0235	0.224033333333333	2.21	0.09	0.006666666666667	0.006666666666667	0	999	1.45404067837528	61.95	0.003966666666667	0.003666666666667	0.003566666666667	0.002533333333333	70.11	74.6666666666667	44.15	53279772
ECO004	2246728	abpB-like	1054	4.6912665885679084e-4	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Mesolithic	Spain	134246266	56901161	45232730	79.5183333333333	11668388	3621389	508285	3113104	6.37066666666667	1.15033333333333	0.0235	0.224033333333333	2.21	0.09	0.006666666666667	0.006666666666667	0	999	1.45404067837528	61.95	0.003966666666667	0.003666666666667	0.003566666666667	0.002533333333333	70.11	74.6666666666667	44.15	53279772
EMN001	1101304	abpA-like	0	0	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Palaeolithic	Spain	208944200	99227533	87965664	88.6336666666667	11261832	65633	8428	57205	0.066333333333333	1.14066666666667	4e-4	0.0251	0.036666666666667	0	0	0	0	26	NaN	62.87	0.014333333333333	0.007866666666667	0.011133333333333	0.008266666666667	65.34	73.6666666666667	45.4866666666667	99161900
EMN001	1101304	abpB-like	34	3.087249297196778e-5	Non-Primate	PreagriculturalHuman_2	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Palaeolithic	Spain	208944200	99227533	87965664	88.6336666666667	11261832	65633	8428	57205	0.066333333333333	1.14066666666667	4e-4	0.0251	0.036666666666667	0	0	0	0	26	NaN	62.87	0.014333333333333	0.007866666666667	0.011133333333333	0.008266666666667	65.34	73.6666666666667	45.4866666666667	99161900
JAE008	2244035	abpA-like	233	1.0383082260303426e-4	Non-Primate	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	66728743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65296039
JAE008	2244035	abpB-like	1066	4.7503715405508383e-4	Non-Primate	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	66728743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65296039
JAE014	1538303	abpA-like	50	3.25033494701629e-5	Non-Primate	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	39086563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68620482
JAE014	1538303	abpB-like	332	2.1582224048188165e-4	Non-Primate	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	39086563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68620482
VLC004	1304644	abpA-like	6	4.598955730452139e-6	Non-Primate	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	42121391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43315114
VLC004	1304644	abpB-like	167	1.2800426783091785e-4	Non-Primate	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	42121391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43315114
VLC009	1353566	abpA-like	18	1.3298206367476724e-5	Non-Primate	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	32500037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33664784
VLC009	1353566	abpB-like	121	8.939349835914909e-5	Non-Primate	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	NA	32500037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33664784
