"","Combination","total_different_bases","total_shared_bases","total_overlapping_bases"
"275","KNP005_PES001",2001,1779,3780
"391","OME005_DJA002",1511,1997,3508
"489","JAE008_DJA002",1390,2117,3507
"481","VLC009_DJA002",1494,2008,3502
"121","VLC004_DJA002",1440,1983,3423
"213","KNP004_PES001",1670,1698,3368
"39","JAE014_DJA002",1349,1977,3326
"495","OME002_DJA002",1311,1956,3267
"195","KNP001_DJA002",1050,2177,3227
"459","OME003_DJA002",1290,1927,3217
"291","KNP005_DJA002",1059,2109,3168
"81","TAF008_DJA002",1283,1861,3144
"413","PES001_ECO004",890,2142,3032
"403","PES001_KNP009",1450,1522,2972
"229","KNP004_DJA002",861,2054,2915
"143","GOY005_PES001",425,2317,2742
"261","OAK002_DJA002",1273,1460,2733
"471","KNP009_DJA002",751,1920,2671
"379","OME005_ECO002",1275,1383,2658
"441","ECO002_JAE008",1213,1424,2637
"439","ECO002_VLC009",1275,1346,2621
"109","VLC004_ECO002",1254,1324,2578
"443","ECO002_OME002",1153,1317,2470
"183","KNP001_ECO002",1342,1108,2450
"279","KNP005_ECO002",1356,1094,2450
"27","JAE014_ECO002",1091,1342,2433
"435","ECO002_OME003",1100,1303,2403
"315","OAK005_JAE008",944,1390,2334
"301","OAK005_OME005",986,1326,2312
"313","OAK005_VLC009",969,1335,2304
"147","GOY005_ECO002",404,1886,2290
"97","VLC004_OAK005",987,1267,2254
"501","DJA002_ECO004",883,1367,2250
"217","KNP004_ECO002",1180,1038,2218
"159","GOY005_DJA002",1115,1101,2216
"15","JAE014_OAK005",876,1304,2180
"249","OAK002_ECO002",473,1696,2169
"317","OAK005_OME002",891,1271,2162
"353","EMN001_PES001",306,1853,2159
"171","KNP001_OAK005",1079,1043,2122
"69","TAF008_ECO002",788,1333,2121
"357","EMN001_ECO002",279,1809,2088
"309","OAK005_OME003",796,1274,2070
"267","KNP005_OAK005",1061,998,2059
"437","ECO002_KNP009",1076,944,2020
"57","TAF008_OAK005",686,1266,1952
"135","GOY005_OAK005",653,1287,1940
"395","OME005_FUM002",924,995,1919
"493","JAE008_FUM002",883,1021,1904
"485","VLC009_FUM002",934,961,1895
"125","VLC004_FUM002",935,942,1877
"205","KNP004_OAK005",917,952,1869
"237","OAK002_OAK005",569,1238,1807
"499","OME002_FUM002",844,951,1795
"43","JAE014_FUM002",827,947,1774
"199","KNP001_FUM002",978,793,1771
"295","KNP005_FUM002",985,765,1750
"463","OME003_FUM002",800,946,1746
"311","OAK005_KNP009",799,925,1724
"163","GOY005_FUM002",133,1560,1693
