Taxon	OME007.A0101	OME009.A0101	OME005.A0101	OME002.A0101	OME003.A0101	MTM009.A0101	MTM006.A0101	MTM005.A0101	MTM004.A0101	MTM001.A0101	MTM008.A0101	MTK001.A0101	MTS001.A0101	DJA002.A0101	MTM010.A0101	EBO001.A0101	ABM006.A0101	EBO003.A0101	FDM001.A0101	CDC008.A0101	CDC010.A0101	KNP004.A0102	KNP005.A0102	KNP006.A0102	KNP007.A0102	KNP009.A0102	KNP003.A0102	KNP001.A0102	ABM008.A0101	DJA006.A0101	ABM007.A0101	DJA007.A0101	EBO008.A0101	EBO009.A0101	Chimp.150519	GOY005.A0101	SpyNew	GOY006.A0101	FUM002.A0101	ElSidron1	PES001.B0101	ElSidron2	OAK004.A0101	OAK003.A0101	TAF017.A0101	OAK001.A0101	MOA001.A0101	OAK002.A0101	TAF018.A0101	OAK005.A0101	TAF008.B0101	ECO004.B0101	ECO002.B0101	EMN001.A0101	ECO010.B0101	RIG001.A0101	PLV001.A0101	OFN001.A0101	PYK005.A0101	ESA004.A0101	PYK004.A0101	ESA007.A0101	ESA008.A0101	PYK003.A0101	ESA006.A0101	ESA003.A0101	PYK002.A0101	PYK001.A0101	LIS003.A0101	LIS002.A0101	LIS001.A0101	JAE012.A0101	JAE013.A0101	JAE010.A0101	JAE014.A0101	JAE006.A0101	JAE007.A0101	JAE015.A0101	JAE009.A0101	JAE016.A0101	JAE008.A0101	VLC008.A0101	VLC005.A0101	VLC002.A0101	VLC001.A0101	VLC003.A0101	VLC010.A0101	VLC004.A0101	VLC009.A0101	EXB015.A2001	EXB023.A0101	EXB033.A0801	EXB015.A2101	EXB015.A1901	EXB015.A2201	EXB022.A0101	EXB033.A1401	EXB015.A2901	EXB015.A2501	EXB021.A0101	EXB020.A0101	EXB015.A2601	EXB033.A0401	EXB002.A1101	EXB015.A2301	EXB015.A2801	EXB015.A2401	EXB015.A1701	LIB007.A0119	LIB017.A0101	LIB007.A0118	LIB025.A0301	LIB014.A0101	LIB013.A0101	LIB025.A0701	LIB007.A0124	LIB012.A0101	LIB007.A0123	LIB025.A0601	LIB007.A0120	LIB015.A0101	LIB007.A0117	LIB017.A0102	LIB009.A0102	LIB007.A0122	SRR514202	SRR514329	SRR514306	SRR513165	SRR514239	SRR062298	SRR513768	SRR062299	SRR061294	SRR513775	SRR1804823	SRR061365	SRR061320	SRR513828	SRR1804664	SRR062083	SRR061192	SRR063517	SRR512767	SRR061562	SRR1930141	SRR1761705	SRR1761721	SRR1929408	SRR1761710	SRR1930145	SRR1930121	SRR1761718	SRR1930123	SRR1761698	SRR1761688	SRR1761692	SRR1761677	SRR1761682	SRR060358	SRR059425	SRR059917	SRR059389	SRR1761697	SRR059455	SRR3189411	SRR3189416	SRR1633008	SRR1631064	SRR1631063	SRR3184100	SRR1631060	SRR1631061	SRR3189418	SRR3184876	ARS020.A0101.SG1.2	ARS012.A0101.SG1.2	ARS013.A0101.SG1.2	ARS004.A0101.SG1.2	ARS017.A0101.SG1.2	ARS005.A0101.SG1.2	ARS011.A0101.SG1.2	ARS001.A0101.SG1.2	ARS010.A0101.SG1.2	ARS015.A0101.SG1.2	ERR1883438	ERR1883424	ERR1883423	ERR1883421	ERR1883418	ERR1883420	ERR1883419	ERR1883430	ERR1883422	ERR1883436
Pseudopropionibacterium propionicum	85651	56234	123635	95008	90152	15645	15831	4529	30982	1901	4069	8480	73729	48310	0	681822	112383	189228	32664	33288	134521	415	4399	22011	6136	186898	61693	153281	47809	9260	3311	118407	34494	12832	49046	145885	793	57746	160830	95439	591794	647807	1281771	535837	194496	14528	88470	359965	297319	908105	284576	238081	147474	362969	0	125292	104834	174182	47523	506753	683042	143297	164848	85868	617773	567621	267907	144807	314777	16281	340777	542809	341363	3397825	1894963	263309	0	356992	3885073	1426376	2669955	323018	1913467	703174	906287	1038738	967182	2547924	2746896	0	2059	0	0	0	0	2323	100	0	0	87	240	0	489	0	42	40231	0	0	0	0	0	70	604	0	0	848	168	0	0	0	1886	0	0	877	0	0	384675	432508	71464	180103	11970	569157	117538	81514	334854	33147	118387	673586	281255	338377	1853923	168856	100517	844426	1048800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6957	6549	0	0	0	14101	0	0	5792	10261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter aphrophilus	30920	19390	38997	36001	29945	6080	26095	19049	21643	33145	43247	84780	76172	0	1247	90417	7772	0	26729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184257	16521	6329	5063	21213	5296	36634	99698	0	19377	0	0	173286	9338	9001	0	3851	21448	100065	0	118724	123475	10118	0	8970	15226	0	1880	0	9046	27834	2525	0	14204	0	0	30686	38948	81615	1005587	7847155	9508951	124275	120381	0	303900	18709	1853991	119495	19113	16050	8160	27675	35193	0	2164	0	0	0	0	2041	13	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	1108	0	0	206	60	0	0	0	2900	0	0	0	0	41456	173185	325632	13440	97205	132314	114568	96846	8146	428932	112027	56935	173885	112904	117007	307292	95945	41917	169415	187654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11787	10694	0	0	0	0	0	0	9429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fretibacterium fastidiosum	0	0	0	0	0	26228	3807	0	6316	665	0	0	0	102439	0	10316	20440	138302	0	120209	66301	1505	181432	46037	66075	159024	85973	147050	49856	157902	179501	471930	92350	25972	157957	3237	0	3568	2369	140210	10724	58588	3218	362834	5098	8406	199398	0	5169	71966	37755	32810	51601	15224	23197	89751	2581	103029	329734	20246	108067	63519	83373	103791	119453	63791	359125	49064	88420	143510	107096	45780	20250	91683	795373	0	0	1381923	406858	3044270	162704	278009	132943	60012	426328	49053	41667	14886	101196	0	507	0	0	0	0	2480	0	0	0	0	0	0	1371	0	43	421	0	0	0	0	0	90	341	0	0	526	32	0	0	0	1572	0	0	79	0	0	0	24131	19230	3572	70496	0	12762	6137	5609	0	0	0	0	0	0	5758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces radicidentis	6969	9183	7056	31603	16575	3772	9370	2678	4801	2021	4592	9179	7871	18700	3094	13687	18247	16932	2993	2490	7723	126	3253	3380	5184	7700	10290	12428	3475	10068	3589	9844	8735	3903	11633	10488	3267	9886	50863	97362	53253	74861	10876	17427	2421	4320	3493	7902	5639	21382	5507	1787	8010	40041	3347	70792	8750	24376	29822	13132	32726	12401	16146	24234	19958	21209	28123	9961	7915	12160	13196	94383	25027	65682	332772	69581	0	108717	165842	211851	223059	38115	71809	36276	30897	14602	85280	110796	91934	0	377	0	0	0	0	569	13	0	0	0	0	0	0	0	0	2875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	9679	12054	60027	3079	21135	3581	56059	1995	8006	27472	10099	28463	25522	33153	87425	38177	18280	47182	196262	18175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter millerae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5664	0	0	0	0	0	0	0	0	0	0	0	0	0	3164	616	0	267802	0	27393	0	0	0	0	0	0	0	0	0	18978	16836	2921	32624	61635	58251	1795	75839	1568	4004	16913	5218	15461	0	0	0	4274	7629	7330	7827	0	0	0	22111	0	0	23237	0	0	0	0	0	0	9088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces succiniciruminis	7118	9467	7546	31654	16942	11847	14402	9361	8612	38135	36622	19837	75207	17447	2303	12115	17605	21606	2497	2721	8939	163	5081	3267	8843	10009	13643	13649	4264	10439	3285	12403	10647	3639	18017	7247	1310	7889	39192	86589	43216	63393	9328	19494	2706	5675	6043	6263	3864	28083	6853	2111	6844	29674	3375	59008	6868	28687	41302	13938	41989	14397	17831	34723	22186	20659	33441	11126	8720	15227	18120	47577	23263	72789	269771	49889	0	155370	162343	290265	163972	50677	48767	33247	40199	16983	97981	108541	92798	0	929	0	0	0	0	963	0	0	0	0	0	0	0	0	0	2482	0	0	0	0	0	0	627	0	0	159	41	0	0	0	1401	0	0	0	0	9053	11629	68771	2824	19432	4594	50993	2040	7702	28920	10372	26835	24688	32424	82341	35343	18501	43813	172110	17318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Streptococcus gordonii	75646	20477	46403	30779	41017	658	1900	2461	1920	3342	5762	10056	3304	0	11052	9885	0	0	6716	0	0	0	0	0	0	0	0	0	0	0	0	1433	0	0	0	35951	36901	10768	19491	29596	178831	107979	226182	8423	51272	0	0	259638	419775	11367	6774	266191	116824	36320	0	57965	64609	6559	0	7142	86692	7017	19942	0	27605	84832	6462	0	26269	3853	15068	1351525	714057	2429714	236253	1297923	583113	134422	501202	42495	666843	93485	318989	76601	304506	275629	100769	204134	205317	0	402	0	0	0	0	0	103	0	0	0	0	0	2778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	644	0	0	45	0	96948	225913	32659	41485	16280	35839	129417	11351	118126	112911	369260	119529	193235	229494	36027	225328	362753	158577	779017	377068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32609	29790	10718	19475	19706	54117	17201	17559	26870	6736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobrevibacter smithii	0	0	0	0	0	0	0	0	0	1331	0	0	0	0	2672	0	0	0	0	0	0	0	7275	0	0	0	0	0	0	0	0	0	0	0	0	0	2067	596	0	212600	2135	22657	8716	0	0	0	0	12824	0	0	0	12907	11662	1981	22736	53351	83344	0	94943	0	4760	17566	5492	9291	0	0	0	3038	8587	6935	9152	0	0	0	27760	0	0	29723	0	0	0	0	0	0	10501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4258	116822	0	13760	0	2719	6229	24594	26847	38417	0	0	358872	32973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Saccharibacteria oral taxon TM7x	0	0	0	0	1324	1349	0	0	707	0	0	0	0	989	0	0	0	1889	0	1160	2094	128	2807	1426	4208	7191	2154	1735	1994	4885	0	8548	2747	737	5674	8578	15260	10118	41461	187611	11182	108305	18125	61061	16915	33899	15483	0	2832	118881	21973	28610	47827	32212	6511	50872	11996	38418	14990	23171	30773	34004	27615	20532	21049	16351	44824	5944	28864	4076	8555	54401	53507	20615	255877	0	0	90520	73504	217796	191047	24773	56640	45351	19710	37932	29018	115296	120102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	37872	18869	14555	35981	6252	3915	6689	28442	0	0	18434	8615	0	0	30625	0	0	15967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tannerella forsythia	0	0	0	2244	3094	46594	4120	0	10649	0	0	0	874	433990	0	3183	17683	80470	0	126147	75137	1408	134402	78267	34288	217957	40920	94744	32533	38374	64238	142709	54085	16028	218658	5833	0	2268	2979	80092	2250	109872	9509	112106	25392	29759	65253	2650	2124	157532	51201	28368	79178	2997	21212	50616	1146	80234	106087	8000	28390	23920	54073	269648	35752	27961	459042	63035	176496	39598	107748	34020	0	256889	494589	35735	85421	2139852	558633	4432390	346451	710634	919241	57817	1142993	9606	6906	78390	216949	0	0	0	0	0	0	1415	0	0	491	0	0	0	618	0	77	0	0	0	0	0	0	0	222	0	0	5332	36	0	0	0	1051	0	0	47	0	0	0	53249	127511	34101	226596	7833	9947	60717	181579	0	0	12483	0	0	0	28912	0	0	6967	0	0	0	0	0	0	0	0	3714	0	0	0	0	0	0	5858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
