sample_name	Env	Description	Host_General	Host_Genus	Host_Common	Age	Location	Accession_ID	Study	total_number_raw_reads_before_clipmerge	total_number_reads_after_clipmerge_prior_mapping	total_number_merged_reads	mean_percent_merged_reads	total_number_reads_not_attempted_to_map	total_number_reads_mapped_prior_rmdup	total_number_duplicates_removed	total_number_reads_mapped_after_rmdup	mean_percent_endogenous_dna	mean_cluster_factor	mean_mean_fold_coverage	mean_std_dev_coverage	mean_percent_coverage_morethan_1x	mean_percent_coverage_morethan_2x	mean_percent_coverage_morethan_3x	mean_percent_coverage_morethan_4x	mean_percent_coverage_morethan_5x	total_number_reads_on_mitochondrium	mean_average_coverage_on_mitochondrium	mean_ratio_mitochondrion_to_nuclear	mean_frequency_damage_1st_base_3prime	mean_frequency_damage_2nd_base_3prime	mean_frequency_damage_1st_base_5prime	mean_frequency_damage_2nd_base_5prime	mean_average_fragment_length	mean_median_fragment_length	mean_percent_gc_content	total_unmapped_reads		
LIB025.A0301	LibraryBlank	library_blank	LibraryBlank	Control	LibraryBlank	ModernDay	Germany	ERR3839765	This_study	1985302	737031	625246	84.833	111734	24280	4742	19538	3.294	1.243	0.0004	0.0228	0.03	0	0	0	0	3	0.010924014726296	30.68	0.0055	0.0036	0.005	0.0024	56.42	53	42.8	712751		
LIB025.A1001	LibraryBlank	library_blank	LibraryBlank	Control	LibraryBlank	ModernDay	Germany	ERR3839766	This_study	2785008	1377612	560049	40.654	806232	368292	346338	21954	26.734	16.776	0.0004	0.3484	0.03	0	0	0	0	5	0.026797030599312	65.55	0.0085	0.0127	0.0099	0.0069	57.66	53	57.2	1009320		
LIB025.A1301	LibraryBlank	library_blank	LibraryBlank	Control	LibraryBlank	ModernDay	Germany	ERR3839767	This_study	1256380	545916	125328	22.957	410694	181248	167531	13717	33.201	13.213	0.0003	0.3198	0.01	0	0	0	0	11	0.046230913151065	174.22	0.0041	0.0148	0.0012	0.0045	59.94	57	63.2	364668		
MTM009	Gorilla_1	Gorilla_beringei_beringei	Gorilla	Gorilla	Gorilla	Historical	Congo	ERR3906046; ERR3579783	This_study	380139080	158755812	154219797	97.0545	4528102	1097659	136324	961335	0.7955	1.238	0.003775	0.17245	0.345	0.005	0	0	0	428	0.375611080934275	91.4425	0.023075	0.02125	0.02185	0.0182	48.0025	42.75	46.755	157658153		
OAK002	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Epipalaeolithic	South_Africa	ERR3579786	This_study	219760056	72308980	70497473	97.493	1811434	133118	16935	116183	0.184333333333333	1.14133333333333	0.0006	0.030966666666667	0.06	0	0	0	0	60	0.078439656386425	129.253333333333	0.027933333333333	0.021366666666667	0.027	0.0206	46.14	36	43.4666666666667	72175862		
OAK005	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Epipalaeolithic	South_Africa	ERR3579790	This_study	65053436	26750722	24849348	92.913	1901312	17092	1707	15385	0.064333333333333	1.10466666666667	6.66666666666667E-05	0.012166666666667	0.006666666666667	0	0	0	0	32	0.040859436296699	536.383333333333	0.020866666666667	0.027466666666667	0.023	0.0113	47.49	34.6666666666667	51.2433333333333	26733630		
OME002	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	ERR3579793	This_study	145490044	72618497	58353783	80.357	14264520	509940	42946	466994	0.702	1.092	0.0078	0.1495	0.72	0.03	0.01	0	0	40	0.161506427666123	20.65	0.041	0.0405	0.026	0.026	51.86	46	42.67	72108557		
OME003	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	ERR3579795	This_study	166087194	91889828	63506553	69.112	28383070	292568	22579	269989	0.318	1.084	0.0045	0.1004	0.42	0.01	0	0	0	11	0.043454644215101	9.69	0.0424	0.0468	0.0238	0.0319	51.43	46	42.46	91597260		
OME005	Howler_Monkey	Alouatta_palliata	Howler	Alouatta	Alouatta	Historical	Nicaragua	ERR3579797	This_study	296525468	167478549	112578247	67.22	54900044	442103	43155	398948	0.264	1.108	0.0068	0.1328	0.63	0.02	0.01	0	0	51	0.201339851529966	29.66	0.0402	0.0352	0.0257	0.022	52.68	48	42.99	167036446		
PES001	Neanderthal	Homo_sapiens_neanderthalensis	Neanderthal	Homo	Homo (Neanderthal)	Palaeolithic	Serbia	ERR3678187	This_study	99729056	50328545	40188358	79.9016666666667	10140152	224031	30232	193799	0.443666666666667	1.148	0.001566666666667	0.0423	0.153333333333333	0.003333333333333	0	0	0	167	0.26738688715875	180.57	0.005433333333333	0.0051	0.003933333333333	0.002666666666667	75.9533333333333	76	45.52	50104514		
TAF008	PreagriculturalHuman_1	Homo_sapiens_sapiens	PreagriculturalHuman	Homo	Homo (Modern Human)	Epipalaeolithic	Morroco	ERR3579810	This_study	128930050	52474486	49414725	94.1743333333333	3059722	113693	18015	95678	0.217	1.17133333333333	0.000666666666667	0.0287	0.06	0	0	0	0	37	0.051662743677953	77.6566666666667	0.0132	0.0094	0.0106	0.007	63	66.3333333333333	44.9733333333333	52360793		
JAE008	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	ERR3307047	Velsko2019	NA	66728743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65296039		
JAE014	ModernDayHuman_1	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	ERR3307052	Velsko2019	NA	39086563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68620482		
VLC004	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	ERR3579822	This_study	NA	42121391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43315114		
VLC009	ModernDayHuman_2	Homo_sapiens_sapiens	ModernDayHuman	Homo	Homo (Modern Human)	ModernDay	Spain	ERR3579825	This_study	NA	32500037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33664784		
