Site,,,,,,,,,,,Sample,,,,,,,,,,,,,,,,Individual,,,,,,,,,,,,,,,,,,
"Site Id","Name","Locality","Province","Country","Latitude","Longitude","Files","Notes","Tags","Projects","Full Sample Id","Archaeological ID","Type Group","Type","Protocol","Worker","Creation Date","Experiment Date","Quantity","Location Room","Location","Files","Notes","Contact Person","Tags","Projects","Full Individual Id","Owner","Contact Person","Provenience","Worker","Creation Date","Organism","Archaeological ID","C14 Uncalibrated","C14 Uncalibrated Variation","C14 Calibrated From","C14 Calibrated To","C14 Info","C14 Id","Ethics","Files","Notes","Tags","Projects"
"BAN","Banyoles","Girona","Catalunya","Catalan Republic/Spain","0.0000000","0.0000000","0","","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome","","BAN001.B","???","Calculus","Tooth unspecified","Custom","James Fellows Yates","2017-04-07 15:38:17","2017-04-07 15:38:17","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Banyoles 10; Banyoles Hs2N (?) Calculus; Old Sample Type: Calculus","Domingo C. Salazar García","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome","","BAN001","???","Domingo C. Salazar Garcia","","James Fellows Yates","2017-02-14 13:18:32","Homo neandertalensis (Neanderthal)","???","0","0","0","0","","","0","0","; Old Organism: Human","Deep_Evolution,Iberian_Transect,James Fellows Yates,Oral_Microbiome",""
"BGZ","Benghazi","","Benghazi District","Libya","32.0645400","20.1496450","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BGZ001.A","v0245","Calculus","Tooth unspecified","MPI calculus field sampling protocol","James Fellows Yates","2017-07-03 15:36:38","2017-07-03 15:36:38","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","7","16; 17; 22; 24-26; 28;","Christina Warinner","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BGZ001","Die Anthropologische Rudolf-Virchow-Sammlung der Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte","Barbara Tessmann","","James Fellows Yates","2017-07-03 15:31:55","Homo sapiens (modern human)","v0245","0","0","0","0","","","0","0","adult; Old Organism: Human","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
"BIT","Bitule","Parc National de la Maiko","Maniema","Democratic Republic of the Congo","-0.5600000","27.0300000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BIT001.A","86.044-M-0003","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-09-28 11:18:07","2017-09-28 11:18:07","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","upper jaw sampled;","Katerina Gutschanski (Uppsalla Universitet)","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BIT001","Royal Museum for Central Africa","Emmanuel Gilissen","","Franziska Aron","2017-09-28 11:17:22","Gorilla beringei graueri (eastern lowland gorilla)","86.044-M-0003","0","0","0","0","","","","0","collector: univ. kisangani fac. sciences; received in 1986

","",""
"BKR","Blackriver","","??","South Africa","0.0000000","0.0000000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR001.A","Burial B43","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-10-11 15:58:37","2017-10-11 15:58:37","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Burial B43","Domingo C. Salazar Garcia","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR001","University of Cape Town","Domingo C. Salazar Garcia","Historical church cemetery","Franziska Aron","2017-10-11 15:57:34","Homo sapiens (modern human)","Burial B43","0","0","0","0","","","","0","DC Code: BK001","",""
"BKR","Blackriver","","??","South Africa","0.0000000","0.0000000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR002.A","Burial A58 I","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-10-11 15:59:10","2017-10-11 15:59:10","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Burial A58 I","Domingo C. Salazar Garcia","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR002","University of Cape Town","Domingo C. Salazar Garcia","Historical church cemetery","Franziska Aron","2017-10-11 15:57:34","Homo sapiens (modern human)","Burial A58 I","0","0","0","0","","","","0","DC Code: BK002","",""
"BKR","Blackriver","","??","South Africa","0.0000000","0.0000000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR003.A","Burial C59 a","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-10-11 15:59:39","2017-10-11 15:59:39","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Burial C59a","Domingo C. Salazar Garcia","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR003","University of Cape Town","Domingo C. Salazar Garcia","Historical church cemetery","Franziska Aron","2017-10-11 15:57:34","Homo sapiens (modern human)","Burial C59 a","0","0","0","0","","","","0","DC Code: BK003","",""
"BKR","Blackriver","","??","South Africa","0.0000000","0.0000000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR004.A","Burial A27","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-10-11 16:00:20","2017-10-11 16:00:20","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Burial A27","Domingo C. Salazar Garcia","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR004","University of Cape Town","Domingo C. Salazar Garcia","Historical church cemetery","Franziska Aron","2017-10-11 15:57:34","Homo sapiens (modern human)","Burial A27","0","0","0","0","","","","0","DC Code: BK004","",""
"BKR","Blackriver","","??","South Africa","0.0000000","0.0000000","0","","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR005.A","Burial A44 I","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-10-11 16:00:51","2017-10-11 16:00:51","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Burial A44 I","Domingo C. Salazar Garcia","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BKR005","University of Cape Town","Domingo C. Salazar Garcia","Historical church cemetery","Franziska Aron","2017-10-11 15:57:34","Homo sapiens (modern human)","Burial A44 I","0","0","0","0","","","","0","DC Code: BK005","",""
"BSF","Baraka Sibatwa forest","Near Baraka","South-Kivu","Democratic Republic of the Congo","-4.0500000","29.0500000","0","Height of 2100m","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BSF001.A","812-M","Calculus","Tooth unspecified","Custom","Franziska Aron","2017-09-28 11:03:20","2017-09-28 11:03:20","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","0","Sample from Uppsala; both jaws sampled ; 812-M-; Chunk of tooth in the tube;","Katerina Gutschanski (Uppsalla Universitet)","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BSF001","Royal Museum for Central Africa","Emmanuel Gilissen","","Franziska Aron","2017-09-28 10:58:51","Gorilla beringei graueri (eastern lowland gorilla)","812-M","0","0","0","0","","","","0","Collector: Pauwels; received 10.02.1910
","",""
"BSQ","Basque Country","","País Vasco","Spain","43.0465740","-2.6769800","0","Multiple provinces-left province as Basque.","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BSQ001.A","v1983","Calculus","Tooth unspecified","MPI calculus field sampling protocol","James Fellows Yates","2017-07-04 14:05:35","2017-07-04 14:05:35","0","Ancient Lab/210a (Sample Collection)","Room Temp/7","6","11-13; 16-18; 21-23; 26-28;","Christina Warinner","Deep_Evolution,James Fellows Yates,Oral_Microbiome","","BSQ001","Die Anthropologische Rudolf-Virchow-Sammlung der Berliner Gesellschaft für Anthropologie, Ethnologie und Urgeschichte","Barbara Tessmann","","James Fellows Yates","2017-07-04 14:05:00","Homo sapiens (modern human)","v1983","0","0","0","0","","","0","0","adult; Old Organism: Human","Deep_Evolution,James Fellows Yates,Oral_Microbiome",""
