File,Count
File,Count
OME002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,25833
MTM004.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,7931
SRR3184876_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,42839
OAK002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,28380
KNP004.A0102_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,271
PLV001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,23910
LIB007.A0123_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,311
ECO006.B0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,5374
SRR514306_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,76340
SRR1761710_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,103649
Chimp.150519_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,35245
LIB017.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,379
SRR1761721_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,99834
ABM008.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,6009
JAE016.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,148556
MTM005.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,8045
SRR062298_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,37169
VLC002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,29269
MTS003.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,13088
MTM012.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,32245
EXB015.A2801_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,1282
EXB015.A2501_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,426
SRR1761698_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,114792
JAE007.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,222812
LIB007.A0122_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,427
DJA006.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15550
ESA003.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,17964
ARS001.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,8808
SRR061365_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,80800
ARS011.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,5510
OME007.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,27986
MTM013.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,17944
JAE015.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,103424
JAE008.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,134625
SRR1631061_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,32334
FUM003.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,18436
SRR1761705_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,101662
EXB015.A2001_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,84
ECO010.B0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15721
FDM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,8549
EXB015.A1701_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,59
LIB013.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,0
BSQ001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,27857
SRR3189418_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,27439
ESA006.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15356
ARS015.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,9282
RIG001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,43333
ARS020.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,5942
MTS001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,14411
ARS005.A0101.SG1.2_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,6289
CDC008.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,26005
LIB007.A0119_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,35
SRR1631063_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,35897
PYK003.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,21652
SRR513768_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,55780
EXB015.A1901_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,82
MTM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,8248
GDN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,41594
SPM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,2662
JAE010.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,138970
OME005.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,21327
EBO009.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,4467
DJA002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15894
EXB002.A1101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,132
ElSidron1_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,86632
SRR1930145_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,68515
EBO008.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,15068
VLC009.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,63341
PYK002.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,23501
FUM001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,14978
SRR3184100_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,51790
CDC011.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,11530
TAF017.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,8185
CDC010.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,17861
LIB025.A0601_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,344
EXB015.A2301_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,43
EMN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,22122
SRR062299_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,21492
BAN001.A0101_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,30467
SRR059917_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,62636
SRR1761692_S0_L000_R1_000.fastq.merged.prefixed.16smapped.stats,77969
