File	Input_Reads	Input_Reads_With_Hits	Total_Alignments	Input_Reads_With_Taxonomy	Min_Support_Reads_Threshold_MALT	Percentage_Hits	Percentage_Hits_with_Taxonomy
VLC010.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	19113086	14969567	132554046	14244547	1496	78.32103617385492	74.5277188623543
VLD001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	9040714	3071364	38526173	3043506	307	33.97258225401224	33.664442874755245
WAL001_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	14881423	2575828	70036089	2477176	257	17.30901675195981	16.646096277217577
ZAF001.A0101_S0_L000_R1_000.fastq.merged.prefixed.hg19unmapped.rma6	8749845	1834426	51168845	1814574	183	20.965239955679216	20.738355936590878
ARS001.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	24581512	4094201	110737966	3974076	409	16.65561093231368	16.16693065910673
ARS004.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	17580795	2144041	53244256	2104200	214	12.195358628548938	11.968742027877578
ARS005.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	18356410	2310369	57699444	2265096	231	12.586170171618525	12.33953697918057
ARS010.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	20255679	1912109	49346952	1869800	191	9.439866222208597	9.230991466640047
ARS011.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	18240287	2161924	56358689	2117773	216	11.852467014362219	11.610414901914647
ARS012.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	20433082	2890232	75283206	2835402	289	14.144865664416164	13.876526311596068
ARS013.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	21043477	2546492	70153120	2482430	254	12.101099072173291	11.796672194428707
ARS015.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	29902998	4125135	108393244	4016765	412	13.795054930612643	13.432649796518731
ARS017.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	38493832	4953855	127677045	4844115	495	12.869217593093877	12.584132959275138
ARS020.A0101.SG1.2_S0_L003_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	21129699	2615263	67674936	2541779	261	12.377190039479501	12.029414143571094
DLV001.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	986675	581633	11926140	579822	58	58.948792662224136	58.765246915144296
DLV002.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	83056	13369	489127	13169	1	16.0963687150838	15.85556732806781
OFN001.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	12400690	5442008	46724338	5417056	544	43.884719318037945	43.68350470820575
PLV001.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	11431381	3483741	59433116	3471666	348	30.475241792745777	30.369611510630257
RIG001.A0101_S0_L001_R1_001.fastq.combined.fq.prefixed.extractunmapped.bam.rma6	26077448	8810155	108601090	8768656	881	33.78457508572158	33.62543758116208
