Sample number,Sample Name,# reads after C&M prior mapping,# of Merged Reads,% Merged Reads,# reads not attempted to map,# mapped reads prior RMDup,# of Duplicates removed,Mapped Reads after RMDup,Endogenous DNA (%),Cluster Factor,Mean Coverage,std. dev. Coverage,Coverage >= 1X in %,Coverage >= 2X in %,Coverage >= 3X in %,Coverage >= 4X in %,Coverage >= 5X in %,# of reads on mitochondrium,AVG Coverage on mitochondrium,MT/NUC Ratio,DMG 1st Base 3',DMG 2nd Base 3',DMG 1st Base 5',DMG 2nd Base 5',average fragment length,median fragment length,GC content in %
Sample 23/188,DJA007.A0101.171215,21800259,1721425,7.896,20078834,22771,255,22516,0.104,1.011,0.0004,0.0396,0.02,0.02,0,0,0,23,0.06946707707163981,194,0.0463,0.0302,0.0454,0.042,49.28,45.0,47.87
Sample 24/188,DLV001.A0101,12243320,762882,6.231,11480438,9955960,229121,9726839,81.317,1.024,0.1954,1.4094,9.18,8.21,0.88,0.55,0.09,21628,80.82690566720984,414.56,0.0061,0.005,0.0067,0.0054,62.19,68.0,46.45
Sample 25/188,DLV002.A0101,138554,11266,8.131,127288,3302,45,3257,2.383,1.014,0.0001,0.0116,0,0,0,0,0,5,0.020942724364777596,305.41,0.011,0.0078,0.0081,0.0067,65.28,76.0,44.85
Sample 26/188,EBO001.A0101,29975287,2631241,8.778,27344046,148094,3118,144976,0.494,1.022,0.0024,0.0924,0.13,0.1,0.01,0,0,1076,3.7912366467499545,1591.04,0.0727,0.0543,0.0669,0.0528,51.32,48.0,45.01
Sample 27/188,EBO003.A0101,38517413,3479971,9.035,35037442,31094,1090,30004,0.081,1.036,0.0005,0.0672,0.03,0.02,0,0,0,17,0.05443901261391756,111.9,0.0416,0.0359,0.0407,0.0378,50.23,46.0,49.08
Sample 28/188,EBO008.A0101,6912874,525092,7.596,6387782,54211,641,53570,0.784,1.012,0.001,0.0661,0.06,0.03,0,0,0,16,0.04840364536182026,50.68,0.0449,0.044,0.0323,0.0385,55.21,54.0,48.28
Sample 29/188,EBO008.A0101.171215,14854787,1128921,7.600,13725866,116494,1532,114962,0.784,1.013,0.002,0.1236,0.13,0.06,0,0,0,19,0.06349206349206349,31.01,0.0424,0.042,0.0345,0.038,55.15,54.0,48.08
Sample 30/188,EBO009.A0101,3333910,270814,8.123,3063096,5351,56,5295,0.161,1.011,0.0001,0.014,0.01,0,0,0,0,5,0.013579576317218903,151.58,0.0603,0.0574,0.0471,0.0482,52.42,49.0,47.45
Sample 31/188,EBO009.A0101.171215,3554060,289408,8.143,3264652,5877,49,5828,0.165,1.008,0.0001,0.014,0.01,0,0,0,0,4,0.014605588750075442,149.1,0.0746,0.0571,0.0448,0.059,52.07,49.0,47.16
Sample 32/188,ECO002.B0101,24195776,2032896,8.402,22162880,36377,515,35862,0.150,1.014,0.0006,0.0486,0.03,0.03,0,0,0,13,0.04200615607459714,68.53,0.0437,0.0325,0.0451,0.0327,52.93,52.0,42
Sample 33/188,ECO002.C0101,22141467,1734995,7.836,20406472,21684,335,21349,0.098,1.016,0.0003,0.0472,0.02,0.01,0,0,0,7,0.022994749230490677,68.01,0.0468,0.0328,0.0469,0.0386,49.04,44.0,43.33
Sample 34/188,ECO004.B0101,20219971,1754425,8.677,18465546,562798,12058,550740,2.783,1.022,0.0106,0.1724,0.54,0.47,0.03,0.01,0,182,0.6515782485364234,61.36,0.0147,0.011,0.016,0.0115,59.7,63.0,43.66
Sample 35/188,ECO004.C0101,18168170,1569288,8.638,16598882,70995,1226,69769,0.391,1.018,0.0013,0.0605,0.07,0.06,0,0,0,23,0.08189993361096022,62.96,0.0189,0.0173,0.0202,0.0162,57.73,60.0,44.26
Sample 36/188,ECO006.B0101,18820338,1698886,9.027,17121452,67629,1376,66253,0.359,1.021,0.0013,0.0605,0.07,0.06,0,0,0,66,0.2354396765043153,178.12,0.0096,0.0085,0.0091,0.0077,61.82,68.0,45.08
Sample 37/188,ECO010.B0101,23079594,1890358,8.191,21189236,10911,274,10637,0.047,1.026,0.0001,0.0445,0.01,0.01,0,0,0,0,NaN,0.0,0.0596,0.0502,0.0872,0.0689,36.69,31.0,40.21
Sample 38/188,EMN001.A0101,22684000,1674546,7.382,21009454,9986,209,9777,0.044,1.021,0.0002,0.0331,0.01,0.01,0,0,0,4,0.015450540165369063,96.58,0.0941,0.0605,0.1267,0.065,50.68,47.0,46.37
Sample 39/188,ESA003.A0101,18558308,1400548,7.547,17157760,9971,135,9836,0.054,1.014,0.0001,0.0363,0.01,0.01,0,0,0,5,0.015510893837890036,104.1,0.0627,0.0603,0.0577,0.0542,46.92,43.0,46.94
Sample 40/188,ESA004.A0101,14616901,1227397,8.397,13389504,5118,101,5017,0.035,1.020,0.0001,0.0315,0,0,0,0,0,4,0.010742953708733176,170.68,0.045,0.038,0.0537,0.0369,38.87,32.0,54.25
Sample 41/188,ESA006.A0101,20518696,1683572,8.205,18835124,9917,140,9777,0.048,1.014,0.0001,0.0344,0.01,0.01,0,0,0,10,0.03536725209729012,258.88,0.0988,0.0642,0.1071,0.0891,43.32,39.0,49.29
Sample 42/188,ESA007.A0101,18117372,1427288,7.878,16690084,8312,202,8110,0.046,1.025,0.0001,0.0542,0.01,0,0,0,0,2,0.0076045627376425855,66.16,0.0493,0.039,0.0545,0.0542,43.89,40.0,51.43
Sample 43/188,ESA008.A0101,16846149,1281511,7.607,15564638,5577,98,5479,0.033,1.018,0.0001,0.0346,0,0,0,0,0,2,0.005311123181845615,71.12,0.0622,0.0461,0.0806,0.0456,42.21,38.0,50.59
Sample 44/188,EXB002.A1101,282376,0,0.000,0,2790,662,2128,0.988,1.311,0,0.0074,0,0,0,0,0,0,NaN,0.0,0.0094,0.0125,0.0041,0.0024,61.43,69.0,43.61
Sample 45/188,EXB015.A1701,433140,14560,3.361,418580,5751,1000,4751,1.328,1.210,0.0001,0.0269,0,0,0,0,0,0,NaN,0.0,0.0038,0.0052,0.0068,0.0,54.56,52.0,49.63
Sample 46/188,EXB015.A1901,517434,15626,3.020,501808,16624,3157,13467,3.213,1.234,0.0002,0.0392,0.01,0.01,0,0,0,6,0.019252821534190355,77.5,0.0053,0.0044,0.0031,0.0056,57.13,58.0,47.58
Sample 47/188,EXB015.A2001,557541,15099,2.708,542442,13395,2888,10507,2.403,1.275,0.0002,0.0383,0.01,0.01,0,0,0,6,0.017804333393687005,88.39,0.0051,0.0046,0.0024,0.0017,59.38,62.0,47.88
Sample 48/188,EXB015.A2101,793061,16079,2.027,776982,6585,1245,5340,0.830,1.233,0.0001,0.0348,0,0,0,0,0,3,0.010682600036212204,103.35,0.0074,0.0131,0.0101,0.0135,59.95,65.0,49.38
Sample 49/188,EXB015.A2201,917579,31509,3.434,886070,15302,3962,11340,1.668,1.349,0.0002,0.0521,0.01,0.01,0,0,0,2,0.00917375822318788,42.16,0.0063,0.0049,0.008,0.0042,59.41,63.0,49.47
Sample 50/188,EXB015.A2301,282924,9966,3.523,272958,2410,366,2044,0.852,1.179,0,0.0256,0,0,0,0,0,2,0.00917375822318788,243.74,0.0,0.0045,0.0119,0.0,57.08,57.0,52.84
Sample 51/188,EXB015.A2401,592785,15531,2.620,577254,47579,11001,36578,8.026,1.301,0.0006,0.042,0.03,0.02,0.01,0,0,6,0.022994749230490677,37.1,0.0039,0.0074,0.0056,0.0035,52.46,49.0,45.42
Sample 52/188,EXB015.A2501,2100300,88192,4.199,2012108,23142,9900,13242,1.102,1.748,0.0002,0.0377,0.01,0,0,0,0,12,0.04864506005190416,196.41,0.0063,0.001,0.0051,0.014,57.96,59.0,47.94
Sample 53/188,EXB015.A2601,2051055,95713,4.667,1955342,24764,9411,15353,1.207,1.613,0.0003,0.0373,0.01,0.01,0,0,0,7,0.022813688212927757,77.81,0.0048,0.0034,0.0107,0.0081,59.14,63.0,46.09
Sample 54/188,EXB015.A2801,3162929,203171,6.424,2959758,35961,14322,21639,1.137,1.662,0.0004,0.0454,0.01,0.01,0.01,0,0,22,0.05818094031021788,140.64,0.0091,0.0035,0.004,0.0027,59.23,62.0,46.6
Sample 55/188,EXB015.A2901,593366,23144,3.900,570222,30518,11788,18730,5.143,1.629,0.0004,0.043,0.01,0.01,0.01,0,0,9,0.026253847546623212,67.22,0.0046,0.0052,0.007,0.0016,64.58,76.0,45.89
Sample 56/188,EXB020.A0101,143652,7358,5.122,136294,1972,101,1871,1.373,1.054,0,0.0102,0,0,0,0,0,0,NaN,0.0,0.0207,0.0191,0.0094,0.0045,61.97,69.0,48.09
Sample 57/188,EXB021.A0101,124677,4577,3.671,120100,1221,81,1140,0.979,1.071,0,0.011,0,0,0,0,0,0,NaN,0.0,0.0173,0.0,0.0,0.0217,60.66,65.0,49.74
Sample 58/188,EXB022.A0101,3135440,137376,4.381,2998064,55540,9470,46070,1.771,1.206,0.0009,0.1182,0.03,0.02,0.01,0.01,0,56,0.19458024020761663,224.22,0.0228,0.0261,0.0298,0.0205,58.38,60.0,46.34
Sample 59/188,EXB023.A0101,3378593,177809,5.263,3200784,317233,76212,241021,9.390,1.316,0.0046,0.1928,0.14,0.1,0.05,0.04,0.03,89,0.29205142132898787,63.6,0.0251,0.0187,0.0234,0.0154,59.0,61.0,45.52
