Sample_Name,Raw_Reads,Post_Clip_and_Merge,Percent_Merged_Content_Post_Clip_and_Merge,Mapped_Reads,Percent_Endogenous_DNA,Post_Duplicate_Removal_Reads,Cluster_Factor,X_Mean_Coverage,mtDNA_Reads,Median_Fragment_Length,GC_Content_Percent,Non_Human_Reads
EBO009.A0101,4171968,1783508,98.0424534120396,8609,0.482700385980887,4361,1.97408851180922,0.0001,2,51,62.34,1774899
EBO009.A0101.171215,4445818,1902862,97.9770997581538,9355,0.491627874223144,4796,1.95058381984988,0.0001,1,52,61.73,1893507
ECO002.B0101,32797254,12966305,97.0193281740635,92630,0.714390105739453,26328,3.51830750531753,0.0005,9,55,50.81,12873675
ECO002.C0101,28076736,11856113,97.7314824850269,67504,0.569360295402043,16642,4.05624323999519,0.0003,4,47,57.27,11788609
ECO004.B0101,27250280,11095766,93.3459123056488,399981,3.60480745538433,326499,1.2250604136613,0.0071,107,66,43.91,10695785
ECO004.C0101,24972780,9802413,95.9703595431043,98027,1.0000292785052,43846,2.23571135337317,0.0009,14,61,48.2,9704386
ECO006.B0101,24374026,10587665,89.6823709477019,98751,0.932698569514619,42397,2.32919782060051,0.0009,34,69,48.47,10488914
ECO010.B0101,30449940,12320812,97.9975670434708,74678,0.606112649068909,10532,7.09058108621344,0.0002,0,34,69.55,12246134
ElSidron1,NA,NA,NA,23461,NA,17456,1.34400779101742,0.0002,9,27,45.24,50263252
ElSidron2,NA,NA,NA,31979,NA,9797,3.2641624987241,0.0001,0,26,48.87,48199813
EMN001.A0101,26673212,12639045,90.8559309663032,59556,0.471206487515473,10105,5.89371598218704,0.0002,2,50,67.83,12579489
ERR1883418,NA,NA,NA,597820,NA,593091,1.00797348130388,0.005,114,24,47.39,15313919
ERR1883419,NA,NA,NA,731615,NA,725666,1.00819798640146,0.006,153,24,46.02,14971987
ERR1883420,NA,NA,NA,651214,NA,646260,1.00766564540587,0.0052,102,24,48.38,17128621
ERR1883421,NA,NA,NA,706843,NA,701402,1.00775732033841,0.0055,83,23,50.25,15512230
ERR1883422,NA,NA,NA,2934849,NA,2893458,1.01430502879254,0.02,62,22,61.7,16579390
ERR1883423,NA,NA,NA,1103636,NA,1093142,1.00959985070558,0.0074,20,22,62.18,14450910
ERR1883424,NA,NA,NA,715846,NA,711735,1.00577602618952,0.0049,13,22,60.99,17758233
ERR1883430,NA,NA,NA,827183,NA,824029,1.00382753519597,0.0055,32,21,56.23,14823024
ERR1883436,NA,NA,NA,651919,NA,648174,1.00577776954953,0.0044,30,21,55,20645139
ERR1883438,NA,NA,NA,472010,NA,470592,1.00301322589419,0.003,15,21,57.93,17270876
ESA003.A0101,21282008,10175536,94.4450985186431,46035,0.452408600392156,10302,4.46854979615609,0.0002,4,45,69.48,10129501
ESA004.A0101,18509590,7856208,97.2286629885563,32067,0.408174019832469,6710,4.77898658718331,0.0001,2,41,82.14,7824141
ESA006.A0101,24509716,11274114,94.2723126624407,40688,0.360897539265613,9387,4.33450516671993,0.0001,6,44,71.46,11233426
ESA007.A0101,20998734,9967273,93.9758447471039,63842,0.640516217424766,11037,5.7843616924889,0.0002,3,44,78.7,9903431
ESA008.A0101,19624716,9162818,95.7489933773649,42888,0.468065610383181,8087,5.30332632620255,0.0001,1,44,80.52,9119930
EXB002.A1101,471140,283027,NA,2802,0.990011553668025,2194,1.2771194165907,0,0,69,43.74,280225
EXB015.A1701,963592,371378,19.827507283684,132935,35.7950659435939,5680,23.4040492957746,0.0001,0,60,77.86,238443
EXB015.A1901,1237680,455419,17.0601138731586,177455,38.9652166466485,9783,18.1391188796893,0.0002,3,62,64,277964
EXB015.A2001,1323820,491661,17.3395896766268,182530,37.1251736460691,8031,22.7281783090524,0.0002,6,67,65.15,309131
EXB015.A2101,2190988,729522,12.0955913598219,281182,38.5433201466166,6276,44.8027405991077,0.0001,2,66,74.74,448340
EXB015.A2201,1990394,788087,20.5321239913867,282685,35.8697707232831,8900,31.7623595505618,0.0002,1,63,70.21,505402
EXB015.A2301,611632,253027,16.9262568816767,80952,31.9934236267276,4015,20.1623910336239,0.0001,2,63,83.45,172075
EXB015.A2401,1266124,517631,18.6588515757364,27356,5.28484576851077,16706,1.637495510595,0.0003,5,49,44.89,490275
EXB015.A2501,3841918,1638400,33.5238647460937,16288,0.994140625,5486,2.9690120306234,0.0001,11,63,45.05,1622112
EXB015.A2601,3668460,1551629,37.8283081844951,16358,1.05424685926855,6601,2.47810937736707,0.0001,7,65,44.21,1535271
