Sample_Name,Raw_Reads,Post_Clip_and_Merge,Percent_Merged_Content_Post_Clip_and_Merge,Mapped_Reads,Percent_Endogenous_DNA,Post_Duplicate_Removal_Reads,Cluster_Factor,X_Mean_Coverage,mtDNA_Reads,Median_Fragment_Length,GC_Content_Percent,Non_Human_Reads
SRR1761698,70798988,50125762,39.766920650503,1630,0.003251820890025,1589,1.02580239144116,0,1,30,32.96,50124132
SRR1761705,58453308,43135531,34.2973916328977,2192,0.005081657624662,2186,1.00274473924977,0,4,30,26.54,43133339
SRR1761710,54795168,40041269,35.9115641414861,1214,0.003031871941921,1179,1.02968617472434,0,0,30,28.02,40040055
SRR1761718,59981100,43880225,34.618268251815,3122,0.00711482222345,3105,1.00547504025765,0,4,30,26.16,43877103
SRR1761721,58106422,43668569,30.9572979137466,2785,0.00637758475667,2763,1.00796235975389,0,0,30,28.97,43665784
SRR1804664,47477770,27545705,23.434023561931,1595,0.005790376394432,1587,1.00504095778198,0,0,40,37.42,27544110
SRR1804823,56029216,19303573,23.8315155437804,2374,0.012298241367026,2333,1.01757393913416,0.0001,0,52,35.67,19301199
SRR1929408,63686272,59782659,6.39359985643998,248,0.000414836014571,248,1,0,4,47.5,43.31,59782411
SRR1930121,71290650,68362818,4.09769532906031,309,0.000452000091629,309,1,0,3,43,46.19,68362509
SRR1930123,77841428,73941254,5.13655340495037,726,0.00098186054567,726,1,0,0,51,42.51,73940528
SRR1930141,64739338,61586458,4.93213296988114,169,0.000274410975218,169,1,0,4,32,37.3,61586289
SRR1930145,33390282,32302251,3.15012411983301,1078,0.003337228727496,1077,1.00092850510678,0,10,62,43.13,32301173
SRR3184100,30677694,26261747,16.7999524174839,22,8.3772035424756E-05,22,1,0,0,31.5,79.57,26261725
SRR3184876,57281306,40471750,41.4982648390544,73,0.000180372729126,73,1,0,0,31,65.18,40471677
SRR3189411,27652340,19815217,39.4712104338802,39,0.000196818435044,39,1,0,0,31,56.73,19815178
SRR3189416,25380914,18295464,38.6710826246331,25,0.000136645892118,25,1,0,0,31,64.52,18295439
SRR3189418,23073016,16666160,38.3770886634954,19,0.000114003465705,19,1,0,0,31,61.53,16666141
SRR512767,100206898,66557754,13.7492049386162,2432,0.003653969453356,2113,1.1509701845717,0,0,43,43.61,66555322
SRR513165,85659508,14351592,23.0006956719505,4449,0.031000045151785,3929,1.13234919826928,0.0001,1,67,38.94,14347143
SRR513768,167216178,27861563,30.3548655902757,8075,0.028982580769069,7444,1.08476625470177,0.0002,1,80.5,42.06,27853488
SRR513775,96875170,24139399,27.7511175816763,4375,0.018123897782211,4207,1.03993344425957,0.0001,0,95,42.65,24135024
SRR513828,97560848,46402367,11.1209413088776,6275,0.013523017047816,6216,1.00949163449163,0.0001,0,42,41.53,46396092
SRR514202,215253850,11758533,5.38654779469514,16507,0.140383158341266,15588,1.05895560687709,0.0003,2,58,38.89,11742026
SRR514239,168377064,16645687,6.27382937093555,11722,0.070420644098378,11083,1.05765586934945,0.0002,1,60,38.21,16633965
SRR514306,106367632,37922051,49.0760850461385,2516,0.006634662244402,2071,1.21487204249155,0.0001,0,98,40.62,37919535
SRR514329,165512204,28154404,4.33793945700289,14310,0.050826861758466,13326,1.07384061233679,0.0003,0,44,38.69,28140094
TAF008.B0101,26880590,11620086,96.7704025598434,95201,0.819279650770227,19165,4.96744064701278,0.0003,3,49,55.09,11524885
TAF016.B0101,12036150,5938606,31.141180270252,1169016,19.6850237244229,18676,62.5945598629257,0.0004,22,61,61.27,4769590
TAF017.A0101,17735630,7533420,30.2877444772759,1959041,26.0046698577804,15914,123.101734321981,0.0003,15,60,67.54,5574379
TAF017.C0101,6739326,2739804,98.0331804756837,10501,0.383275591976652,3854,2.72470160871821,0.0001,0,50,69.75,2729303
TAF017.C0101.171215,6781684,2759173,98.0255678060057,10630,0.38526036605896,3780,2.81216931216931,0.0001,1,52,69.38,2748543
TAF017.E0101,62506,35093,66.4975921123871,2058,5.86441740518052,1436,1.43314763231198,0,1,73,49.22,33035
TAF017.E0101.171215,64824,36203,67.3259122172196,2136,5.90006353064663,1447,1.47615756738079,0,0,73,49.99,34067
TAF018.A0101,15631906,8343725,69.556103538887,342474,4.10456960170667,13143,26.0575211139009,0.0003,11,70,61.16,8001251
TAF018.B0101,15041368,6861077,92.0629224828697,180548,2.63148190874406,32339,5.58298030242123,0.0006,16,55,50.82,6680529
VLC001.A0101,82467326,41712519,96.5179014961911,7261817,17.4092027383913,6858262,1.05884216730128,0.2635,1948,112,44.24,34450702
VLC002.A0101,31782890,15783566,98.6728727842618,50339,0.318932996510421,15212,3.30916381803839,0.0004,4,84,61.26,15733227
VLC003.A0101,52539098,26198342,98.2506908261599,103728,0.39593345258261,24464,4.24002616088947,0.0007,10,87,58.73,26094614
VLC004.A0101,87382752,43563848,97.7757474500416,248734,0.570964254581,114028,2.18134142491318,0.0041,165,104,47.57,43315114
VLC005.A0101,89173288,44369413,97.8105727925677,238067,0.536556568823662,104063,2.28771993888318,0.0035,67,96,46.91,44131346
VLC008.A0101,70978956,35900972,96.1939888424191,124852,0.347767742890081,12098,10.320052901306,0.0004,7,83,75.95,35776120
VLC009.A0101,66958370,33786897,96.5022239242627,122113,0.361421174605055,16823,7.25869345538846,0.0005,248,90,64.26,33664784
VLC010.A0101,38772040,19368986,97.5946856484898,255900,1.32118428915174,192213,1.33133554962464,0.0077,344,120,46.1,19113086
VLD001.A0101,23582588,10434687,94.8009461136688,1393973,13.359030318782,1063441,1.31081366996382,0.0205,2040,54,46.11,9040714
WAL001.A0101,9883232,4770409,92.0659213916459,32916,0.690003729239988,24309,1.35406639516229,0.0004,20,49,51.62,4737493
WAL001.A0101.171215,21199810,10214626,92.300785168248,70696,0.692105614047935,50161,1.40938179063416,0.0009,39,48,50.48,10143930
ZAF001.A0101,30028164,11864184,89.6547120307642,3114339,26.2499216128138,1761386,1.7681184022128,0.0401,2370,71,44.4,8749845
