Database	Taxonomic_Level	Min_Support	Test	Statistic	Mean	SD
nt	genus	0.07	BetaDispersion	F	7.644081539904988	3.75920908812437
nt	genus	0.07	BetaDispersion	p	0.014022480618536916	0.04305405961229954
nt	species	0.04	BetaDispersion	F	10.406510792316578	5.7436833170448125
nt	species	0.04	BetaDispersion	p	0.001627916057195208	0.005029647010121464
refseq	genus	0.07	BetaDispersion	F	6.918334564509974	4.233213632190593
refseq	genus	0.07	BetaDispersion	p	0.028459654995847482	0.08382244499223093
refseq	species	0.04	BetaDispersion	F	17.049373720224917	9.706770036402812
refseq	species	0.04	BetaDispersion	p	2.709509654085569e-4	0.0015412947411853493
