Genus	Sum	Percent	Protein	Host_Genus
Salmonella	14	0.251753281783852	pc1n1nomod	Gorilla
Serratia	2	0.0359647545405503	pc1n1nomod	Gorilla
Shewanella	37	0.66534795900018	pc1n1nomod	Gorilla
Sphingopyxis	1	0.0179823772702751	pc1n1nomod	Gorilla
Staphylococcus	56	1.00701312713541	pc1n1nomod	Gorilla
Stenotrophomonas	206	3.70436971767668	pc1n1nomod	Gorilla
Tolumonas	3	0.0539471318108254	pc1n1nomod	Gorilla
Treponema	1	0.0179823772702751	pc1n1nomod	Gorilla
Xanthomonas	9	0.161841395432476	pc1n1nomod	Gorilla
Xenorhabdus	1	0.0179823772702751	pc1n1nomod	Gorilla
Yersinia	1	0.0179823772702751	pc1n1nomod	Gorilla
Total	5561	100	pc1n1nomod	Gorilla
[Mannheimia]	2	0.272108843537415	pc1n1nomod	Alouatta
Actinobacillus	2	0.272108843537415	pc1n1nomod	Alouatta
Aggregatibacter	144	19.5918367346939	pc1n1nomod	Alouatta
Cardiobacterium	168	22.8571428571429	pc1n1nomod	Alouatta
Citrobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Dickeya	2	0.272108843537415	pc1n1nomod	Alouatta
Erwinia	1	0.136054421768707	pc1n1nomod	Alouatta
Escherichia	1	0.136054421768707	pc1n1nomod	Alouatta
Haemophilus	14	1.9047619047619	pc1n1nomod	Alouatta
Hymenobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Kosakonia	4	0.54421768707483	pc1n1nomod	Alouatta
Lautropia	35	4.76190476190476	pc1n1nomod	Alouatta
Leucobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Lysobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Methylobacterium	3	0.408163265306122	pc1n1nomod	Alouatta
Neisseria	328	44.6258503401361	pc1n1nomod	Alouatta
Nitrobacter	1	0.136054421768707	pc1n1nomod	Alouatta
Nitrosomonas	2	0.272108843537415	pc1n1nomod	Alouatta
Pantoea	1	0.136054421768707	pc1n1nomod	Alouatta
Photobacterium	1	0.136054421768707	pc1n1nomod	Alouatta
Plautia	1	0.136054421768707	pc1n1nomod	Alouatta
Pluralibacter	1	0.136054421768707	pc1n1nomod	Alouatta
Salmonella	7	0.952380952380952	pc1n1nomod	Alouatta
Stenotrophomonas	2	0.272108843537415	pc1n1nomod	Alouatta
Tolumonas	4	0.54421768707483	pc1n1nomod	Alouatta
Verrucomicrobium	1	0.136054421768707	pc1n1nomod	Alouatta
Vitreoscilla	1	0.136054421768707	pc1n1nomod	Alouatta
Xanthomonas	4	0.54421768707483	pc1n1nomod	Alouatta
Zymomonas	1	0.136054421768707	pc1n1nomod	Alouatta
Total	735	100	pc1n1nomod	Alouatta
Acinetobacter	116	6.32497273718648	pc1n2nomod	Homo
Actinobacillus	4	0.218102508178844	pc1n2nomod	Homo
Actinomycetospora	1	0.054525627044711	pc1n2nomod	Homo
Aeromicrobium	1	0.054525627044711	pc1n2nomod	Homo
Aggregatibacter	1588	86.5866957470011	pc1n2nomod	Homo
Allochromatium	1	0.054525627044711	pc1n2nomod	Homo
Azoarcus	1	0.054525627044711	pc1n2nomod	Homo
Chlorobaculum	1	0.054525627044711	pc1n2nomod	Homo
Chlorobium	33	1.79934569247546	pc1n2nomod	Homo
Comamonas	1	0.054525627044711	pc1n2nomod	Homo
Desulfomicrobium	4	0.218102508178844	pc1n2nomod	Homo
Dickeya	1	0.054525627044711	pc1n2nomod	Homo
Duganella	1	0.054525627044711	pc1n2nomod	Homo
Enterobacter	4	0.218102508178844	pc1n2nomod	Homo
Gordonia	1	0.054525627044711	pc1n2nomod	Homo
Kineococcus	1	0.054525627044711	pc1n2nomod	Homo
Kingella	6	0.327153762268266	pc1n2nomod	Homo
Lautropia	1	0.054525627044711	pc1n2nomod	Homo
Lelliottia	2	0.109051254089422	pc1n2nomod	Homo
Mycobacterium	2	0.109051254089422	pc1n2nomod	Homo
Neisseria	27	1.4721919302072	pc1n2nomod	Homo
Nocardia	1	0.054525627044711	pc1n2nomod	Homo
Nocardioides	2	0.109051254089422	pc1n2nomod	Homo
Pantoea	6	0.327153762268266	pc1n2nomod	Homo
Pseudomonas	26	1.41766630316249	pc1n2nomod	Homo
Xanthomonas	2	0.109051254089422	pc1n2nomod	Homo
Total	1834	100	pc1n2nomod	Homo
Acinetobacter	54	38.2978723404255	pc1n2nomod	Pan
Aeromonas	3	2.12765957446809	pc1n2nomod	Pan
Aggregatibacter	7	4.9645390070922	pc1n2nomod	Pan
Arhodomonas	1	0.709219858156028	pc1n2nomod	Pan
Cellulosimicrobium	2	1.41843971631206	pc1n2nomod	Pan
Chlorobaculum	1	0.709219858156028	pc1n2nomod	Pan
Citrobacter	3	2.12765957446809	pc1n2nomod	Pan
Cutibacterium	1	0.709219858156028	pc1n2nomod	Pan
Desulfobulbus	13	9.21985815602837	pc1n2nomod	Pan
Desulfomicrobium	3	2.12765957446809	pc1n2nomod	Pan
Eikenella	1	0.709219858156028	pc1n2nomod	Pan
Enterobacter	5	3.54609929078014	pc1n2nomod	Pan
Escherichia	4	2.83687943262411	pc1n2nomod	Pan
Kineococcus	1	0.709219858156028	pc1n2nomod	Pan
Luteimonas	1	0.709219858156028	pc1n2nomod	Pan
Lysobacter	3	2.12765957446809	pc1n2nomod	Pan
Mycobacterium	1	0.709219858156028	pc1n2nomod	Pan
Mycolicibacterium	7	4.9645390070922	pc1n2nomod	Pan
Nocardia	4	2.83687943262411	pc1n2nomod	Pan
Nocardioides	2	1.41843971631206	pc1n2nomod	Pan
Oxalobacter	2	1.41843971631206	pc1n2nomod	Pan
Phytobacter	2	1.41843971631206	pc1n2nomod	Pan
Proteus	1	0.709219858156028	pc1n2nomod	Pan
Providencia	1	0.709219858156028	pc1n2nomod	Pan
Pseudomonas	12	8.51063829787234	pc1n2nomod	Pan
Pseudoxanthomonas	1	0.709219858156028	pc1n2nomod	Pan
Stenotrophomonas	4	2.83687943262411	pc1n2nomod	Pan
Xanthomonas	1	0.709219858156028	pc1n2nomod	Pan
Total	141	100	pc1n2nomod	Pan
[Haemophilus]	1	0.0191681042744873	pc1n2nomod	Gorilla
[Mannheimia]	3	0.0575043128234618	pc1n2nomod	Gorilla
Acinetobacter	1262	24.1901475944029	pc1n2nomod	Gorilla
Actinobacillus	24	0.460034502587694	pc1n2nomod	Gorilla
Aeromonas	21	0.402530189764232	pc1n2nomod	Gorilla
Aggregatibacter	1774	34.0042169829404	pc1n2nomod	Gorilla
Aquabacterium	1	0.0191681042744873	pc1n2nomod	Gorilla
Azoarcus	3	0.0575043128234618	pc1n2nomod	Gorilla
Bibersteinia	2	0.0383362085489745	pc1n2nomod	Gorilla
Candidatus	2	0.0383362085489745	pc1n2nomod	Gorilla
Castellaniella	4	0.076672417097949	pc1n2nomod	Gorilla
Chitinilyticum	1	0.0191681042744873	pc1n2nomod	Gorilla
Citrobacter	14	0.268353459842822	pc1n2nomod	Gorilla
Comamonas	30	0.575043128234618	pc1n2nomod	Gorilla
Delftia	4	0.076672417097949	pc1n2nomod	Gorilla
Desulfobulbus	1	0.0191681042744873	pc1n2nomod	Gorilla
Dickeya	12	0.230017251293847	pc1n2nomod	Gorilla
Ectothiorhodospira	1	0.0191681042744873	pc1n2nomod	Gorilla
Eikenella	2	0.0383362085489745	pc1n2nomod	Gorilla
Enterobacter	6	0.115008625646924	pc1n2nomod	Gorilla
Enterobacteriaceae	1	0.0191681042744873	pc1n2nomod	Gorilla
Escherichia	113	2.16599578301706	pc1n2nomod	Gorilla
Frateuria	2	0.0383362085489745	pc1n2nomod	Gorilla
Glaesserella	1	0.0191681042744873	pc1n2nomod	Gorilla
Haemophilus	5	0.0958405213724363	pc1n2nomod	Gorilla
Halomonas	20	0.383362085489745	pc1n2nomod	Gorilla
Histophilus	1	0.0191681042744873	pc1n2nomod	Gorilla
Kingella	6	0.115008625646924	pc1n2nomod	Gorilla
Klebsiella	34	0.651715545332567	pc1n2nomod	Gorilla
Lautropia	35	0.670883649607054	pc1n2nomod	Gorilla
Leclercia	2	0.0383362085489745	pc1n2nomod	Gorilla
Lelliottia	12	0.230017251293847	pc1n2nomod	Gorilla
Luteimonas	2	0.0383362085489745	pc1n2nomod	Gorilla
Lysobacter	8	0.153344834195898	pc1n2nomod	Gorilla
Marinobacter	5	0.0958405213724363	pc1n2nomod	Gorilla
Mycobacteroides	1	0.0191681042744873	pc1n2nomod	Gorilla
Mycolicibacterium	1	0.0191681042744873	pc1n2nomod	Gorilla
Necropsobacter	1	0.0191681042744873	pc1n2nomod	Gorilla
Neisseria	893	17.1171171171171	pc1n2nomod	Gorilla
Nocardioides	3	0.0575043128234618	pc1n2nomod	Gorilla
Oceanimonas	1	0.0191681042744873	pc1n2nomod	Gorilla
Ornithinimicrobium	1	0.0191681042744873	pc1n2nomod	Gorilla
Pantoea	5	0.0958405213724363	pc1n2nomod	Gorilla
Pasteurella	21	0.402530189764232	pc1n2nomod	Gorilla
Pasteurellaceae	1	0.0191681042744873	pc1n2nomod	Gorilla
Paucibacter	1	0.0191681042744873	pc1n2nomod	Gorilla
Pectobacterium	3	0.0575043128234618	pc1n2nomod	Gorilla
Phytobacter	8	0.153344834195898	pc1n2nomod	Gorilla
Proteus	2	0.0383362085489745	pc1n2nomod	Gorilla
Providencia	211	4.04447000191681	pc1n2nomod	Gorilla
Pseudomonas	201	3.85278895917194	pc1n2nomod	Gorilla
Psychrobacter	1	0.0191681042744873	pc1n2nomod	Gorilla
Psychromonas	1	0.0191681042744873	pc1n2nomod	Gorilla
Rahnella	1	0.0191681042744873	pc1n2nomod	Gorilla
Raoultella	6	0.115008625646924	pc1n2nomod	Gorilla
Rhodococcus	1	0.0191681042744873	pc1n2nomod	Gorilla
Rodentibacter	5	0.0958405213724363	pc1n2nomod	Gorilla
Serinicoccus	1	0.0191681042744873	pc1n2nomod	Gorilla
Serratia	6	0.115008625646924	pc1n2nomod	Gorilla
Shewanella	19	0.364193981215258	pc1n2nomod	Gorilla
Stenotrophomonas	315	6.03795284646348	pc1n2nomod	Gorilla
Thioalkalivibrio	13	0.249185355568334	pc1n2nomod	Gorilla
Tolumonas	4	0.076672417097949	pc1n2nomod	Gorilla
Vibrio	1	0.0191681042744873	pc1n2nomod	Gorilla
Wohlfahrtiimonas	58	1.11175004792026	pc1n2nomod	Gorilla
Xanthomonas	9	0.172512938470385	pc1n2nomod	Gorilla
Xenophilus	1	0.0191681042744873	pc1n2nomod	Gorilla
Zobellella	6	0.115008625646924	pc1n2nomod	Gorilla
Total	5217	100	pc1n2nomod	Gorilla
Acinetobacter	2	0.0678886625933469	pc1n2nomod	Alouatta
Actinobacillus	9	0.305498981670061	pc1n2nomod	Alouatta
Aeromicrobium	2	0.0678886625933469	pc1n2nomod	Alouatta
Aeromonas	3	0.10183299389002	pc1n2nomod	Alouatta
Aggregatibacter	2519	85.5057705363204	pc1n2nomod	Alouatta
Alcanivorax	1	0.0339443312966735	pc1n2nomod	Alouatta
Burkholderia	1	0.0339443312966735	pc1n2nomod	Alouatta
Cedecea	1	0.0339443312966735	pc1n2nomod	Alouatta
Comamonas	3	0.10183299389002	pc1n2nomod	Alouatta
Dickeya	5	0.169721656483367	pc1n2nomod	Alouatta
Eikenella	2	0.0678886625933469	pc1n2nomod	Alouatta
Enterobacter	1	0.0339443312966735	pc1n2nomod	Alouatta
Haemophilus	6	0.203665987780041	pc1n2nomod	Alouatta
Janthinobacterium	1	0.0339443312966735	pc1n2nomod	Alouatta
Kingella	258	8.75763747454175	pc1n2nomod	Alouatta
Kosakonia	1	0.0339443312966735	pc1n2nomod	Alouatta
Lautropia	4	0.135777325186694	pc1n2nomod	Alouatta
Luteimonas	2	0.0678886625933469	pc1n2nomod	Alouatta
Lysobacter	2	0.0678886625933469	pc1n2nomod	Alouatta
Mycobacterium	1	0.0339443312966735	pc1n2nomod	Alouatta
Mycolicibacter	1	0.0339443312966735	pc1n2nomod	Alouatta
Mycolicibacterium	4	0.135777325186694	pc1n2nomod	Alouatta
Neisseria	79	2.6816021724372	pc1n2nomod	Alouatta
Nocardia	1	0.0339443312966735	pc1n2nomod	Alouatta
Nocardioides	2	0.0678886625933469	pc1n2nomod	Alouatta
Pseudomonas	13	0.441276306856755	pc1n2nomod	Alouatta
Pseudoxanthomonas	3	0.10183299389002	pc1n2nomod	Alouatta
Serratia	7	0.237610319076714	pc1n2nomod	Alouatta
Shewanella	1	0.0339443312966735	pc1n2nomod	Alouatta
Stenotrophomonas	5	0.169721656483367	pc1n2nomod	Alouatta
Thauera	3	0.10183299389002	pc1n2nomod	Alouatta
Xanthomonas	1	0.0339443312966735	pc1n2nomod	Alouatta
Xenophilus	1	0.0339443312966735	pc1n2nomod	Alouatta
Zobellella	1	0.0339443312966735	pc1n2nomod	Alouatta
Total	2946	100	pc1n2nomod	Alouatta
Acinetobacter	149	28.0075187969925	pc1n3nomod	Homo
Caldimonas	2	0.37593984962406	pc1n3nomod	Homo
Campylobacter	56	10.5263157894737	pc1n3nomod	Homo
Cardiobacterium	137	25.7518796992481	pc1n3nomod	Homo
Neisseria	186	34.9624060150376	pc1n3nomod	Homo
Nitrococcus	2	0.37593984962406	pc1n3nomod	Homo
Total	532	100	pc1n3nomod	Homo
Acinetobacter	7	4.34782608695652	pc1n3nomod	Pan
Campylobacter	134	83.2298136645963	pc1n3nomod	Pan
Cardiobacterium	5	3.1055900621118	pc1n3nomod	Pan
Massilia	1	0.62111801242236	pc1n3nomod	Pan
Neisseria	3	1.86335403726708	pc1n3nomod	Pan
Nitrosospira	1	0.62111801242236	pc1n3nomod	Pan
Pseudomonas	8	4.96894409937888	pc1n3nomod	Pan
Shewanella	1	0.62111801242236	pc1n3nomod	Pan
Xanthomonas	1	0.62111801242236	pc1n3nomod	Pan
Total	161	100	pc1n3nomod	Pan
Acinetobacter	179	6.81126331811263	pc1n3nomod	Gorilla
Alcaligenes	1	0.0380517503805175	pc1n3nomod	Gorilla
Campylobacter	57	2.1689497716895	pc1n3nomod	Gorilla
Cardiobacterium	29	1.10350076103501	pc1n3nomod	Gorilla
Caulobacter	1	0.0380517503805175	pc1n3nomod	Gorilla
Haemophilus	1	0.0380517503805175	pc1n3nomod	Gorilla
Janthinobacterium	1	0.0380517503805175	pc1n3nomod	Gorilla
Kingella	2	0.076103500761035	pc1n3nomod	Gorilla
Neisseria	2163	82.3059360730594	pc1n3nomod	Gorilla
Nitrosospira	1	0.0380517503805175	pc1n3nomod	Gorilla
Pseudomonas	49	1.86453576864536	pc1n3nomod	Gorilla
Shewanella	11	0.418569254185693	pc1n3nomod	Gorilla
Stenotrophomonas	133	5.06088280060883	pc1n3nomod	Gorilla
Total	2628	100	pc1n3nomod	Gorilla
Acidovorax	2	0.8	pc1n3nomod	Alouatta
Acinetobacter	2	0.8	pc1n3nomod	Alouatta
Campylobacter	5	2	pc1n3nomod	Alouatta
Cardiobacterium	56	22.4	pc1n3nomod	Alouatta
Diaphorobacter	1	0.4	pc1n3nomod	Alouatta
Kingella	6	2.4	pc1n3nomod	Alouatta
Neisseria	168	67.2	pc1n3nomod	Alouatta
Nitrosospira	1	0.4	pc1n3nomod	Alouatta
Pseudomonas	4	1.6	pc1n3nomod	Alouatta
Stenotrophomonas	4	1.6	pc1n3nomod	Alouatta
Xanthomonas	1	0.4	pc1n3nomod	Alouatta
Total	250	100	pc1n3nomod	Alouatta
[Mannheimia]	1	0.137362637362637	pc1n4nomod	Homo
Actinobacillus	8	1.0989010989011	pc1n4nomod	Homo
Aggregatibacter	236	32.4175824175824	pc1n4nomod	Homo
Bacillus	1	0.137362637362637	pc1n4nomod	Homo
Haemophilus	1	0.137362637362637	pc1n4nomod	Homo
Histophilus	5	0.686813186813187	pc1n4nomod	Homo
Lactobacillus	5	0.686813186813187	pc1n4nomod	Homo
Mannheimia	1	0.137362637362637	pc1n4nomod	Homo
Pasteurella	8	1.0989010989011	pc1n4nomod	Homo
Streptococcus	462	63.4615384615385	pc1n4nomod	Homo
Total	728	100	pc1n4nomod	Homo
Aggregatibacter	2	2.56410256410256	pc1n4nomod	Pan
Bacillus	6	7.69230769230769	pc1n4nomod	Pan
Clostridium	4	5.12820512820513	pc1n4nomod	Pan
Enterococcus	3	3.84615384615385	pc1n4nomod	Pan
Lactobacillus	1	1.28205128205128	pc1n4nomod	Pan
Streptococcus	62	79.4871794871795	pc1n4nomod	Pan
Total	78	100	pc1n4nomod	Pan
[Mannheimia]	23	0.803072625698324	pc1n4nomod	Gorilla
Actinobacillus	128	4.46927374301676	pc1n4nomod	Gorilla
Aggregatibacter	1981	69.1689944134078	pc1n4nomod	Gorilla
Bibersteinia	21	0.733240223463687	pc1n4nomod	Gorilla
Clostridium	4	0.139664804469274	pc1n4nomod	Gorilla
Enterococcus	44	1.53631284916201	pc1n4nomod	Gorilla
Exiguobacterium	73	2.54888268156425	pc1n4nomod	Gorilla
Gallibacterium	9	0.314245810055866	pc1n4nomod	Gorilla
Haemophilus	25	0.872905027932961	pc1n4nomod	Gorilla
Histophilus	6	0.209497206703911	pc1n4nomod	Gorilla
Lactobacillus	1	0.0349162011173184	pc1n4nomod	Gorilla
Mannheimia	43	1.50139664804469	pc1n4nomod	Gorilla
Melissococcus	1	0.0349162011173184	pc1n4nomod	Gorilla
Necropsobacter	13	0.45391061452514	pc1n4nomod	Gorilla
Pasteurella	26	0.907821229050279	pc1n4nomod	Gorilla
Pasteurellaceae	5	0.174581005586592	pc1n4nomod	Gorilla
Planococcus	3	0.104748603351955	pc1n4nomod	Gorilla
