Genus	Sum	Percent	Protein	Host_Genus
Abiotrophia	249	26.8318965517241	pc2n1nomod	Homo
Catonella	131	14.1163793103448	pc2n1nomod	Homo
Clostridium	2	0.21551724137931	pc2n1nomod	Homo
Filifactor	131	14.1163793103448	pc2n1nomod	Homo
Modestobacter	3	0.323275862068966	pc2n1nomod	Homo
Nakamurella	1	0.107758620689655	pc2n1nomod	Homo
Oribacterium	27	2.90948275862069	pc2n1nomod	Homo
Sorangium	7	0.754310344827586	pc2n1nomod	Homo
Streptococcus	375	40.4094827586207	pc2n1nomod	Homo
Streptomyces	2	0.21551724137931	pc2n1nomod	Homo
Total	928	100	pc2n1nomod	Homo
Catonella	2	1.86915887850467	pc2n1nomod	Pan
Filifactor	22	20.5607476635514	pc2n1nomod	Pan
Micromonospora	1	0.934579439252336	pc2n1nomod	Pan
Mycolicibacterium	1	0.934579439252336	pc2n1nomod	Pan
Nakamurella	1	0.934579439252336	pc2n1nomod	Pan
Oribacterium	73	68.2242990654206	pc2n1nomod	Pan
Streptococcus	7	6.54205607476635	pc2n1nomod	Pan
Total	107	100	pc2n1nomod	Pan
Abiotrophia	1	1.40845070422535	pc2n1nomod	Gorilla
Bacillus	1	1.40845070422535	pc2n1nomod	Gorilla
Filifactor	3	4.22535211267606	pc2n1nomod	Gorilla
Frankia	1	1.40845070422535	pc2n1nomod	Gorilla
Hahella	1	1.40845070422535	pc2n1nomod	Gorilla
Micromonospora	1	1.40845070422535	pc2n1nomod	Gorilla
Oribacterium	8	11.2676056338028	pc2n1nomod	Gorilla
Streptococcus	54	76.056338028169	pc2n1nomod	Gorilla
Streptomyces	1	1.40845070422535	pc2n1nomod	Gorilla
Total	71	100	pc2n1nomod	Gorilla
Bdellovibrio	1	4.34782608695652	pc2n1nomod	Alouatta
Catonella	20	86.9565217391304	pc2n1nomod	Alouatta
Sorangium	1	4.34782608695652	pc2n1nomod	Alouatta
Streptomyces	1	4.34782608695652	pc2n1nomod	Alouatta
Total	23	100	pc2n1nomod	Alouatta
Streptococcus	7930	100	pc2n2nomod	Homo
Total	7930	100	pc2n2nomod	Homo
