pairs	mean_SumsOfSqs	sd_SumsOfSqs	mean_F.Model	sd_F.Model	mean_R2	sd_R2	mean_p.value	sd_p.value	mean_p.adjusted	sd_p.adjusted	bootstraps
Control vs Gorilla	432788.70810761384	114640.06575108255	5.8212093445404	2.1964853659912675	0.2386909506330001	0.06271645778463668	0.00265	0.0030793381159468715	0.0159	0.018476028695681244	100
Control vs Homo	391839.64061447355	96480.87238153856	5.251542338524876	2.684855439223799	0.21681058374286305	0.08040578643268245	0.00751	0.018500611510504906	0.04506	0.11100366906302932	100
Control vs Pan	539546.6268542167	117808.31785254857	19.28490968973002	10.083658149448071	0.48984480438469125	0.10829636528947892	0.001	0	0.006	0	100
Gorilla vs Homo	488545.1356641703	164480.97550244196	4.1531264967861565	1.4797217629553217	0.18406766581218498	0.051697099362143305	0.00838	0.02013829960823684	0.04966	0.11563336521746281	100
Gorilla vs Pan	938018.7329321185	338154.67005789425	13.94716148548805	5.288533974562867	0.4229559950172246	0.08488499897806856	0.00101	1.0000000000000003e-4	0.00606	6.000000000000006e-4	100
Homo vs Pan	550649.1994974886	185277.48666148432	7.553803860802791	2.246824193228461	0.29049277597347795	0.05904512126804176	0.00102	1.407052941362898e-4	0.0061200000000000004	8.442317648177371e-4	100
