Combination	Taxon	Software	Tax_Level	n	Bootstrap_Result
Pan	Atopobium	MALT	genus	123	12.3
Pan	Candidatus_Methanomethylophilus	MALT	genus	NA	NA
Pan	Collinsella	MALT	genus	901	90.10000000000001
Pan	Cryptobacterium	MALT	genus	1000	100
Pan	Desulfomicrobium	MALT	genus	345	34.5
Pan	Eggerthella	MALT	genus	999	99.9
Pan	Eggerthia	MALT	genus	974	97.39999999999999
Pan	Filifactor	MALT	genus	795	79.5
Pan	Gordonibacter	MALT	genus	1000	100
Pan	Lawsonella	MALT	genus	1000	100
Pan	Mogibacterium	MALT	genus	584	58.4
Pan	Oribacterium	MALT	genus	629	62.9
Pan	Parabacteroides	MALT	genus	725	72.5
Pan	Paraeggerthella	MALT	genus	999	99.9
Pan	Pseudoramibacter	MALT	genus	687	68.7
Alouatta:Gorilla:Pan:Homo	Actinomyces	MALT	genus	313	31.3
Alouatta:Gorilla:Pan:Homo	Campylobacter	MALT	genus	997	99.7
Alouatta:Gorilla:Pan:Homo	Corynebacterium	MALT	genus	147	14.7
Alouatta:Gorilla:Pan:Homo	Fusobacterium	MALT	genus	996	99.6
Alouatta:Gorilla:Pan:Homo	Ottowia	MALT	genus	625	62.5
Alouatta:Gorilla:Pan:Homo	Prevotella	MALT	genus	728	72.8
Alouatta:Gorilla:Pan:Homo	Pseudopropionibacterium	MALT	genus	664	66.4
Alouatta:Gorilla:Pan:Homo	Selenomonas	MALT	genus	968	96.8
Alouatta:Gorilla:Pan:Homo	Streptococcus	MALT	genus	528	52.800000000000004
Alouatta	Actinobacillus	MALT	genus	642	64.2
Alouatta	Actinobaculum	MALT	genus	991	99.1
Alouatta	Haemophilus	MALT	genus	123	12.3
Alouatta	Kingella	MALT	genus	573	57.3
Alouatta	Pasteurella	MALT	genus	654	65.4
Alouatta	Rothia	MALT	genus	91	9.1
Alouatta	Tessaracoccus	MALT	genus	1000	100
Gorilla:Pan	Anaeroglobus	MALT	genus	289	28.9
Gorilla:Pan	Bacteroides	MALT	genus	327	32.7
Gorilla:Pan	Clostridium	MALT	genus	347	34.699999999999996
Gorilla:Pan	Dialister	MALT	genus	938	93.8
Gorilla:Pan	Propionibacterium	MALT	genus	108	10.8
Gorilla:Pan	Slackia	MALT	genus	510	51
Pan:Homo	Eubacterium	MALT	genus	930	93
Pan:Homo	Johnsonella	MALT	genus	361	36.1
Pan:Homo	Parvimonas	MALT	genus	203	20.3
Pan:Homo	Phocaeicola	MALT	genus	996	99.6
Pan:Homo	Porphyromonas	MALT	genus	120	12
Pan:Homo	Treponema	MALT	genus	210	21
Alouatta:Gorilla:Homo	Aggregatibacter	MALT	genus	817	81.69999999999999
Alouatta:Gorilla:Homo	Cardiobacterium	MALT	genus	843	84.3
Alouatta:Gorilla:Homo	Eikenella	MALT	genus	816	81.6
Alouatta:Gorilla:Homo	Neisseria	MALT	genus	817	81.69999999999999
Alouatta:Homo	Gemella	MALT	genus	600	60
Alouatta:Homo	Lautropia	MALT	genus	609	60.9
Alouatta:Homo	Leptotrichia	MALT	genus	781	78.10000000000001
Gorilla:Pan:Homo	Desulfobulbus	MALT	genus	558	55.800000000000004
Gorilla:Pan:Homo	Olsenella	MALT	genus	246	24.6
Gorilla:Pan:Homo	Tannerella	MALT	genus	264	26.400000000000002
Homo	Abiotrophia	MALT	genus	998	99.8
Homo	Peptoanaerobacter	MALT	genus	573	57.3
Alouatta:Pan:Homo	Capnocytophaga	MALT	genus	511	51.1
Control	Candidatus_Kryptonium	MALT	genus	NA	NA
