Combination	Taxon	n	Bootstrap_Result
Gorilla:Pan:Homo:Control	Candidatus Kryptonium	2	0.2
Gorilla:Pan:Homo:Control	Clostridium	33	3.3000000000000003
Gorilla:Pan:Homo:Control	Desulfobulbus	297	29.7
Gorilla:Pan:Homo:Control	Olsenella	100	10
Gorilla:Pan:Homo:Control	Prevotella	10	1
Gorilla:Pan:Homo:Control	Propionibacterium	8	0.8
Gorilla:Pan:Homo:Control	Tannerella	24	2.4
Gorilla:Pan	Anaeroglobus	289	28.9
Gorilla:Pan	Atopobium	223	22.3
Gorilla:Pan	Bacteroides	327	32.7
Gorilla:Pan	Bifidobacterium	5	0.5
Gorilla:Pan	Clostridium	347	34.699999999999996
Gorilla:Pan	Collinsella	99	9.9
Gorilla:Pan	Dialister	938	93.8
Gorilla:Pan	Johnsonella	25	2.5
Gorilla:Pan	Oribacterium	335	33.5
Gorilla:Pan	Parvimonas	3	0.3
Gorilla:Pan	Propionibacterium	108	10.8
Gorilla:Pan	Pseudoramibacter	294	29.4
Gorilla:Pan	Slackia	510	51
Control	Actinotignum	3	0.3
Control	Candidatus Kryptobacter	279	27.900000000000002
Control	Candidatus Kryptonium	291	29.099999999999998
Control	Cytophaga	14	1.4000000000000001
Control	Methylotenera	9	0.8999999999999999
Control	Ruminococcus	1	0.1
Alouatta:Pan	Anaeroglobus	106	10.6
Alouatta:Pan	Atopobium	251	25.1
Alouatta:Pan	Bacteroides	31	3.1
Alouatta:Pan	Bifidobacterium	47	4.7
Alouatta:Pan	Clostridium	27	2.7
Alouatta:Pan	Gemella	7	0.7000000000000001
Alouatta:Pan	Parvimonas	19	1.9
Alouatta:Control	Candidatus Kryptonium	96	9.6
Alouatta:Control	Haemophilus	1	0.1
Alouatta:Control	Rothia	4	0.4
Alouatta:Control	Veillonella	1	0.1
Gorilla:Pan:Control	Candidatus Kryptonium	31	3.1
Gorilla:Pan:Control	Clostridium	103	10.299999999999999
Gorilla:Pan:Control	Propionibacterium	6	0.6
Gorilla:Pan:Control	Pseudoramibacter	2	0.2
Gorilla:Homo	Johnsonella	126	12.6
Gorilla:Homo	Methanobrevibacter	2	0.2
Gorilla:Homo	Parvimonas	3	0.3
Gorilla:Homo	Propionibacterium	8	0.8
Gorilla:Homo	Veillonella	69	6.9
Pan:Control	Candidatus Kryptonium	311	31.1
Pan:Control	Clostridium	13	1.3
Pan:Control	Pseudoramibacter	2	0.2
Gorilla	Avibacterium	2	0.2
Gorilla	Basfia	1	0.1
Gorilla	Bifidobacterium	13	1.3
Gorilla	Bilophila	2	0.2
Gorilla	Centipeda	1	0.1
Gorilla	Chryseobacterium	1	0.1
Gorilla	Conchiformibius	1	0.1
Gorilla	Crocinitomix	2	0.2
Gorilla	Glutamicibacter	43	4.3
Gorilla	Jeotgalicoccus	2	0.2
Gorilla	Johnsonella	7	0.7000000000000001
Gorilla	Mannheimia	5	0.5
Gorilla	Morganella	3	0.3
Gorilla	Morococcus	6	0.6
Gorilla	Myroides	1	0.1
Gorilla	Necropsobacter	1	0.1
Gorilla	Oribacterium	14	1.4000000000000001
Gorilla	Oxalobacter	34	3.4000000000000004
Gorilla	Paenarthrobacter	1	0.1
Gorilla	Piscirickettsia	2	0.2
Gorilla	Propionibacterium	3	0.3
Gorilla	Psychrobacillus	2	0.2
Gorilla	Rodentibacter	2	0.2
Gorilla	Shuttleworthia	3	0.3
Gorilla	Vagococcus	2	0.2
Gorilla	Veillonella	77	7.7
Alouatta:Gorilla:Homo:Control	Aggregatibacter	153	15.299999999999999
Alouatta:Gorilla:Homo:Control	Candidatus Kryptonium	1	0.1
Alouatta:Gorilla:Homo:Control	Corynebacterium	45	4.5
Alouatta:Gorilla:Homo:Control	Lautropia	9	0.8999999999999999
Alouatta:Gorilla:Homo:Control	Neisseria	153	15.299999999999999
Alouatta:Gorilla:Homo:Control	Ottowia	1	0.1
Alouatta:Gorilla:Homo:Control	Rothia	14	1.4000000000000001
Pan:Homo:Control	Candidatus Kryptonium	36	3.5999999999999996
Pan:Homo:Control	Clostridium	5	0.5
Pan:Homo:Control	Desulfobulbus	45	4.5
Pan:Homo:Control	Eubacterium	12	1.2
Pan:Homo:Control	Tannerella	1	0.1
Alouatta:Pan:Control	Candidatus Kryptonium	105	10.5
Alouatta:Pan:Control	Clostridium	4	0.4
Alouatta:Pan:Homo:Control	Candidatus Kryptonium	14	1.4000000000000001
Alouatta:Pan:Homo:Control	Clostridium	3	0.3
Alouatta:Pan:Homo:Control	Olsenella	2	0.2
Alouatta:Pan:Homo:Control	Ottowia	45	4.5
Alouatta:Pan:Homo:Control	Tannerella	6	0.6
Alouatta:Gorilla:Pan:Control	Candidatus Kryptonium	13	1.3
Alouatta:Gorilla:Pan:Control	Clostridium	35	3.5000000000000004
Alouatta:Gorilla:Pan:Control	Propionibacterium	6	0.6
Alouatta:Homo:Control	Aggregatibacter	5	0.5
Alouatta:Homo:Control	Candidatus Kryptonium	17	1.7000000000000002
Alouatta:Homo:Control	Lautropia	34	3.4000000000000004
Alouatta:Homo:Control	Neisseria	5	0.5
Alouatta:Homo:Control	Ottowia	1	0.1
Alouatta:Homo:Control	Rothia	46	4.6
Homo:Control	Candidatus Kryptonium	31	3.1
Gorilla:Control	Candidatus Kryptonium	31	3.1
Gorilla:Homo:Control	Candidatus Kryptonium	10	1
Gorilla:Homo:Control	Propionibacterium	1	0.1
Alouatta:Gorilla:Control	Candidatus Kryptonium	11	1.0999999999999999
Alouatta:Gorilla:Control	Propionibacterium	1	0.1
Alouatta:Gorilla:Control	Rothia	1	0.1
